cos_zenith,livetime_s
0.15208333333333335,59583.07
0.15625,59605.48
0.16041666666666665,59491.66
0.1645833333333333,59935.23
0.16874999999999996,59986.53
0.1729166666666666,60121.65
0.17708333333333326,60357.52
0.1812499999999999,60465.19
0.18541666666666656,60541.61
0.18958333333333344,60905.05
0.1937500000000001,61118.3
0.19791666666666674,61107.27
0.2020833333333334,61038.79
0.20625000000000004,61508.05
0.2104166666666667,61546.99
0.21458333333333335,61547.62
0.21875,61706.14
0.22291666666666665,61701.27
0.2270833333333333,61624.77
0.23124999999999996,62144.61
0.2354166666666666,62326.85
0.23958333333333326,62056.93
0.2437499999999999,62596.74
0.24791666666666656,62648.16
0.25208333333333344,62655.7
0.2562500000000001,62806.52
0.26041666666666674,63160.08
0.2645833333333334,63317.9
0.26875000000000004,64031.32
0.2729166666666667,64792.95
0.27708333333333335,65207.07
0.28125,65752.78
0.28541666666666665,66737.2
0.2895833333333333,67193.61
0.29374999999999996,68265.95
0.2979166666666666,69167.7
0.30208333333333326,70034.46
0.3062499999999999,71069.7
0.31041666666666656,72152.85
0.31458333333333344,73329.67
0.3187500000000001,74909.52
0.32291666666666674,77241.68
0.3270833333333334,79539.92
0.33125000000000004,82756.59
0.3354166666666667,88017.92
0.33958333333333335,99021.12
0.34375,121739.2
0.34791666666666665,89277.84
0.3520833333333333,78515.95
0.35624999999999996,66065.66
0.3604166666666666,68601.35
0.36458333333333326,62846.25
0.3687499999999999,59989.86
0.37291666666666656,61566.98
0.37708333333333344,66459.38
0.3812500000000001,63723.37
0.38541666666666674,59033.32
0.3895833333333334,60657.42
0.39375000000000004,64283.69
0.3979166666666667,64612.13
0.40208333333333335,61164.14
0.40625,56770.42
0.41041666666666665,51308.69
0.4145833333333333,53072.36
0.41874999999999996,56323.44
0.4229166666666666,58190.27
0.42708333333333326,56005.26
0.4312499999999999,53765.05
0.43541666666666656,52351.17
0.43958333333333344,51606.84
0.4437500000000001,52845.12
0.44791666666666674,53221.47
0.4520833333333334,53412.16
0.45625000000000004,55313.84
0.4604166666666667,56830.81
0.46458333333333335,53013.16
0.46875,47838.07
0.47291666666666665,43675.86
0.4770833333333333,42474.98
0.48124999999999996,41186.11
0.4854166666666666,39666.04
0.48958333333333326,40520.35
0.4937499999999999,41378.5
0.49791666666666656,42517.52
0.5020833333333334,41348.18
0.5062500000000001,39566.09
0.5104166666666667,41592.6
0.5145833333333334,39813.68
0.51875,40729.54
0.5229166666666667,42001.31
0.5270833333333333,43734.07
0.53125,44741.57
0.5354166666666667,40951.43
0.5395833333333333,40466.54
0.54375,40200.36
0.5479166666666666,42005.69
0.5520833333333333,45166.04
0.5562499999999999,44578.41
0.5604166666666666,45959.6
0.5645833333333334,48257.65
0.5687500000000001,48027.89
0.5729166666666667,47269.43
0.5770833333333334,45325.18
0.58125,45823.05
0.5854166666666667,45573.78
0.5895833333333333,42281.97
0.59375,46222.83
0.5979166666666667,45803.84
0.6020833333333333,46882.55
0.60625,46182.11
0.6104166666666666,42744.34
0.6145833333333333,41460.28
0.6187499999999999,40766.97
0.6229166666666666,40664.09
0.6270833333333334,37794.84
0.6312500000000001,40818.96
0.6354166666666667,39825.29
0.6395833333333334,40105.02
0.64375,39035.45
0.6479166666666667,39014.06
0.6520833333333333,37545.49
0.65625,36553.44
0.6604166666666667,35125.43
0.6645833333333333,34513.82
0.66875,34882.41
0.6729166666666666,34156.55
0.6770833333333333,36379.56
0.6812499999999999,34642.27
0.6854166666666666,33300.05
0.6895833333333334,32057.59
0.6937500000000001,31470.17
0.6979166666666667,28722.06
0.7020833333333334,29699.14
0.70625,31005.69
0.7104166666666667,32534.68
0.7145833333333333,31686.04
0.71875,33545.51
0.7229166666666667,33590.75
0.7270833333333333,32907.48
0.73125,31964.73
0.7354166666666666,32842.52
0.7395833333333333,34557.49
0.7437499999999999,34609.77
0.7479166666666666,34484.57
0.7520833333333334,34879.89
0.7562500000000001,36527.2
0.7604166666666667,38488.16
0.7645833333333334,37494.09
0.76875,35050.48
0.7729166666666667,35148.81
0.7770833333333333,36982.53
0.78125,31821.25
0.7854166666666667,33763.16
0.7895833333333333,31914.01
0.79375,35033.18
0.7979166666666666,38348.48
0.8020833333333333,37335.41
0.8062499999999999,33368.73
0.8104166666666666,32445.89
0.8145833333333334,27420.13
