radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0595,1.93087,5.39203,7.27206,3.05159,13.1278,14.9091,10.4277,14.8027,14.837
0.06,1.92976,5.45237,7.33686,3.09725,13.1261,14.7149,10.333,14.6683,14.6755
0.0605,1.92865,5.51217,7.40052,3.14292,13.1207,14.5176,10.2357,14.5303,14.5106
0.061,1.92753,5.57152,7.46318,3.18865,13.1117,14.3178,10.1362,14.389,14.3427
0.0615,1.92641,5.63068,7.52517,3.2346,13.1,14.1162,10.035,14.2454,14.1729
0.062,1.92529,5.68936,7.58611,3.28059,13.0848,13.9126,9.93189,14.0991,14.0007
0.0625,1.92415,5.74729,7.64565,3.32647,13.0656,13.7063,9.82637,13.9494,13.8255
0.063,1.92301,5.80487,7.7043,3.37246,13.0435,13.4987,9.7193,13.7975,13.6485
0.0635,1.92187,5.862,7.76197,3.41851,13.0183,13.2898,9.61062,13.6433,13.4696
0.064,1.92071,5.9186,7.81857,3.46457,12.9898,13.0795,9.50036,13.4868,13.2889
0.0645,1.91955,5.97465,7.87402,3.51063,12.9582,12.8681,9.3887,13.3284,13.1067
0.065,1.91839,6.03006,7.92825,3.55663,12.9233,12.6557,9.27555,13.1678,12.9228
0.0655,1.91722,6.08486,7.9813,3.6026,12.8853,12.4426,9.16107,13.0054,12.7376
0.066,1.91605,6.13922,8.03335,3.64861,12.8446,12.2292,9.04567,12.8416,12.5515
0.0665,1.91487,6.19309,8.08439,3.69465,12.8013,12.0156,8.92941,12.6767,12.3648
0.067,1.91368,6.24634,8.13429,3.74064,12.755,11.8019,8.81219,12.5104,12.1772
0.0675,1.91249,6.29894,8.18296,3.78655,12.7059,11.5881,8.69408,12.3428,11.989
0.068,1.9113,6.35083,8.23031,3.83235,12.6539,11.3745,8.57514,12.174,11.8002
0.0685,1.91009,6.40193,8.27634,3.87799,12.599,11.1609,8.45541,12.0041,11.6107
0.069,1.90889,6.45258,8.32138,3.92366,12.5419,10.9482,8.33536,11.8338,11.4214
0.0695,1.90769,6.50276,8.36548,3.96936,12.4826,10.7365,8.21507,11.6631,11.2324
0.07,1.90647,6.5522,8.40827,4.01491,12.4207,10.5254,8.09434,11.4917,11.0433
0.0705,1.90525,6.60074,8.44957,4.06023,12.356,10.315,7.9731,11.3197,10.8541
0.071,1.90402,6.64872,8.48985,4.1055,12.2893,10.1059,7.85182,11.1477,10.6655
0.0715,1.90279,6.69599,8.52884,4.15064,12.2203,9.89807,7.73048,10.9755,10.4774
0.072,1.90155,6.74247,8.56652,4.19559,12.149,9.6914,7.60897,10.8031,10.2897
0.0725,1.90031,6.78824,8.60298,4.24041,12.0756,9.48625,7.48753,10.6308,10.1027
0.073,1.89906,6.83339,8.63832,4.28514,12.0003,9.28285,7.36636,10.4589,9.91675
0.0735,1.89782,6.87779,8.67241,4.32969,11.923,9.08109,7.24535,10.2872,9.7316
0.074,1.89656,6.92116,8.70491,4.37389,11.8433,8.88073,7.12429,10.1154,9.54703
0.0745,1.8953,6.9639,8.7363,4.41798,11.762,8.68242,7.00373,9.94431,9.36378
0.075,1.89404,7.00609,8.76669,4.46203,11.6793,8.4864,6.88386,9.77422,9.1821
0.0755,1.89276,7.0473,8.7956,4.50573,11.5946,8.29219,6.76418,9.60443,9.00135
0.076,1.89149,7.08782,8.82337,4.54928,11.5083,8.10021,6.64515,9.43549,8.82209
0.0765,1.89022,7.1275,8.84982,4.59258,11.4204,7.91042,6.52669,9.26738,8.64425
0.077,1.88894,7.16631,8.87493,4.6356,11.3309,7.72282,6.40874,9.10009,8.4678
0.0775,1.88765,7.20457,8.8991,4.67855,11.2404,7.53783,6.29174,8.93404,8.29322
0.078,1.88636,7.24203,8.92196,4.72125,11.1484,7.35528,6.17547,8.76905,8.12031
0.0785,1.88506,7.27848,8.94335,4.76357,11.0549,7.17501,6.05984,8.605,7.94892
0.079,1.88375,7.314,8.96341,4.80556,10.9599,6.99714,5.945,8.44203,7.77919
0.0795,1.88246,7.34885,8.9823,4.84738,10.864,6.82204,5.83113,8.28048,7.61154
0.08,1.88114,7.38255,8.99964,4.88871,10.7666,6.64922,5.71795,8.11988,7.44537
0.0805,1.87983,7.41565,9.01602,4.9299,10.6684,6.47924,5.60591,7.96089,7.28135
0.081,1.87851,7.44813,9.0314,4.97094,10.5695,6.3122,5.49504,7.80361,7.1196
0.0815,1.87719,7.47939,9.04511,5.01144,10.4693,6.14756,5.38501,7.64745,6.95955
0.082,1.87586,7.50996,9.05773,5.05172,10.3683,5.98578,5.2761,7.49293,6.80165
0.0825,1.87454,7.53983,9.0693,5.09178,10.2668,5.82687,5.1684,7.34015,6.64599
0.083,1.8732,7.56871,9.07955,5.13144,10.1643,5.67064,5.06179,7.18887,6.49237
0.0835,1.87186,7.59664,9.08847,5.17071,10.0611,5.51714,4.95628,7.03912,6.34082
0.084,1.87053,7.62368,9.09611,5.20959,9.95713,5.36642,4.85193,6.89106,6.1914
0.0845,1.86918,7.64989,9.10256,5.24816,9.8527,5.2186,4.74886,6.74482,6.04427
0.085,1.86782,7.67523,9.10786,5.28636,9.7477,5.07353,4.64701,6.60029,5.89934
0.0855,1.86647,7.69983,9.11209,5.32429,9.64242,4.93139,4.54652,6.45771,5.75676
0.086,1.86511,7.72355,9.11512,5.36186,9.53676,4.79211,4.44734,6.31698,5.61646
0.0865,1.86375,7.74624,9.1168,5.39893,9.43052,4.6555,4.34934,6.17792,5.47828
0.087,1.86239,7.76805,9.11732,5.4356,9.32396,4.52168,4.25266,6.04074,5.34237
0.0875,1.86102,7.78903,9.11671,5.47192,9.21722,4.39071,4.15737,5.90553,5.2088
0.088,1.85964,7.80918,9.11498,5.50789,9.11033,4.26258,4.06346,5.77229,5.07757
0.0885,1.85826,7.82842,9.1121,5.54342,9.00325,4.13717,3.97089,5.64093,4.94861
0.089,1.85688,7.84667,9.10795,5.57846,8.89592,4.01447,3.87963,5.51144,4.82186
0.0895,1.8555,7.86415,9.10276,5.61315,8.78868,3.89457,3.78983,5.38402,4.6975
0.09,1.85411,7.88106,9.09687,5.64764,8.68171,3.77752,3.70154,5.25875,4.5756
0.0905,1.85272,7.89676,9.08942,5.68148,8.57444,3.66302,3.6145,5.13523,4.4558
0.091,1.85132,7.9115,9.08083,5.71482,8.46715,3.55115,3.5288,5.01364,4.33824
0.0915,1.84992,7.92532,9.0711,5.74769,8.35991,3.44189,3.44448,4.89399,4.22293
0.092,1.84852,7.93826,9.0602,5.78009,8.25279,3.33525,3.36154,4.77631,4.10988
0.0925,1.84711,7.9506,9.04862,5.81224,8.14618,3.23131,3.28014,4.66081,3.99925
0.093,1.8457,7.96186,9.03578,5.8438,8.0396,3.12986,3.20006,4.54717,3.89074
0.0935,1.84428,7.97215,9.02175,5.87482,7.93315,3.0309,3.12131,4.43542,3.7844
0.094,1.84287,7.9819,9.00704,5.9056,7.82732,2.93452,3.04408,4.32584,3.68042
0.0945,1.84145,7.9909,8.99141,5.936,7.72194,2.84065,2.96827,4.21828,3.57868
0.095,1.84003,7.99871,8.97441,5.9657,7.61664,2.74909,2.89374,4.11252,3.47899
0.0955,1.8386,8.00546,8.95623,5.99474,7.51152,2.65986,2.82052,4.00861,3.38136
0.096,1.83716,8.01177,8.93757,6.02361,7.40724,2.57312,2.74881,3.90686,3.28604
0.0965,1.83573,8.0172,8.91787,6.05199,7.30339,2.48867,2.67845,3.80703,3.19281
0.097,1.83429,8.02167,8.89705,6.07978,7.19995,2.40646,2.60941,3.70905,3.10162
0.0975,1.83285,8.02496,8.87488,6.10682,7.09675,2.3264,2.54162,3.61286,3.01239
0.098,1.8314,8.02791,8.85246,6.13375,6.99452,2.24869,2.47532,3.51879,2.92538
0.0985,1.82995,8.03001,8.82899,6.16014,6.89284,2.17312,2.41034,3.42659,2.84038
0.099,1.82851,8.03101,8.80435,6.18584,6.79155,2.0996,2.3466,3.33614,2.75726
0.0995,1.82705,8.03128,8.779,6.21112,6.69096,2.02819,2.28419,3.24758,2.67615
0.1,1.82558,8.03078,8.75276,6.23592,6.59104,1.95882,2.22308,3.16087,2.59698
0.1005,1.82413,8.02961,8.72583,6.26028,6.49197,1.89152,2.16333,3.07607,2.5198
0.101,1.82267,8.02744,8.69782,6.28401,6.39334,1.82607,2.10473,2.99293,2.44438
0.1015,1.82119,8.02434,8.66887,6.30714,6.29535,1.76253,2.04738,2.91155,2.37079
0.102,1.81972,8.02072,8.63942,6.32991,6.19844,1.70101,1.9914,2.83211,2.29918
0.1025,1.81825,8.01618,8.60901,6.35208,6.10209,1.64125,1.93657,2.7543,2.22928
0.103,1.81677,8.01089,8.57786,6.37374,6.00662,1.58332,1.88299,2.67828,2.16119
0.1035,1.81529,8.00489,8.54602,6.39495,5.91195,1.52715,1.83061,2.60395,2.09484
0.104,1.81381,7.9982,8.51346,6.41568,5.81805,1.47267,1.77939,2.53127,2.03016
0.1045,1.81232,7.99076,8.48018,6.43589,5.72498,1.41989,1.72934,2.46025,1.96718
0.105,1.81083,7.98237,8.44598,6.45542,5.63265,1.36871,1.68042,2.39082,1.9058
0.1055,1.80933,7.9731,8.41094,6.47432,5.54109,1.31913,1.6326,2.32297,1.84602
0.106,1.80784,7.9633,8.37543,6.49288,5.45053,1.27114,1.58595,2.25677,1.78788
0.1065,1.80634,7.95292,8.33938,6.51101,5.36093,1.2247,1.54041,2.19215,1.73132
0.107,1.80483,7.94174,8.30258,6.52853,5.27215,1.17973,1.49595,2.12905,1.67627
0.1075,1.80332,7.92959,8.26489,6.5453,5.18419,1.13621,1.45254,2.06745,1.62271
0.108,1.80181,7.91673,8.22658,6.56152,5.09715,1.09412,1.41019,2.00735,1.57063
0.1085,1.8003,7.90352,8.18798,6.57754,5.01114,1.0534,1.36887,1.94872,1.52
0.109,1.79879,7.88951,8.14867,6.59293,4.92598,1.01401,1.32856,1.89152,1.47076
0.1095,1.79726,7.8747,8.10868,6.60766,4.84176,0.975943,1.28925,1.83574,1.42293
