radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.048,1.95466,3.9316,5.57052,2.04186,12.1401,18.0825,11.7935,16.6333,17.2927
0.0485,1.9537,3.99672,5.65167,2.08302,12.2248,18.0155,11.7818,16.6167,17.2519
0.049,1.95274,4.06199,5.73263,2.12456,12.3062,17.9413,11.7657,16.5942,17.2045
0.0495,1.95178,4.12718,5.81307,2.16636,12.3837,17.8591,11.7448,16.5646,17.1496
0.05,1.9508,4.19222,5.89283,2.20837,12.4571,17.7688,11.7189,16.5281,17.0874
0.0505,1.94981,4.25716,5.97202,2.25062,12.5266,17.6712,11.6886,16.4854,17.0187
0.051,1.94882,4.32216,6.0509,2.29322,12.5927,17.567,11.6543,16.437,16.9438
0.0515,1.94782,4.38704,6.12916,2.33605,12.655,17.4557,11.6155,16.3824,16.8624
0.052,1.94681,4.45173,6.2067,2.37909,12.7131,17.3374,11.5724,16.3216,16.7744
0.0525,1.94579,4.51637,6.28378,2.42241,12.7677,17.2128,11.5252,16.2551,16.6805
0.053,1.94478,4.58089,6.36025,2.46598,12.8185,17.0821,11.4742,16.1832,16.5809
0.0535,1.94376,4.64516,6.43595,2.50972,12.8653,16.9453,11.4192,16.1056,16.4757
0.054,1.94272,4.70912,6.51079,2.5536,12.908,16.802,11.36,16.0222,16.3642
0.0545,1.94167,4.77291,6.58495,2.59771,12.9469,16.6533,11.2971,15.9336,16.2475
0.055,1.94063,4.83666,6.65862,2.64211,12.9825,16.4998,11.2311,15.8406,16.1263
0.0555,1.93959,4.90018,6.73155,2.6867,13.0144,16.3414,11.1617,15.7427,16.0003
0.056,1.93853,4.96326,6.80346,2.73137,13.042,16.1775,11.0885,15.6394,15.8689
0.0565,1.93745,5.02602,6.87447,2.77618,13.0657,16.0087,11.0119,15.5315,15.7327
0.057,1.93638,5.08859,6.94478,2.8212,13.0859,15.8359,10.9325,15.4196,15.5928
0.0575,1.93531,5.15089,7.01433,2.86639,13.1026,15.6591,10.8502,15.3035,15.4487
0.058,1.93422,5.21268,7.08277,2.91162,13.1152,15.4777,10.7645,15.1827,15.3001
0.0585,1.93312,5.27401,7.15012,2.95691,13.1238,15.2924,10.6758,15.0576,15.1472
0.059,1.93202,5.33525,7.21692,3.00247,13.1294,15.1044,10.585,14.9296,14.9916
0.0595,1.93092,5.39621,7.28293,3.04819,13.1317,14.9134,10.4918,14.7982,14.833
0.06,1.92981,5.45651,7.34764,3.09387,13.1298,14.7187,10.3957,14.6627,14.6704
0.0605,1.9287,5.5164,7.41139,3.13964,13.1244,14.5212,10.2972,14.5239,14.5048
0.061,1.92757,5.57598,7.47432,3.18555,13.1159,14.3215,10.1968,14.3823,14.3367
0.0615,1.92645,5.63519,7.53631,3.23157,13.1041,14.1197,10.0943,14.2379,14.1661
0.062,1.92532,5.69387,7.59718,3.27761,13.0887,13.9155,9.9898,14.0905,13.9929
0.0625,1.92417,5.75203,7.65697,3.32367,13.0698,13.7094,9.88331,13.9403,13.8173
0.063,1.92303,5.80969,7.7157,3.36976,13.0477,13.5015,9.77499,13.7876,13.6396
0.0635,1.92188,5.8668,7.77328,3.41587,13.0222,13.2921,9.66498,13.6325,13.4599
0.064,1.92072,5.92337,7.82975,3.46198,12.9936,13.0814,9.55341,13.4752,13.2784
0.0645,1.91956,5.97947,7.88521,3.50813,12.9618,12.8697,9.44047,13.316,13.0954
