radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0545,1.94047,4.75722,6.58955,2.56242,12.9175,16.6757,11.819,15.9307,16.2517
0.055,1.93941,4.82099,6.66335,2.60679,12.9539,16.523,11.748,15.835,16.1284
0.0555,1.93834,4.88465,6.73657,2.65141,12.9868,16.3655,11.6736,15.7348,16.0006
0.056,1.93727,4.948,6.80895,2.69619,13.0158,16.203,11.5956,15.6297,15.8679
0.0565,1.93619,5.01098,6.88036,2.74109,13.0407,16.0355,11.5141,15.5199,15.7303
0.057,1.93511,5.07369,6.95096,2.78617,13.062,15.8635,11.4293,15.4056,15.5885
0.0575,1.93401,5.13612,7.02075,2.83144,13.0797,15.6875,11.3414,15.2873,15.4426
0.058,1.93291,5.19824,7.08966,2.87685,13.0937,15.5075,11.2507,15.165,15.2929
0.0585,1.9318,5.25999,7.15764,2.92239,13.1039,15.3237,11.157,15.0387,15.1393
0.059,1.93069,5.3214,7.22475,2.96807,13.1106,15.1365,11.0605,14.9087,14.9823
0.0595,1.92956,5.38253,7.29107,3.01392,13.1141,14.9461,10.9616,14.7755,14.8222
0.06,1.92844,5.44324,7.35636,3.05986,13.1137,14.7526,10.86,14.6387,14.6586
0.0605,1.92732,5.50337,7.42043,3.10581,13.1095,14.5558,10.7558,14.4982,14.4916
0.061,1.92617,5.56298,7.48338,3.15179,13.1016,14.3563,10.6491,14.3545,14.3218
0.0615,1.92502,5.62229,7.54551,3.19794,13.0905,14.1547,10.5405,14.2081,14.1496
0.062,1.92388,5.68128,7.6068,3.24423,13.0765,13.9515,10.4301,14.0594,13.9754
0.0625,1.92272,5.73962,7.66682,3.29048,13.0586,13.7457,10.3175,13.9077,13.7986
0.063,1.92156,5.7975,7.72582,3.33679,13.0376,13.5383,10.2031,13.7536,13.6197
0.0635,1.9204,5.85494,7.78381,3.38318,13.0134,13.3295,10.0872,13.5974,13.4392
0.064,1.91922,5.91177,7.84056,3.42954,12.9858,13.1192,9.96954,13.4388,13.2567
0.0645,1.91805,5.96819,7.89637,3.47599,12.9554,12.9082,9.85063,13.2786,13.073
0.065,1.91688,6.02424,7.95132,3.52256,12.9222,12.6965,9.73067,13.117,12.8883
0.0655,1.91568,6.07943,8.00471,3.56894,12.8853,12.4835,9.60889,12.9529,12.7017
