 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   1.000e-02     1.05942e-04     8.96010e-04     8.84261e+00     7.19125e+00     1.73581e+01     2.17238e+00     5.05351e+07     1.59111e-05      2.01767e-01      3.16625e-01      8.44303e-02      9.70983e-01      2.37036e+00      1.49804e+00      2.02840e+00      2.20869e+00     2.00125e+00     3.50700e-01     6.29264e-01     8.49043e-06     1.01778e-05     2.92548e-06     4.86915e-03     1.03463e-07     8.53651e-03     5.73992e-04     2.18593e-05     2.04049e-03     4.04019e-05     7.77942e-04     7.01348e-05     8.57732e-04     9.45938e-06     4.27464e-04     5.68225e-06     8.26095e-05     4.53274e-06     7.54699e-05     4.76050e-08     3.50680e-06     4.48682e-07     2.14211e-05     1.56580e-05     1.48848e-03     4.02935e-06     8.77934e-05
   1.050e-02     1.22585e-04     1.03635e-03     8.86379e+00     7.19116e+00     1.73578e+01     2.17204e+00     5.05374e+07     1.75280e-05      2.22290e-01      3.48660e-01      9.31266e-02      1.06751e+00      2.60004e+00      1.64334e+00      2.22515e+00      2.42265e+00     2.00101e+00     3.50999e-01     6.28964e-01     8.51427e-06     1.01733e-05     2.92420e-06     4.86910e-03     1.03466e-07     8.53893e-03     5.71545e-04     2.18594e-05     2.04050e-03     4.04020e-05     7.77944e-04     7.01349e-05     8.57733e-04     9.45939e-06     4.27465e-04     5.68226e-06     8.26096e-05     4.53275e-06     7.54700e-05     4.76050e-08     3.50680e-06     4.48683e-07     2.14211e-05     1.56580e-05     1.48849e-03     4.02935e-06     8.77936e-05
   1.100e-02     1.40875e-04     1.19049e-03     8.88399e+00     7.19105e+00     1.73575e+01     2.17169e+00     5.05398e+07     1.92218e-05      2.43793e-01      3.82191e-01      1.02260e-01      1.16821e+00      2.83847e+00      1.79422e+00      2.42944e+00      2.64474e+00     2.00077e+00     3.51314e-01     6.28650e-01     8.53931e-06     1.01680e-05     2.92274e-06     4.86883e-03     1.03466e-07     8.54109e-03     5.68966e-04     2.18585e-05     2.04041e-03     4.04003e-05     7.77912e-04     7.01320e-05     8.57697e-04     9.45899e-06     4.27447e-04     5.68202e-06     8.26061e-05     4.53256e-06     7.54668e-05     4.76030e-08     3.50666e-06     4.48664e-07     2.14202e-05     1.56573e-05     1.48842e-03     4.02918e-06     8.77898e-05
   1.150e-02     1.60893e-04     1.35908e-03     8.90330e+00     7.19095e+00     1.73571e+01     2.17132e+00     5.05424e+07     2.09915e-05      2.66265e-01      4.17195e-01      1.11827e-01      1.27294e+00      3.08521e+00      1.95040e+00      2.64091e+00      2.87457e+00     2.00051e+00     3.51643e-01     6.28323e-01     8.56555e-06     1.01627e-05     2.92122e-06     4.86857e-03     1.03465e-07     8.54337e-03     5.66281e-04     2.18576e-05     2.04033e-03     4.03987e-05     7.77881e-04     7.01292e-05     8.57663e-04     9.45862e-06     4.27430e-04     5.68180e-06     8.26029e-05     4.53238e-06     7.54639e-05     4.76011e-08     3.50652e-06     4.48646e-07     2.14194e-05     1.56567e-05     1.48835e-03     4.02902e-06     8.77864e-05
   1.200e-02     1.82707e-04     1.54265e-03     8.92179e+00     7.19085e+00     1.73568e+01     2.17094e+00     5.05451e+07     2.28365e-05      2.89695e-01      4.53651e-01      1.21829e-01      1.38163e+00      3.33986e+00      2.11163e+00      2.85923e+00      3.11177e+00     2.00023e+00     3.51985e-01     6.27981e-01     8.59299e-06     1.01575e-05     2.91976e-06     4.86851e-03     1.03468e-07     8.54610e-03     5.63515e-04     2.18577e-05     2.04034e-03     4.03988e-05     7.77883e-04     7.01294e-05     8.57665e-04     9.45864e-06     4.27431e-04     5.68181e-06     8.26030e-05     4.53239e-06     7.54640e-05     4.76012e-08     3.50653e-06     4.48647e-07     2.14194e-05     1.56567e-05     1.48835e-03     4.02903e-06     8.77866e-05
   1.250e-02     2.06396e-04     1.74185e-03     8.93952e+00     7.19073e+00     1.73565e+01     2.17054e+00     5.05479e+07     2.47564e-05      3.14081e-01      4.91552e-01      1.32266e-01      1.49419e+00      3.60208e+00      2.27771e+00      3.08409e+00      3.35601e+00     1.99995e+00     3.52341e-01     6.27624e-01     8.62164e-06     1.01523e-05     2.91828e-06     4.86852e-03     1.03474e-07     8.54906e-03     5.60654e-04     2.18581e-05     2.04037e-03     4.03994e-05     7.77896e-04     7.01305e-05     8.57679e-04     9.45880e-06     4.27438e-04     5.68190e-06     8.26044e-05     4.53246e-06     7.54652e-05     4.76020e-08     3.50658e-06     4.48654e-07     2.14198e-05     1.56570e-05     1.48837e-03     4.02910e-06     8.77880e-05
   1.300e-02     2.32035e-04     1.95728e-03     8.95654e+00     7.19061e+00     1.73561e+01     2.17013e+00     5.05507e+07     2.67507e-05      3.39416e-01      5.30880e-01      1.43140e-01      1.61051e+00      3.87145e+00      2.44837e+00      3.31518e+00      3.60691e+00     1.99966e+00     3.52713e-01     6.27253e-01     8.65151e-06     1.01462e-05     2.91653e-06     4.86817e-03     1.03472e-07     8.55149e-03     5.57651e-04     2.18568e-05     2.04026e-03     4.03971e-05     7.77851e-04     7.01265e-05     8.57629e-04     9.45825e-06     4.27413e-04     5.68157e-06     8.25996e-05     4.53220e-06     7.54609e-05     4.75993e-08     3.50638e-06     4.48628e-07     2.14185e-05     1.56561e-05     1.48828e-03     4.02887e-06     8.77830e-05
   1.350e-02     2.59700e-04     2.18953e-03     8.97294e+00     7.19049e+00     1.73557e+01     2.16971e+00     5.05536e+07     2.88207e-05      3.65716e-01      5.71654e-01      1.54460e-01      1.73061e+00      4.14785e+00      2.62355e+00      3.55237e+00      3.86435e+00     1.99936e+00     3.53097e-01     6.26868e-01     8.68259e-06     1.01410e-05     2.91506e-06     4.86838e-03     1.03482e-07     8.55502e-03     5.54613e-04     2.18581e-05     2.04038e-03     4.03995e-05     7.77899e-04     7.01306e-05     8.57680e-04     9.45882e-06     4.27438e-04     5.68191e-06     8.26046e-05     4.53247e-06     7.54654e-05     4.76021e-08     3.50659e-06     4.48655e-07     2.14198e-05     1.56570e-05     1.48837e-03     4.02911e-06     8.77882e-05
   1.400e-02     2.89456e-04     2.43912e-03     8.98873e+00     7.19036e+00     1.73554e+01     2.16926e+00     5.05567e+07     3.09626e-05      3.92935e-01      6.13799e-01      1.66210e-01      1.85418e+00      4.43042e+00      2.80271e+00      3.79499e+00      4.12754e+00     1.99905e+00     3.53497e-01     6.26469e-01     8.71490e-06     1.01346e-05     2.91328e-06     4.86817e-03     1.03484e-07     8.55789e-03     5.51429e-04     2.18575e-05     2.04033e-03     4.03984e-05     7.77877e-04     7.01287e-05     8.57657e-04     9.45855e-06     4.27427e-04     5.68175e-06     8.26023e-05     4.53234e-06     7.54633e-05     4.76008e-08     3.50649e-06     4.48643e-07     2.14192e-05     1.56566e-05     1.48832e-03     4.02899e-06     8.77858e-05
   1.450e-02     3.21384e-04     2.70669e-03     9.00397e+00     7.19024e+00     1.73549e+01     2.16880e+00     5.05598e+07     3.31780e-05      4.21092e-01      6.57337e-01      1.78403e-01      1.98127e+00      4.71903e+00      2.98580e+00      4.04288e+00      4.39637e+00     1.99872e+00     3.53910e-01     6.26057e-01     8.74843e-06     1.01279e-05     2.91134e-06     4.86782e-03     1.03482e-07     8.56059e-03     5.48133e-04     2.18563e-05     2.04021e-03     4.03960e-05     7.77833e-04     7.01246e-05     8.57607e-04     9.45800e-06     4.27402e-04     5.68142e-06     8.25975e-05     4.53208e-06     7.54589e-05     4.75980e-08     3.50629e-06     4.48617e-07     2.14180e-05     1.56557e-05     1.48823e-03     4.02876e-06     8.77806e-05
