 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   1.000e-02     1.05320e-04     8.87536e-04     8.84260e+00     7.18862e+00     1.73569e+01     2.16984e+00     5.06160e+07     1.58181e-05      2.03243e-01      3.17743e-01      8.65407e-02      9.79555e-01      2.38596e+00      1.44241e+00      2.01655e+00      2.20443e+00     2.00149e+00     3.59122e-01     6.22757e-01     9.16424e-06     9.53421e-06     2.74100e-06     4.61540e-03     9.81877e-08     7.39052e-03     4.48047e-04     1.88472e-05     1.92535e-03     3.24419e-05     7.17212e-04     6.31884e-05     7.90767e-04     7.77260e-06     4.03278e-04     5.48558e-06     1.07579e-04     4.47780e-06     7.28576e-05     5.65404e-08     3.54487e-06     3.44068e-07     1.88595e-05     1.58289e-05     1.37225e-03     4.36447e-06     8.09395e-05
   1.050e-02     1.21867e-04     1.02657e-03     8.86379e+00     7.18852e+00     1.73566e+01     2.16951e+00     5.06183e+07     1.74268e-05      2.23924e-01      3.49906e-01      9.54523e-02      1.07695e+00      2.61718e+00      1.58247e+00      2.21235e+00      2.41811e+00     2.00126e+00     3.59420e-01     6.22460e-01     9.18915e-06     9.52969e-06     2.73972e-06     4.61519e-03     9.81873e-08     7.39211e-03     4.46116e-04     1.88464e-05     1.92528e-03     3.24406e-05     7.17184e-04     6.31860e-05     7.90737e-04     7.77230e-06     4.03262e-04     5.48537e-06     1.07575e-04     4.47763e-06     7.28547e-05     5.65382e-08     3.54473e-06     3.44055e-07     1.88587e-05     1.58283e-05     1.37219e-03     4.36430e-06     8.09364e-05
   1.100e-02     1.40053e-04     1.17928e-03     8.88400e+00     7.18843e+00     1.73563e+01     2.16917e+00     5.06206e+07     1.91106e-05      2.45574e-01      3.83540e-01      1.04802e-01      1.17846e+00      2.85698e+00      1.72777e+00      2.41550e+00      2.63973e+00     2.00101e+00     3.59731e-01     6.22150e-01     9.21531e-06     9.52488e-06     2.73834e-06     4.61491e-03     9.81859e-08     7.39369e-03     4.44094e-04     1.88455e-05     1.92519e-03     3.24389e-05     7.17148e-04     6.31827e-05     7.90696e-04     7.77190e-06     4.03242e-04     5.48509e-06     1.07569e-04     4.47740e-06     7.28510e-05     5.65353e-08     3.54455e-06     3.44037e-07     1.88578e-05     1.58275e-05     1.37211e-03     4.36407e-06     8.09322e-05
   1.150e-02     1.59953e-04     1.34628e-03     8.90330e+00     7.18832e+00     1.73560e+01     2.16881e+00     5.06231e+07     2.08698e-05      2.68193e-01      4.18645e-01      1.14593e-01      1.28402e+00      3.10507e+00      1.87816e+00      2.62576e+00      2.86903e+00     2.00076e+00     3.60057e-01     6.21824e-01     9.24271e-06     9.52027e-06     2.73705e-06     4.61487e-03     9.81896e-08     7.39571e-03     4.42012e-04     1.88454e-05     1.92519e-03     3.24389e-05     7.17147e-04     6.31827e-05     7.90696e-04     7.77189e-06     4.03241e-04     5.48509e-06     1.07569e-04     4.47740e-06     7.28510e-05     5.65353e-08     3.54455e-06     3.44037e-07     1.88578e-05     1.58275e-05     1.37212e-03     4.36407e-06     8.09322e-05
   1.200e-02     1.81641e-04     1.52813e-03     8.92178e+00     7.18822e+00     1.73557e+01     2.16843e+00     5.06256e+07     2.27046e-05      2.91786e-01      4.55221e-01      1.24831e-01      1.39360e+00      3.36121e+00      2.03351e+00      2.84293e+00      3.10579e+00     2.00049e+00     3.60396e-01     6.21484e-01     9.27138e-06     9.51575e-06     2.73577e-06     4.61495e-03     9.81957e-08     7.39799e-03     4.39859e-04     1.88458e-05     1.92523e-03     3.24397e-05     7.17164e-04     6.31842e-05     7.90714e-04     7.77207e-06     4.03251e-04     5.48521e-06     1.07572e-04     4.47750e-06     7.28526e-05     5.65366e-08     3.54463e-06     3.44045e-07     1.88582e-05     1.58278e-05     1.37214e-03     4.36417e-06     8.09341e-05
   1.250e-02     2.05196e-04     1.72550e-03     8.93952e+00     7.18811e+00     1.73553e+01     2.16804e+00     5.06282e+07     2.46141e-05      3.16342e-01      4.93246e-01      1.35514e-01      1.50706e+00      3.62494e+00      2.19354e+00      3.06666e+00      3.34958e+00     2.00021e+00     3.60750e-01     6.21131e-01     9.30130e-06     9.51077e-06     2.73436e-06     4.61488e-03     9.81995e-08     7.40014e-03     4.37613e-04     1.88458e-05     1.92522e-03     3.24395e-05     7.17162e-04     6.31838e-05     7.90710e-04     7.77203e-06     4.03248e-04     5.48518e-06     1.07571e-04     4.47748e-06     7.28522e-05     5.65363e-08     3.54461e-06     3.44043e-07     1.88581e-05     1.58277e-05     1.37213e-03     4.36415e-06     8.09336e-05
   1.300e-02     2.30684e-04     1.93890e-03     8.95655e+00     7.18799e+00     1.73549e+01     2.16763e+00     5.06310e+07     2.65976e-05      3.41852e-01      5.32702e-01      1.46642e-01      1.62431e+00      3.89584e+00      2.35801e+00      3.29660e+00      3.60005e+00     1.99992e+00     3.61117e-01     6.20763e-01     9.33250e-06     9.50560e-06     2.73289e-06     4.61482e-03     9.82034e-08     7.40239e-03     4.35288e-04     1.88457e-05     1.92521e-03     3.24394e-05     7.17159e-04     6.31836e-05     7.90707e-04     7.77201e-06     4.03247e-04     5.48516e-06     1.07571e-04     4.47746e-06     7.28520e-05     5.65361e-08     3.54460e-06     3.44042e-07     1.88580e-05     1.58277e-05     1.37212e-03     4.36414e-06     8.09333e-05
   1.350e-02     2.58189e-04     2.16899e-03     8.97294e+00     7.18787e+00     1.73546e+01     2.16720e+00     5.06338e+07     2.86548e-05      3.68311e-01      5.73577e-01      1.58214e-01      1.74526e+00      4.17353e+00      2.52671e+00      3.53245e+00      3.85681e+00     1.99961e+00     3.61499e-01     6.20383e-01     9.36497e-06     9.49987e-06     2.73126e-06     4.61460e-03     9.82039e-08     7.40443e-03     4.32869e-04     1.88450e-05     1.92514e-03     3.24381e-05     7.17130e-04     6.31811e-05     7.90675e-04     7.77169e-06     4.03231e-04     5.48494e-06     1.07567e-04     4.47728e-06     7.28490e-05     5.65338e-08     3.54445e-06     3.44028e-07     1.88573e-05     1.58270e-05     1.37207e-03     4.36396e-06     8.09300e-05
   1.400e-02     2.87774e-04     2.41626e-03     8.98873e+00     7.18775e+00     1.73542e+01     2.16677e+00     5.06368e+07     3.07849e-05      3.95709e-01      6.15845e-01      1.70231e-01      1.86978e+00      4.45757e+00      2.69936e+00      3.77382e+00      4.11947e+00     1.99931e+00     3.61895e-01     6.19987e-01     9.39871e-06     9.49443e-06     2.72972e-06     4.61461e-03     9.82095e-08     7.40691e-03     4.30396e-04     1.88451e-05     1.92516e-03     3.24384e-05     7.17138e-04     6.31817e-05     7.90683e-04     7.77176e-06     4.03235e-04     5.48499e-06     1.07568e-04     4.47732e-06     7.28497e-05     5.65343e-08     3.54449e-06     3.44031e-07     1.88575e-05     1.58272e-05     1.37208e-03     4.36400e-06     8.09308e-05
   1.450e-02     3.19524e-04     2.68140e-03     9.00397e+00     7.18762e+00     1.73538e+01     2.16631e+00     5.06398e+07     3.29894e-05      4.24066e-01      6.59535e-01      1.82706e-01      1.99790e+00      4.74783e+00      2.87592e+00      4.02066e+00      4.38793e+00     1.99899e+00     3.62305e-01     6.19578e-01     9.43374e-06     9.48810e-06     2.72793e-06     4.61428e-03     9.82082e-08     7.40893e-03     4.27817e-04     1.88440e-05     1.92504e-03     3.24364e-05     7.17093e-04     6.31777e-05     7.90633e-04     7.77128e-06     4.03209e-04     5.48465e-06     1.07561e-04     4.47704e-06     7.28452e-05     5.65308e-08     3.54427e-06     3.44010e-07     1.88563e-05     1.58262e-05     1.37199e-03     4.36373e-06     8.09258e-05
