radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.059,5.33323,7.22434,2.9967,13.1209,15.1124,10.6732,14.923,14.989
0.0595,5.39415,7.2903,3.04243,13.1233,14.9216,10.5788,14.7912,14.83
0.06,5.45445,7.35503,3.08814,13.1216,14.727,10.4816,14.6553,14.6671
0.0605,5.51442,7.41888,3.13398,13.1165,14.53,10.3821,14.5163,14.5014
0.061,5.57405,7.48184,3.17995,13.1082,14.3306,10.2805,14.3743,14.333
0.0615,5.6332,7.54374,3.22597,13.0964,14.1288,10.1768,14.2294,14.1621
0.062,5.69187,7.60461,3.27205,13.0812,13.9248,10.0711,14.0817,13.9886
0.0625,5.75005,7.66442,3.31816,13.0626,13.7189,9.96348,13.9312,13.8128
0.063,5.80772,7.72314,3.36431,13.0407,13.5112,9.85403,13.7783,13.6349
0.0635,5.86498,7.7809,3.41053,13.0157,13.3023,9.74305,13.6232,13.4552
0.064,5.9218,7.83768,3.45683,12.9877,13.0922,9.63066,13.4661,13.274
0.0645,5.978,7.89321,3.50309,12.9565,12.8809,9.51673,13.3069,13.0911
0.065,6.03355,7.94752,3.54929,12.9219,12.6685,9.40135,13.1457,12.9067
0.0655,6.08857,8.00077,3.59549,12.8844,12.4555,9.28478,12.9827,12.7211
0.066,6.14307,8.0529,3.64171,12.844,12.2421,9.16713,12.8183,12.5345
0.0665,6.19694,8.10381,3.68788,12.8006,12.0282,9.04838,12.6524,12.3469
0.067,6.25017,8.15356,3.73399,12.7544,11.8142,8.92872,12.4851,12.1585
0.0675,6.30284,8.20221,3.78007,12.7055,11.6003,8.80832,12.3169,11.9697
0.068,6.35494,8.24971,3.82613,12.6539,11.3867,8.68725,12.1477,11.7804
0.0685,6.40635,8.29599,3.8721,12.5996,11.1734,8.56555,11.9776,11.5909
0.069,6.45709,8.34101,3.91796,12.5427,10.9606,8.44323,11.8066,11.4011
0.0695,6.50714,8.38478,3.96373,12.4831,10.7483,8.32042,11.635,11.2112
0.07,6.55649,8.42731,4.00938,12.4211,10.5369,8.19728,11.4629,11.0214
0.0705,6.60522,8.46872,4.05497,12.3569,10.3265,8.07399,11.2906,10.832
0.071,6.65331,8.50898,4.10047,12.2904,10.1174,7.95062,11.1182,10.6431
0.0715,6.7006,8.54786,4.14577,12.2215,9.90923,7.82702,10.9455,10.4545
0.072,6.74712,8.58541,4.1909,12.1502,9.70236,7.70334,10.7726,10.2664
0.0725,6.79302,8.62185,4.23596,12.0771,9.49714,7.57986,10.6,10.0792
0.073,6.83838,8.6573,4.28098,12.0022,9.29374,7.45676,10.428,9.89309
0.0735,6.8826,8.69095,4.32558,11.9247,9.09153,7.33347,10.2557,9.70742
0.074,6.92609,8.72339,4.37003,11.8453,8.89115,7.2105,10.0838,9.52279
0.0745,6.96921,8.75513,4.41454,11.7647,8.69315,7.0883,9.91305,9.33982
0.075,7.01137,8.78534,4.45873,11.6821,8.49687,6.96634,9.74256,9.1578
0.0755,7.05249,8.81392,4.50255,11.5972,8.30235,6.84461,9.57246,8.97678
0.076,7.09296,8.84142,4.54625,11.511,8.11015,6.72358,9.40333,8.79732
0.0765,7.13289,8.86798,4.58989,11.4236,7.92046,6.60343,9.23538,8.61964
