radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.055,4.82455,6.66801,2.61179,12.9555,16.5234,11.6944,15.8355,16.131
0.0555,4.88809,6.74107,2.65636,12.9881,16.3657,11.6204,15.7353,16.0031
0.056,4.95136,6.81331,2.70112,13.0169,16.2032,11.5429,15.6304,15.8706
0.0565,5.01438,6.88476,2.74606,13.042,16.036,11.4621,15.5211,15.7338
0.057,5.07706,6.95533,2.79114,13.0633,15.8642,11.378,15.4073,15.5923
0.0575,5.13935,7.0249,2.83634,13.0805,15.6879,11.2906,15.2889,15.4464
0.058,5.20152,7.09386,2.88179,13.0946,15.5082,11.2005,15.167,15.2971
0.0585,5.26341,7.16203,2.92742,13.1053,15.3249,11.1077,15.0414,15.1444
0.059,5.32475,7.22902,2.97307,13.1118,15.1376,11.0118,14.9116,14.9874
0.0595,5.3857,7.29505,3.01883,13.1147,14.9469,10.9132,14.778,14.827
0.06,5.44624,7.36009,3.06469,13.114,14.7531,10.812,14.6411,14.6634
0.0605,5.50633,7.42409,3.11062,13.1097,14.5563,10.7084,14.5008,14.4967
0.061,5.56608,7.48721,3.1567,13.1021,14.3572,10.6026,14.3577,14.3275
0.0615,5.62551,7.5495,3.20292,13.0914,14.156,10.4949,14.2119,14.1559
0.062,5.68435,7.61058,3.24914,13.0769,13.9525,10.385,14.0631,13.9815
0.0625,5.74266,7.67051,3.29538,13.059,13.7468,10.273,13.9115,13.8048
0.063,5.80067,7.72966,3.34177,13.0383,13.5398,10.1596,13.7581,13.6266
0.0635,5.85818,7.78774,3.38821,13.0142,13.3313,10.0445,13.6022,13.4464
0.064,5.91504,7.84455,3.4346,12.9867,13.1212,9.92748,13.4438,13.264
0.0645,5.97127,7.90007,3.48094,12.9558,12.9097,9.80892,13.2834,13.08
0.065,6.02707,7.95464,3.52736,12.9221,12.6976,9.68921,13.1213,12.895
0.0655,6.08236,8.00818,3.57382,12.8855,12.4849,9.56837,12.9578,12.7088
0.066,6.13695,8.06041,3.62018,12.8457,12.2714,9.44619,12.7924,12.5214
0.0665,6.19086,8.11133,3.66647,12.8027,12.0574,9.32288,12.6255,12.3329
0.067,6.2445,8.16155,3.71291,12.7576,11.8439,9.19919,12.458,12.1444
0.0675,6.29738,8.21037,3.75922,12.7094,11.6301,9.07438,12.2891,11.955
0.068,6.34951,8.25784,3.80542,12.6582,11.4162,8.94871,12.119,11.765
0.0685,6.40106,8.30419,3.85158,12.6045,11.2028,8.82253,11.9482,11.5748
0.069,6.45201,8.34943,3.89769,12.5483,10.99,8.69587,11.7767,11.3845
0.0695,6.50231,8.39346,3.94374,12.4895,10.7779,8.5688,11.6047,11.1943
0.07,6.55193,8.43622,3.98968,12.4283,10.5665,8.44139,11.4323,11.0042
0.0705,6.60081,8.4777,4.03549,12.3645,10.356,8.31372,11.2595,10.8144
0.071,6.64904,8.51801,4.08121,12.2985,10.1466,8.18593,11.0865,10.6249
0.0715,6.69658,8.55711,4.12682,12.2303,9.93844,8.0581,10.9135,10.4361
0.072,6.74334,8.59486,4.17225,12.1598,9.73155,7.93021,10.7404,10.2477
0.0725,6.78945,8.63142,4.21758,12.0872,9.52622,7.80254,10.5675,10.0603
0.073,6.83476,8.66669,4.26273,12.0125,9.32232,7.67498,10.3949,9.87359
