E_nu_MeV,E_e_MeV,p_e_MeV,dsigma_dpe_cm2_per_MeV
1.5,0.543204211053896,0.18425733463235802,2.4880391151095395e-47
1.5,0.543291434680351,0.18451431775385102,2.47433110166774e-47
1.5,0.543441557412184,0.18495587793232002,2.45063903123844e-47
1.5,0.543591997364666,0.18539743811078502,2.4267747373594297e-47
1.5,0.54367969767498,0.18565442123228001,2.4128079509862197e-47
1.5,0.543830638929156,0.186095981410747,2.38867769864204e-47
1.5,0.543981896723607,0.186537541589215,2.36438356320238e-47
1.5,0.544070072695388,0.18679452471071,2.35017053773406e-47
1.5,0.544221830713811,0.187236084889177,2.32562407464674e-47
1.5,0.544373904590403,0.187677645067643,2.3009226247771497e-47
1.5,0.54446255519866,0.187934628189137,2.28647672927411e-47
1.5,0.5446151282187931,0.188376188367605,2.26153747636802e-47
1.5,0.544768016413291,0.18881774854607003,2.2364527070021995e-47
1.5,0.544857140630484,0.18907473166756603,2.22178817327338e-47
1.5,0.5450105268854311,0.18951629184603103,2.1964810479797697e-47
1.5,0.545164227629277,0.189957852024498,2.17103846880818e-47
1.5,0.545253824425361,0.19021483514599402,2.15617041894005e-47
1.5,0.545408022143956,0.190656395324461,2.13052188247131e-47
1.5,0.545562533664349,0.19109795550292802,2.10474856534069e-47
1.5,0.545652602006828,0.19135493862442401,2.0896930383685798e-47
1.5,0.545807609413712,0.19179649880288802,2.0637311423231499e-47
1.5,0.5459629299336951,0.192238058981357,2.0376557669554697e-47
1.5,0.546053468787666,0.192495042102849,2.02242974644671e-47
1.5,0.546209284103378,0.192936602281319,1.99618417867509e-47
1.5,0.546365411841917,0.193378162459784,1.9698370789382399e-47
1.5,0.546456420170125,0.193635145581279,1.95445851861811e-47
1.5,0.5466130416111751,0.194076705759747,1.92796064842279e-47
1.5,0.546769974783249,0.194518265938214,1.9013738565695898e-47
1.5,0.546861451546126,0.194775249059707,1.8858617065986699e-47
1.5,0.547018877325087,0.195216809238174,1.85914462809756e-47
1.5,0.547176614141763,0.19565836941664103,1.8323519174006799e-47
1.5,0.547268558297484,0.195915352538135,1.8167261484565e-47
1.5,0.54742678662307,0.19635691271660202,1.7898247216842598e-47
1.5,0.54758532529159,0.19679847289507002,1.7628616469801697e-47
1.5,0.547677735796117,0.19705545601656502,1.74714327371041e-47
1.5,0.547836764873265,0.19749701619503102,1.72009416357704e-47
1.5,0.547996103597126,0.19793857637349802,1.6929980979699e-47
1.5,0.548088979404255,0.198195559494992,1.67720919938872e-47
1.5,0.54824880743421,0.19863711967346,1.65005091016345e-47
1.5,0.548408944413246,0.199078679851926,1.62286107919776e-47
1.5,0.548502284474658,0.199335662973422,1.6070248174355e-47
1.5,0.548662909655049,0.199777223151889,1.57979772369195e-47
1.5,0.548823843085514,0.20021878333035603,1.55255523293677e-47
1.5,0.548917646350818,0.20047576645185,1.5366958691488199e-47
1.5,0.549079066875744,0.20091732663031603,1.50944224007134e-47
1.5,0.549240794950391,0.20135888680878403,1.48219009800416e-47
