pull_index,E_MeV,f
0,5.966,1.0185543099885332
0,5.99,1.0186526818997386
0,6.014,1.0187501202113145
0,6.038,1.018849463912306
0,6.062,1.018949250148371
0,6.086,1.019048203872306
0,6.11,1.0191462605800448
0,6.134,1.0192434437522644
0,6.158,1.0193398038116286
0,6.182,1.019435271932019
0,6.206,1.019529958480044
0,6.23,1.0196238062546956
0,6.254,1.0197168311883618
0,6.278,1.01980908982489
0,6.302,1.0199005554377647
0,6.326,1.0199911938125772
0,6.35,1.0200811101791851
0,6.374,1.0201702383766231
0,6.398,1.020258624088515
0,6.422,1.0203462896978548
0,6.446,1.0204331724908595
0,6.47,1.0205193823433691
0,6.494,1.020604847947211
0,6.518,1.020689618080948
0,6.542,1.0207744406067467
0,6.566,1.020858665775318
0,6.59,1.020942253832304
0,6.614,1.0210251626969975
0,6.638,1.0211073644978343
0,6.662,1.0211889317245226
0,6.686,1.0212698563300997
0,6.71,1.0213501136744307
0,6.734,1.0214297254952964
0,6.758,1.0215087322388563
0,6.782,1.021587117751928
0,6.806,1.021664838376336
0,6.83,1.0217419986864162
0,6.854,1.021818555774224
0,6.878,1.0218944822244993
0,6.902,1.0219698478368957
0,6.926,1.0220446422692149
0,6.95,1.0221188436714306
0,6.974,1.0221924684673542
0,6.998,1.0222655596231924
0,7.022,1.02233805032935
0,7.046,1.0224071584559349
0,7.07,1.022475717006018
0,7.094,1.0225437698779989
0,7.118,1.0226112848310749
0,7.142,1.0226783418242047
0,7.166,1.0227448631077185
0,7.19,1.022810920048575
0,7.214,1.0228764522965188
0,7.238,1.0229415397889252
0,7.262,1.023006122840486
0,7.286,1.023070271032875
0,7.31,1.023133908427707
0,7.334,1.0231971120236245
0,7.358,1.0232598504247827
0,7.382,1.0233221643782398
0,7.406,1.0233839890389564
0,7.43,1.0234453900069298
0,7.454,1.0235063633569412
0,7.478,1.0235668793216417
0,7.502,1.0236270113822186
0,7.526,1.0236866865327252
0,7.55,1.0237459700709055
0,7.574,1.023804805604184
0,7.598,1.023863266994072
0,7.622,1.0239212973423246
0,7.646,1.0239789622316282
0,7.67,1.0240361877800952
0,7.694,1.0240930478063976
0,7.718,1.0241495104705167
0,7.742,1.024205615148896
0,7.766,1.0242612980643606
0,7.79,1.0243166223686124
0,7.814,1.0243715823391024
0,7.838,1.0244261502634235
0,7.862,1.0244803942268148
0,7.886,1.0245342453300623
0,7.91,1.0245877638410037
0,7.934,1.0246408967542948
0,7.958,1.024693712509822
0,7.982,1.0247461576670438
0,8.006,1.024798141815799
0,8.03,1.0248503414208596
0,8.054,1.0249025212817238
0,8.078,1.0249543655782951
0,8.102,1.0250058798388095
0,8.126,1.025056673562878
0,8.15,1.025107536293568
0,8.174,1.025158076593339
0,8.198,1.0252082994802796
0,8.222,1.0252582065156026
0,8.246,1.025307802085309
0,8.27,1.0253570882125709
0,8.294,1.025406068674011
0,8.318,1.025454745937274
0,8.342,1.0255027419801832
0,8.366,1.0255508232154174
0,8.39,1.0255986099532433
0,8.414,1.025646105500437
0,8.438,1.0256933119335785
0,8.462,1.0257402329552692
0,8.486,1.0257868701155006
0,8.51,1.0258332274976645
0,8.534,1.0258793061440117
0,8.558,1.0259251105042428
0,8.582,1.0259702705904854
0,8.606,1.0260155330985368
0,8.63,1.026060527193012
0,8.654,1.0261052569153943
0,8.678,1.02614972341788
0,8.702,1.0261939302211804
0,8.726,1.0262378788700963
0,8.75,1.0262815723822822
0,8.774,1.0263250126811738
0,8.798,1.02636791314824
0,8.822,1.0264107830687164
0,8.846,1.0264534789406357
0,8.87,1.026495931117248
0,8.894,1.026538141207337
0,8.918,1.0265801121913254
0,8.942,1.0266218452398714
0,8.966,1.0266633436608965
0,8.99,1.026704608201796
0,9.014,1.0267454308219477
0,9.038,1.0267849694597024
0,9.062,1.0268238687460731
0,9.086,1.0268622026155707
0,9.11,1.0269006750820495
0,9.134,1.0269387282855265
0,9.158,1.0269766411019994
0,9.182,1.0270141408868845
0,9.206,1.0270517815509317
0,9.23,1.0270890811311957
0,9.254,1.027126111265109
0,9.278,1.0271628729365974
0,9.302,1.0271996441266316
0,9.326,1.0272362169432052
0,9.35,1.0272723918612066
0,9.374,1.0273086465680026
0,9.398,1.027344438465273
0,9.422,1.0273802461554569
0,9.446,1.027415592946762
0,9.47,1.027451092510093
0,9.494,1.0274862051308693
0,9.518,1.0275212025407785
0,9.542,1.0275558188094829
0,9.566,1.027590587349002
0,9.59,1.0276250445881745
0,9.614,1.0276592590606084
0,9.638,1.027693496543818
0,9.662,1.0277272298236495
0,9.686,1.0277610539075517
0,9.71,1.0277945113612823
0,9.734,1.0278280590963906
0,9.758,1.0278611780450444
0,9.782,1.0278943258954931
0,9.806,1.027927048160846
0,9.83,1.0279599320910962
0,9.854,1.027992456161311
0,9.878,1.0280248849325853
0,9.902,1.0280572813750304
0,9.926,1.0280891983919085
0,9.95,1.0281211504002927
0,9.974,1.028152881447831
0,9.998,1.0281846485964168
0,10.022,1.0282159442836327
0,10.046,1.028248544637372
0,10.07,1.0282809874199883
0,10.094,1.0283132746918406
0,10.118,1.02834540760097
0,10.142,1.0283770735644258
0,10.166,1.028408902573133
0,10.19,1.0284405790300557
0,10.214,1.0284721064760818
0,10.238,1.0285034854724202
0,10.262,1.0285347168242764
0,10.286,1.028565492951906
0,10.31,1.0285964334721194
0,10.334,1.0286272302768191
0,10.358,1.0286578836891167
0,10.382,1.0286883956797723
0,10.406,1.0287187052197884
0,10.43,1.0287486937621524
0,10.454,1.0287787857986517
0,10.478,1.028808741483322
0,10.502,1.0288385602626604
0,10.526,1.0288682436887169
0,10.55,1.0288977930021994
0,10.574,1.0289270271186624
0,10.598,1.0289561900545308
