isotope,E_MeV,C
Pu239,3.37,0.0014684970042795
Pu239,3.38,0.0014260446634677
Pu239,3.39,0.0013846613409415
Pu239,3.4,0.0013443470367008
Pu239,3.41,0.0013051017507456
Pu239,3.42,0.0012669254830761
Pu239,3.43,0.0012298182336921
Pu239,3.44,0.0011937800025936
Pu239,3.45,0.0011588107897808
Pu239,3.46,0.0011249105952535
Pu239,3.47,0.0010920794190117
Pu239,3.48,0.0010603172610556
Pu239,3.49,0.001029624121385
Pu239,3.5,0.0009999999999999
Pu239,3.51,0.0009714448969005
Pu239,3.52,0.0009439588120866
Pu239,3.53,0.0009175417455582
Pu239,3.54,0.0008921936973155
Pu239,3.55,0.0008679146673583
Pu239,3.56,0.0008447046556866
Pu239,3.57,0.0008225636623006
Pu239,3.58,0.0008014916872001
Pu239,3.59,0.0007814887303851
Pu239,3.6,0.0007625547918557
Pu239,3.61,0.0007446898716119
Pu239,3.62,0.0007278939696537
Pu239,3.63,0.000712167085981
Pu239,3.64,0.0006975092205939
Pu239,3.65,0.0006839203734924
Pu239,3.66,0.0006714005446764
Pu239,3.67,0.000659949734146
Pu239,3.68,0.0006495679419011
Pu239,3.69,0.0006402551679418
Pu239,3.7,0.0006320114122681
Pu239,3.71,0.00062483667488
Pu239,3.72,0.0006187309557774
Pu239,3.73,0.0006136942549604
Pu239,3.74,0.0006097265724289
Pu239,3.75,0.0006068279081831
Pu239,3.76,0.000604387394631
Pu239,3.77,0.000601794164181
Pu239,3.78,0.000599048216833
Pu239,3.79,0.0005961495525872
Pu239,3.8,0.0005930981714433
Pu239,3.81,0.0005898940734016
Pu239,3.82,0.0005865372584619
Pu239,3.83,0.0005830277266243
Pu239,3.84,0.0005793654778887
Pu239,3.85,0.0005755505122552
Pu239,3.86,0.0005715828297237
Pu239,3.87,0.0005674624302943
Pu239,3.88,0.000563189313967
Pu239,3.89,0.0005587634807417
Pu239,3.9,0.0005541849306185
Pu239,3.91,0.0005494536635974
Pu239,3.92,0.0005445696796783
Pu239,3.93,0.0005395329788613
Pu239,3.94,0.0005343435611464
Pu239,3.95,0.0005290014265335
Pu239,3.96,0.0005235065750226
Pu239,3.97,0.0005178590066139
Pu239,3.98,0.0005120587213072
Pu239,3.99,0.0005061057191025
Pu239,4.0,0.0004999999999999
Pu239,4.01,0.0004937415639994
Pu239,4.02,0.000487330411101
Pu239,4.03,0.0004807665413046
Pu239,4.04,0.0004740499546102
Pu239,4.05,0.000467180651018
Pu239,4.06,0.0004601586305278
Pu239,4.07,0.0004529838931396
Pu239,4.08,0.0004456564388535
Pu239,4.09,0.0004381762676695
Pu239,4.1,0.0004305433795876
Pu239,4.11,0.0004227577746077
Pu239,4.12,0.0004148194527298
Pu239,4.13,0.000406728413954
Pu239,4.14,0.0003984846582803
Pu239,4.15,0.0003900881857087
Pu239,4.16,0.0003815389962391
Pu239,4.17,0.0003728370898716
Pu239,4.18,0.0003639824666061
Pu239,4.19,0.0003549751264427
Pu239,4.2,0.0003458150693814
Pu239,4.21,0.0003365022954221
Pu239,4.22,0.0003270368045649
Pu239,4.23,0.0003174185968097
Pu239,4.24,0.0003076476721566
Pu239,4.25,0.0002977240306056
Pu239,4.26,0.0002876476721566
Pu239,4.27,0.0002774185968097
Pu239,4.28,0.0002670368045649
Pu239,4.29,0.0002565022954221
Pu239,4.3,0.0002458150693814
Pu239,4.31,0.0002349751264427
Pu239,4.32,0.0002239824666061
Pu239,4.33,0.0002128370898716
Pu239,4.34,0.0002015389962391
Pu239,4.35,0.0001900881857087
Pu239,4.36,0.0001784846582803
Pu239,4.37,0.000166728413954
Pu239,4.38,0.0001548194527298
Pu239,4.39,0.0001427577746077
Pu239,4.4,0.0001305433795875
Pu239,4.41,0.0001181762676695
Pu239,4.42,0.0001056564388535
Pu239,4.43,9.298389313966756e-05
Pu239,4.44,8.015863052781461e-05
Pu239,4.45,6.718065101802365e-05
Pu239,4.46,5.40499546102935e-05
Pu239,4.47,4.076654130462652e-05
Pu239,4.48,2.733041110102153e-05
Pu239,4.49,1.374156399947854e-05
Pu241,1.8,0.02
Pu241,1.81,0.0199521387628063
Pu241,1.82,0.0199040523926857
Pu241,1.83,0.0198557408896381
Pu241,1.84,0.0198072042536635
Pu241,1.85,0.019758442484762
Pu241,1.86,0.0197094555829334
Pu241,1.87,0.0196602435481779
Pu241,1.88,0.0196108063804953
Pu241,1.89,0.0195611440798858
Pu241,1.9,0.0195112566463493
Pu241,1.91,0.0194611440798858
Pu241,1.92,0.0194108063804953
Pu241,1.93,0.0193602435481779
Pu241,1.94,0.0193094555829334
Pu241,1.95,0.019258442484762
Pu241,1.96,0.0192072042536635
Pu241,1.97,0.0191557408896381
Pu241,1.98,0.0191040523926857
Pu241,1.99,0.0190521387628063
Pu241,2.0,0.0189999999999999
Pu241,2.01,0.0189476361042666
Pu241,2.02,0.0188950470756062
Pu241,2.03,0.0188422329140189
Pu241,2.04,0.0187891936195046
Pu241,2.05,0.0187359291920632
Pu241,2.06,0.0186824396316949
Pu241,2.07,0.0186287249383996
Pu241,2.08,0.0185747851121774
Pu241,2.09,0.0185206201530281
Pu241,2.1,0.0184662300609518
Pu241,2.11,0.0184116148359486
Pu241,2.12,0.0183567744780184
Pu241,2.13,0.0183017089871612
Pu241,2.14,0.0182464183633769
Pu241,2.15,0.0181909026066657
Pu241,2.16,0.0181351617170276
Pu241,2.17,0.0180791956944624
Pu241,2.18,0.0180230045389702
Pu241,2.19,0.0179665882505511
Pu241,2.2,0.017909946829205
Pu241,2.21,0.0178530802749319
Pu241,2.22,0.0177959885877318
Pu241,2.23,0.0177386717676047
Pu241,2.24,0.0176811298145506
Pu241,2.25,0.0176233627285695
Pu241,2.26,0.017563600881857
Pu241,2.27,0.0175000746466087
Pu241,2.28,0.0174327840228245
Pu241,2.29,0.0173617290105044
Pu241,2.3,0.0172869096096485
Pu241,2.31,0.0172083258202567
Pu241,2.32,0.0171259776423291
Pu241,2.33,0.0170398650758656
Pu241,2.34,0.0169499881208662
Pu241,2.35,0.016856346777331
Pu241,2.36,0.01675894104526
Pu241,2.37,0.016657770924653
Pu241,2.38,0.0165528364155103
Pu241,2.39,0.0164441375178316
Pu241,2.4,0.0163316742316171
Pu241,2.41,0.0162154465568668
Pu241,2.42,0.0160954544935805
Pu241,2.43,0.0159716980417585
Pu241,2.44,0.0158441772014005
Pu241,2.45,0.0157128919725068
Pu241,2.46,0.0155778423550771
Pu241,2.47,0.0154390283491116
Pu241,2.48,0.0152964499546102
Pu241,2.49,0.015150107171573
Pu241,2.5,0.0149999999999999
Pu241,2.51,0.014846128439891
Pu241,2.52,0.0146884924912462
Pu241,2.53,0.0145270921540656
Pu241,2.54,0.014361927428349
Pu241,2.55,0.0141929983140967
Pu241,2.56,0.0140203048113085
Pu241,2.57,0.0138438469199844
Pu241,2.58,0.0136636246401244
Pu241,2.59,0.0134796379717286
Pu241,2.6,0.013291886914797
Pu241,2.61,0.0131003714693295
Pu241,2.62,0.0129050916353261
Pu241,2.63,0.0127060474127869
Pu241,2.64,0.0125032388017118
Pu241,2.65,0.0122966658021008
Pu241,2.66,0.012086328413954
Pu241,2.67,0.0118722266372714
Pu241,2.68,0.0116543604720528
Pu241,2.69,0.0114327299182985
Pu241,2.7,0.0112073349760082
Pu241,2.71,0.0109781756451821
Pu241,2.72,0.0107452519258202
Pu241,2.73,0.0105085638179224
Pu241,2.74,0.0102681113214887
Pu241,2.75,0.0100238944365192
Pu241,2.76,0.0097796010893528
Pu241,2.77,0.0095389192063285
Pu241,2.78,0.0093018487874464
Pu241,2.79,0.0090683898327065
Pu241,2.8,0.0088385423421086
Pu241,2.81,0.0086123063156529
Pu241,2.82,0.0083896817533393
Pu241,2.83,0.0081706686551679
Pu241,2.84,0.0079552670211386
Pu241,2.85,0.0077434768512514
Pu241,2.86,0.0075352981455063
Pu241,2.87,0.0073307309039034
Pu241,2.88,0.0071297751264427
Pu241,2.89,0.006932430813124
Pu241,2.9,0.0067386979639475
Pu241,2.91,0.0065485765789132
Pu241,2.92,0.0063620666580209
Pu241,2.93,0.0061791682012708
Pu241,2.94,0.0059998812086629
Pu241,2.95,0.0058242056801971
Pu241,2.96,0.0056521416158734
Pu241,2.97,0.0054836890156918
Pu241,2.98,0.0053188478796524
Pu241,2.99,0.0051576182077551
Pu241,3.0,0.0049999999999999
Pu241,3.01,0.0048459932563869
Pu241,3.02,0.004695597976916
Pu241,3.03,0.0045488141615873
Pu241,3.04,0.0044056418104007
Pu241,3.05,0.0042660809233562
Pu241,3.06,0.0041301315004538
Pu241,3.07,0.0039977935416936
Pu241,3.08,0.0038690670470755
Pu241,3.09,0.0037439520165996
Pu241,3.1,0.0036224484502658
Pu241,3.11,0.0035045563480741
Pu241,3.12,0.0033902757100246
Pu241,3.13,0.0032796065361172
Pu241,3.14,0.0031725488263519
Pu241,3.15,0.0030691025807288
Pu241,3.16,0.0029692677992478
Pu241,3.17,0.0028730444819089
Pu241,3.18,0.0027804326287122
Pu241,3.19,0.0026914322396576
Pu241,3.2,0.0026060433147451
Pu241,3.21,0.0025242658539748
Pu241,3.22,0.0024460998573466
Pu241,3.23,0.0023715453248605
Pu241,3.24,0.0023006022565166
Pu241,3.25,0.0022332706523148
Pu241,3.26,0.0021683925820256
Pu241,3.27,0.0021048101154195
Pu241,3.28,0.0020425232524964
Pu241,3.29,0.0019815319932563
