reactor,E_MeV,C
R3,2.42,0.0106805923564512
R3,2.43,0.010654692608937
R3,2.44,0.0106277077386702
R3,2.45,0.0105994054074497
R3,2.46,0.0105695532770743
R3,2.47,0.0105379190093428
R3,2.48,0.0105042702660541
R3,2.49,0.0104683747090068
R3,2.5,0.0104299999999999
R3,2.51,0.0103897362690819
R3,2.52,0.0103483090166195
R3,2.53,0.0103056889598895
R3,2.54,0.0102618468161686
R3,2.55,0.0102167533027332
R3,2.56,0.0101703791368601
R3,2.57,0.0101226950358258
R3,2.58,0.0100736717169069
R3,2.59,0.0100232798973802
R3,2.6,0.0099714902945222
R3,2.61,0.0099182736256095
R3,2.62,0.0098636006079188
R3,2.63,0.0098074419587267
R3,2.64,0.0097497683953097
R3,2.65,0.0096905506349446
R3,2.66,0.0096297593949079
R3,2.67,0.0095673653924763
R3,2.68,0.0095033393449264
R3,2.69,0.0094376519695347
R3,2.7,0.009370273983578
R3,2.71,0.0093011761043328
R3,2.72,0.0092303290490758
R3,2.73,0.0091577035350836
R3,2.74,0.0090832702796327
R3,2.75,0.0090069999999999
R3,2.76,0.0089143332208046
R3,2.77,0.0087924050832599
R3,2.78,0.0086437282295332
R3,2.79,0.0084708153017916
R3,2.8,0.0082761789422024
R3,2.81,0.008062331792933
R3,2.82,0.0078317864961504
R3,2.83,0.007587055694022
R3,2.84,0.0073306520287151
R3,2.85,0.0070650881423969
R3,2.86,0.0067928766772346
R3,2.87,0.0065165302753956
R3,2.88,0.006238561579047
R3,2.89,0.0059614832303561
R3,2.9,0.0056878078714901
R3,2.91,0.0054200481446164
R3,2.92,0.0051607166919022
R3,2.93,0.0049123261555147
R3,2.94,0.0046773891776212
R3,2.95,0.0044584184003889
R3,2.96,0.0042579264659851
R3,2.97,0.0040784260165771
R3,2.98,0.003922429694332
R3,2.99,0.0037924501414172
R3,3.0,0.0036909999999999
R3,3.01,0.0036105810284196
R3,3.02,0.0035413884567097
R3,3.03,0.003482475134578
R3,3.04,0.0034328939117327
R3,3.05,0.0033916976378817
R3,3.06,0.003357939162733
R3,3.07,0.0033306713359947
R3,3.08,0.0033089470073747
R3,3.09,0.003291819026581
R3,3.1,0.0032783402433218
R3,3.11,0.0032675635073049
R3,3.12,0.0032585416682383
R3,3.13,0.0032503275758302
R3,3.14,0.0032419740797884
R3,3.15,0.003232534029821
R3,3.16,0.003221060275636
R3,3.17,0.0032066056669414
R3,3.18,0.0031882230534453
R3,3.19,0.0031649652848555
R3,3.2,0.0031358852108802
R3,3.21,0.0031000356812272
R3,3.22,0.0030564695456047
R3,3.23,0.0030042396537207
R3,3.24,0.0029423988552831
R3,3.25,0.0028699999999999
R3,3.26,0.0027889630773261
R3,3.27,0.0027022079146149
R3,3.28,0.002610287118422
R3,3.29,0.0025137532953031
R3,3.3,0.0024131590518139
R3,3.31,0.00230905699451
R3,3.32,0.0022019997299471
R3,3.33,0.0020925398646809
R3,3.34,0.0019812300052671
R3,3.35,0.0018686227582613
R3,3.36,0.0017552707302193
R3,3.37,0.0016417265276966
R3,3.38,0.001528542757249
R3,3.39,0.0014162720254322
R3,3.4,0.0013054669388018
R3,3.41,0.0011966801039135
R3,3.42,0.001090464127323
R3,3.43,0.0009873716155859
R3,3.44,0.0008879551752579
R3,3.45,0.0007927674128948
R3,3.46,0.0007023609350522
R3,3.47,0.0006172883482857
R3,3.48,0.000538102259151
R3,3.49,0.0004653552742039
R3,3.5,0.0003995999999999
R3,3.51,0.0003395528171059
R3,3.52,0.0002835315178037
R3,3.53,0.0002314908262213
R3,3.54,0.0001833854664871
R3,3.55,0.0001391701627291
R3,3.56,9.879963907569751e-05
R3,3.57,6.222861965488548e-05
R3,3.58,2.9411828594927324e-05
R3,3.59,3.0399002401183495e-07
R3,3.6,0.0
R3,3.61,0.0
R3,3.62,0.0
R3,3.63,0.0
R3,3.64,0.0
R3,3.65,0.0
R3,3.66,0.0
R3,3.67,0.0
R3,3.68,0.0
R3,3.69,0.0
R3,3.7,0.0
R3,3.71,0.0
R3,3.72,0.0
R3,3.73,0.0
R3,3.74,0.0
R3,3.75,0.0
R4,1.75,0.01321
R4,1.76,0.0132895281698324
R4,1.77,0.0133648233176908
R4,1.78,0.0134357514011173
R4,1.79,0.0135021783776536
R4,1.8,0.0135639702048417
R4,1.81,0.0136209928402234
R4,1.82,0.0136731122413407
R4,1.83,0.0137201943657355
R4,1.84,0.0137621051709497
R4,1.85,0.0137987106145251
R4,1.86,0.0138298766540037
R4,1.87,0.0138554692469273
R4,1.88,0.0138753543508379
R4,1.89,0.0138893979232774
R4,1.9,0.0138974659217877
R4,1.91,0.0138994243039106
R4,1.92,0.013895139027188
R4,1.93,0.013884476049162
R4,1.94,0.0138673013273743
R4,1.95,0.0138434808193668
R4,1.96,0.0138128804826815
R4,1.97,0.0137753662748603
R4,1.98,0.013730804153445
R4,1.99,0.0136790600759776
R4,2.0,0.01362
R4,2.01,0.0135504999737854
R4,2.02,0.0134683067039802
R4,2.03,0.0133745921356854
R4,2.04,0.0132705282140022
R4,2.05,0.0131572868840317
R4,2.06,0.0130360400908749
R4,2.07,0.012907959779633
R4,2.08,0.0127742178954071
R4,2.09,0.0126359863832984
