 Energy(MeV)      pp            B8           N13           O15    
 0.13260E+02   0.27362E+00   0.27356E+00   0.27356E+00   0.27355E+00 
 0.13280E+02   0.27411E+00   0.27405E+00   0.27405E+00   0.27404E+00 
 0.13300E+02   0.27459E+00   0.27453E+00   0.27454E+00   0.27453E+00 
 0.13320E+02   0.27508E+00   0.27502E+00   0.27502E+00   0.27501E+00 
 0.13340E+02   0.27556E+00   0.27550E+00   0.27550E+00   0.27549E+00 
 0.13360E+02   0.27604E+00   0.27598E+00   0.27598E+00   0.27597E+00 
 0.13380E+02   0.27651E+00   0.27645E+00   0.27646E+00   0.27645E+00 
 0.13400E+02   0.27699E+00   0.27693E+00   0.27693E+00   0.27692E+00 
 0.13420E+02   0.27746E+00   0.27740E+00   0.27740E+00   0.27739E+00 
 0.13440E+02   0.27792E+00   0.27787E+00   0.27787E+00   0.27786E+00 
 0.13460E+02   0.27839E+00   0.27833E+00   0.27834E+00   0.27833E+00 
 0.13480E+02   0.27885E+00   0.27880E+00   0.27880E+00   0.27879E+00 
 0.13500E+02   0.27931E+00   0.27926E+00   0.27926E+00   0.27925E+00 
 0.13520E+02   0.27977E+00   0.27971E+00   0.27972E+00   0.27971E+00 
 0.13540E+02   0.28022E+00   0.28017E+00   0.28018E+00   0.28016E+00 
 0.13560E+02   0.28067E+00   0.28062E+00   0.28063E+00   0.28062E+00 
 0.13580E+02   0.28112E+00   0.28107E+00   0.28108E+00   0.28107E+00 
 0.13600E+02   0.28157E+00   0.28152E+00   0.28152E+00   0.28151E+00 
 0.13620E+02   0.28201E+00   0.28196E+00   0.28197E+00   0.28196E+00 
 0.13640E+02   0.28245E+00   0.28240E+00   0.28241E+00   0.28240E+00 
 0.13660E+02   0.28289E+00   0.28284E+00   0.28285E+00   0.28284E+00 
 0.13680E+02   0.28333E+00   0.28328E+00   0.28329E+00   0.28327E+00 
 0.13700E+02   0.28376E+00   0.28371E+00   0.28372E+00   0.28371E+00 
 0.13720E+02   0.28419E+00   0.28414E+00   0.28415E+00   0.28414E+00 
 0.13740E+02   0.28462E+00   0.28457E+00   0.28458E+00   0.28457E+00 
 0.13760E+02   0.28504E+00   0.28500E+00   0.28500E+00   0.28499E+00 
 0.13780E+02   0.28546E+00   0.28542E+00   0.28542E+00   0.28541E+00 
 0.13800E+02   0.28588E+00   0.28584E+00   0.28585E+00   0.28584E+00 
 0.13820E+02   0.28631E+00   0.28627E+00   0.28627E+00   0.28626E+00 
 0.13840E+02   0.28673E+00   0.28669E+00   0.28670E+00   0.28669E+00 
 0.13860E+02   0.28716E+00   0.28712E+00   0.28713E+00   0.28712E+00 
 0.13880E+02   0.28759E+00   0.28755E+00   0.28756E+00   0.28755E+00 
 0.13900E+02   0.28802E+00   0.28798E+00   0.28799E+00   0.28798E+00 
 0.13920E+02   0.28846E+00   0.28842E+00   0.28842E+00   0.28841E+00 
 0.13940E+02   0.28890E+00   0.28886E+00   0.28886E+00   0.28885E+00 
 0.13960E+02   0.28933E+00   0.28930E+00   0.28930E+00   0.28929E+00 
 0.13980E+02   0.28977E+00   0.28974E+00   0.28974E+00   0.28973E+00 
 0.14000E+02   0.29022E+00   0.29018E+00   0.29019E+00   0.29018E+00 
 0.14020E+02   0.29066E+00   0.29063E+00   0.29063E+00   0.29062E+00 
 0.14040E+02   0.29111E+00   0.29107E+00   0.29108E+00   0.29107E+00 
 0.14060E+02   0.29156E+00   0.29153E+00   0.29153E+00   0.29152E+00 
 0.14080E+02   0.29201E+00   0.29198E+00   0.29198E+00   0.29197E+00 
 0.14100E+02   0.29247E+00   0.29243E+00   0.29244E+00   0.29243E+00 
 0.14120E+02   0.29292E+00   0.29289E+00   0.29290E+00   0.29288E+00 
 0.14140E+02   0.29338E+00   0.29335E+00   0.29336E+00   0.29334E+00 
 0.14160E+02   0.29384E+00   0.29381E+00   0.29382E+00   0.29381E+00 
 0.14180E+02   0.29431E+00   0.29428E+00   0.29428E+00   0.29427E+00 
 0.14200E+02   0.29477E+00   0.29474E+00   0.29475E+00   0.29474E+00 
 0.14220E+02   0.29524E+00   0.29521E+00   0.29522E+00   0.29520E+00 
 0.14240E+02   0.29571E+00   0.29568E+00   0.29569E+00   0.29568E+00 
 0.14260E+02   0.29619E+00   0.29615E+00   0.29616E+00   0.29615E+00 
 0.14280E+02   0.29666E+00   0.29663E+00   0.29664E+00   0.29663E+00 
 0.14300E+02   0.29714E+00   0.29711E+00   0.29711E+00   0.29710E+00 
 0.14320E+02   0.29762E+00   0.29759E+00   0.29760E+00   0.29758E+00 
 0.14340E+02   0.29810E+00   0.29807E+00   0.29808E+00   0.29807E+00 
 0.14360E+02   0.29858E+00   0.29856E+00   0.29856E+00   0.29855E+00 
 0.14380E+02   0.29907E+00   0.29905E+00   0.29905E+00   0.29904E+00 
 0.14400E+02   0.29956E+00   0.29954E+00   0.29954E+00   0.29953E+00 
 0.14420E+02   0.30005E+00   0.30003E+00   0.30003E+00   0.30002E+00 
 0.14440E+02   0.30055E+00   0.30052E+00   0.30053E+00   0.30052E+00 
 0.14460E+02   0.30104E+00   0.30102E+00   0.30103E+00   0.30101E+00 
 0.14480E+02   0.30154E+00   0.30152E+00   0.30153E+00   0.30151E+00 
 0.14500E+02   0.30205E+00   0.30202E+00   0.30203E+00   0.30202E+00 
 0.14520E+02   0.30255E+00   0.30253E+00   0.30253E+00   0.30252E+00 
 0.14540E+02   0.30306E+00   0.30303E+00   0.30304E+00   0.30303E+00 
 0.14560E+02   0.30357E+00   0.30354E+00   0.30355E+00   0.30354E+00 
 0.14580E+02   0.30408E+00   0.30406E+00   0.30406E+00   0.30405E+00 
 0.14600E+02   0.30459E+00   0.30457E+00   0.30458E+00   0.30457E+00 
 0.14620E+02   0.30511E+00   0.30509E+00   0.30509E+00   0.30508E+00 
 0.14640E+02   0.30563E+00   0.30561E+00   0.30561E+00   0.30560E+00 
 0.14660E+02   0.30615E+00   0.30613E+00   0.30614E+00   0.30612E+00 
 0.14680E+02   0.30667E+00   0.30666E+00   0.30666E+00   0.30665E+00 
 0.14700E+02   0.30720E+00   0.30718E+00   0.30719E+00   0.30718E+00 
 0.14720E+02   0.30773E+00   0.30771E+00   0.30772E+00   0.30771E+00 
 0.14740E+02   0.30826E+00   0.30824E+00   0.30825E+00   0.30824E+00 
 0.14760E+02   0.30880E+00   0.30878E+00   0.30879E+00   0.30877E+00 
 0.14780E+02   0.30933E+00   0.30932E+00   0.30932E+00   0.30931E+00 
 0.14800E+02   0.30987E+00   0.30986E+00   0.30986E+00   0.30985E+00 
 0.14820E+02   0.31041E+00   0.31040E+00   0.31040E+00   0.31039E+00 
 0.14840E+02   0.31096E+00   0.31094E+00   0.31095E+00   0.31094E+00 
 0.14860E+02   0.31150E+00   0.31149E+00   0.31149E+00   0.31148E+00 
 0.14880E+02   0.31204E+00   0.31203E+00   0.31204E+00   0.31202E+00 
 0.14900E+02   0.31258E+00   0.31257E+00   0.31258E+00   0.31256E+00 
 0.14920E+02   0.31312E+00   0.31311E+00   0.31311E+00   0.31310E+00 
 0.14940E+02   0.31365E+00   0.31364E+00   0.31364E+00   0.31363E+00 
 0.14960E+02   0.31418E+00   0.31417E+00   0.31417E+00   0.31416E+00 
 0.14980E+02   0.31471E+00   0.31470E+00   0.31470E+00   0.31469E+00 
 0.15000E+02   0.31523E+00   0.31522E+00   0.31522E+00   0.31521E+00 
 0.15020E+02   0.31575E+00   0.31574E+00   0.31575E+00   0.31573E+00 
 0.15040E+02   0.31627E+00   0.31626E+00   0.31626E+00   0.31625E+00 
 0.15060E+02   0.31678E+00   0.31677E+00   0.31678E+00   0.31677E+00 
 0.15080E+02   0.31729E+00   0.31729E+00   0.31729E+00   0.31728E+00 
 0.15100E+02   0.31780E+00   0.31779E+00   0.31780E+00   0.31779E+00 
 0.15120E+02   0.31831E+00   0.31830E+00   0.31831E+00   0.31829E+00 
 0.15140E+02   0.31881E+00   0.31880E+00   0.31881E+00   0.31880E+00 
 0.15160E+02   0.31931E+00   0.31930E+00   0.31931E+00   0.31930E+00 
 0.15180E+02   0.31981E+00   0.31980E+00   0.31981E+00   0.31980E+00 
 0.15200E+02   0.32030E+00   0.32030E+00   0.32030E+00   0.32029E+00 
 0.15220E+02   0.32079E+00   0.32079E+00   0.32079E+00   0.32078E+00 
 0.15240E+02   0.32128E+00   0.32128E+00   0.32128E+00   0.32127E+00 
 0.15260E+02   0.32177E+00   0.32176E+00   0.32177E+00   0.32175E+00 
 0.15280E+02   0.32225E+00   0.32224E+00   0.32225E+00   0.32224E+00 
 0.15300E+02   0.32273E+00   0.32272E+00   0.32273E+00   0.32272E+00 
 0.15320E+02   0.32320E+00   0.32320E+00   0.32320E+00   0.32319E+00 
 0.15340E+02   0.32368E+00   0.32367E+00   0.32368E+00   0.32367E+00 
 0.15360E+02   0.32415E+00   0.32414E+00   0.32415E+00   0.32414E+00 
 0.15380E+02   0.32461E+00   0.32461E+00   0.32461E+00   0.32460E+00 
 0.15400E+02   0.32508E+00   0.32507E+00   0.32508E+00   0.32507E+00 
 0.15420E+02   0.32554E+00   0.32553E+00   0.32554E+00   0.32553E+00 
 0.15440E+02   0.32599E+00   0.32599E+00   0.32600E+00   0.32599E+00 
 0.15460E+02   0.32645E+00   0.32645E+00   0.32645E+00   0.32644E+00 
 0.15480E+02   0.32690E+00   0.32690E+00   0.32691E+00   0.32689E+00 
 0.15500E+02   0.32735E+00   0.32735E+00   0.32736E+00   0.32734E+00 
 0.15520E+02   0.32780E+00   0.32780E+00   0.32780E+00   0.32779E+00 
 0.15540E+02   0.32824E+00   0.32824E+00   0.32824E+00   0.32823E+00 
 0.15560E+02   0.32868E+00   0.32868E+00   0.32868E+00   0.32867E+00 
 0.15580E+02   0.32911E+00   0.32912E+00   0.32912E+00   0.32911E+00 
 0.15600E+02   0.32955E+00   0.32955E+00   0.32955E+00   0.32954E+00 
 0.15620E+02   0.32998E+00   0.32998E+00   0.32999E+00   0.32997E+00 
 0.15640E+02   0.33041E+00   0.33041E+00   0.33041E+00   0.33040E+00 
 0.15660E+02   0.33083E+00   0.33083E+00   0.33084E+00   0.33083E+00 
 0.15680E+02   0.33125E+00   0.33125E+00   0.33126E+00   0.33125E+00 
 0.15700E+02   0.33167E+00   0.33167E+00   0.33168E+00   0.33167E+00 
 0.15720E+02   0.33208E+00   0.33209E+00   0.33209E+00   0.33208E+00 
 0.15740E+02   0.33250E+00   0.33250E+00   0.33251E+00   0.33249E+00 
 0.15760E+02   0.33290E+00   0.33291E+00   0.33292E+00   0.33290E+00 
 0.15780E+02   0.33331E+00   0.33332E+00   0.33332E+00   0.33331E+00 
 0.15800E+02   0.33371E+00   0.33372E+00   0.33372E+00   0.33371E+00 
 0.15820E+02   0.33411E+00   0.33412E+00   0.33412E+00   0.33411E+00 
 0.15840E+02   0.33451E+00   0.33452E+00   0.33452E+00   0.33451E+00 
 0.15860E+02   0.33490E+00   0.33491E+00   0.33491E+00   0.33490E+00 
 0.15880E+02   0.33529E+00   0.33530E+00   0.33531E+00   0.33529E+00 
 0.15900E+02   0.33568E+00   0.33569E+00   0.33569E+00   0.33568E+00 
 0.15920E+02   0.33606E+00   0.33607E+00   0.33608E+00   0.33607E+00 
 0.15940E+02   0.33644E+00   0.33645E+00   0.33646E+00   0.33645E+00 
 0.15960E+02   0.33682E+00   0.33683E+00   0.33684E+00   0.33682E+00 
 0.15980E+02   0.33720E+00   0.33721E+00   0.33721E+00   0.33720E+00 
 0.16000E+02   0.33757E+00   0.33758E+00   0.33758E+00   0.33757E+00 
