 Energy(MeV)      pp            B8           N13           O15    
 0.19800E+01   0.53439E-01   0.26329E-02   0.71743E-02   0.26679E-02 
 0.20000E+01   0.52008E-01   0.26286E-02   0.68628E-02   0.26622E-02 
 0.20200E+01   0.50633E-01   0.26256E-02   0.65770E-02   0.26579E-02 
 0.20400E+01   0.49312E-01   0.26239E-02   0.63148E-02   0.26550E-02 
 0.20600E+01   0.48039E-01   0.26236E-02   0.60742E-02   0.26536E-02 
 0.20800E+01   0.46813E-01   0.26249E-02   0.58534E-02   0.26538E-02 
 0.21000E+01   0.45631E-01   0.26276E-02   0.56509E-02   0.26555E-02 
 0.21200E+01   0.44492E-01   0.26318E-02   0.54650E-02   0.26587E-02 
 0.21400E+01   0.43395E-01   0.26372E-02   0.52946E-02   0.26631E-02 
 0.21600E+01   0.42339E-01   0.26437E-02   0.51384E-02   0.26688E-02 
 0.21800E+01   0.41322E-01   0.26514E-02   0.49953E-02   0.26757E-02 
 0.22000E+01   0.40341E-01   0.26603E-02   0.48644E-02   0.26837E-02 
 0.22200E+01   0.39395E-01   0.26702E-02   0.47446E-02   0.26929E-02 
 0.22400E+01   0.38480E-01   0.26810E-02   0.46348E-02   0.27030E-02 
 0.22600E+01   0.37597E-01   0.26930E-02   0.45346E-02   0.27143E-02 
 0.22800E+01   0.36744E-01   0.27066E-02   0.44438E-02   0.27273E-02 
 0.23000E+01   0.35923E-01   0.27222E-02   0.43621E-02   0.27422E-02 
 0.23200E+01   0.35131E-01   0.27398E-02   0.42892E-02   0.27593E-02 
 0.23400E+01   0.34369E-01   0.27597E-02   0.42246E-02   0.27785E-02 
 0.23600E+01   0.33634E-01   0.27818E-02   0.41680E-02   0.28002E-02 
 0.23800E+01   0.32925E-01   0.28065E-02   0.41192E-02   0.28243E-02 
 0.24000E+01   0.32241E-01   0.28339E-02   0.40779E-02   0.28512E-02 
 0.24200E+01   0.31581E-01   0.28641E-02   0.40437E-02   0.28810E-02 
 0.24400E+01   0.30945E-01   0.28965E-02   0.40159E-02   0.29129E-02 
 0.24600E+01   0.30332E-01   0.29309E-02   0.39938E-02   0.29468E-02 
 0.24800E+01   0.29742E-01   0.29673E-02   0.39774E-02   0.29828E-02 
 0.25000E+01   0.29173E-01   0.30057E-02   0.39663E-02   0.30208E-02 
 0.25200E+01   0.28624E-01   0.30460E-02   0.39602E-02   0.30607E-02 
 0.25400E+01   0.28095E-01   0.30884E-02   0.39589E-02   0.31027E-02 
 0.25600E+01   0.27584E-01   0.31326E-02   0.39622E-02   0.31465E-02 
 0.25800E+01   0.27091E-01   0.31787E-02   0.39698E-02   0.31923E-02 
 0.26000E+01   0.26616E-01   0.32268E-02   0.39816E-02   0.32401E-02 
 0.26200E+01   0.26158E-01   0.32775E-02   0.39981E-02   0.32904E-02 
 0.26400E+01   0.25717E-01   0.33307E-02   0.40191E-02   0.33433E-02 
 0.26600E+01   0.25294E-01   0.33866E-02   0.40447E-02   0.33989E-02 
 0.26800E+01   0.24888E-01   0.34451E-02   0.40747E-02   0.34572E-02 
 0.27000E+01   0.24497E-01   0.35065E-02   0.41091E-02   0.35182E-02 
 0.27200E+01   0.24122E-01   0.35707E-02   0.41478E-02   0.35822E-02 
 0.27400E+01   0.23762E-01   0.36378E-02   0.41908E-02   0.36490E-02 
 0.27600E+01   0.23416E-01   0.37078E-02   0.42381E-02   0.37188E-02 
 0.27800E+01   0.23084E-01   0.37809E-02   0.42896E-02   0.37916E-02 
 0.28000E+01   0.22766E-01   0.38568E-02   0.43450E-02   0.38672E-02 
 0.28200E+01   0.22461E-01   0.39354E-02   0.44043E-02   0.39457E-02 
 0.28400E+01   0.22169E-01   0.40168E-02   0.44674E-02   0.40268E-02 
 0.28600E+01   0.21891E-01   0.41010E-02   0.45342E-02   0.41108E-02 
 0.28800E+01   0.21625E-01   0.41879E-02   0.46046E-02   0.41975E-02 
 0.29000E+01   0.21371E-01   0.42776E-02   0.46787E-02   0.42870E-02 
 0.29200E+01   0.21129E-01   0.43701E-02   0.47563E-02   0.43793E-02 
 0.29400E+01   0.20898E-01   0.44653E-02   0.48375E-02   0.44743E-02 
 0.29600E+01   0.20678E-01   0.45634E-02   0.49220E-02   0.45722E-02 
 0.29800E+01   0.20468E-01   0.46641E-02   0.50100E-02   0.46727E-02 
 0.30000E+01   0.20271E-01   0.47690E-02   0.51027E-02   0.47774E-02 
 0.30200E+01   0.20086E-01   0.48790E-02   0.52011E-02   0.48873E-02 
 0.30400E+01   0.19914E-01   0.49945E-02   0.53056E-02   0.50026E-02 
 0.30600E+01   0.19756E-01   0.51158E-02   0.54163E-02   0.51237E-02 
 0.30800E+01   0.19610E-01   0.52431E-02   0.55335E-02   0.52508E-02 
 0.31000E+01   0.19478E-01   0.53766E-02   0.56575E-02   0.53843E-02 
 0.31200E+01   0.19358E-01   0.55168E-02   0.57885E-02   0.55243E-02 
 0.31400E+01   0.19252E-01   0.56638E-02   0.59268E-02   0.56712E-02 
 0.31600E+01   0.19159E-01   0.58181E-02   0.60727E-02   0.58253E-02 
 0.31800E+01   0.19078E-01   0.59799E-02   0.62265E-02   0.59869E-02 
 0.32000E+01   0.19012E-01   0.61495E-02   0.63885E-02   0.61564E-02 
 0.32200E+01   0.18954E-01   0.63223E-02   0.65540E-02   0.63291E-02 
 0.32400E+01   0.18902E-01   0.64950E-02   0.67197E-02   0.65017E-02 
 0.32600E+01   0.18854E-01   0.66671E-02   0.68851E-02   0.66737E-02 
 0.32800E+01   0.18811E-01   0.68381E-02   0.70496E-02   0.68445E-02 
 0.33000E+01   0.18771E-01   0.70075E-02   0.72128E-02   0.70138E-02 
 0.33200E+01   0.18734E-01   0.71747E-02   0.73741E-02   0.71809E-02 
 0.33400E+01   0.18700E-01   0.73393E-02   0.75331E-02   0.73454E-02 
 0.33600E+01   0.18666E-01   0.75007E-02   0.76890E-02   0.75067E-02 
 0.33800E+01   0.18633E-01   0.76584E-02   0.78415E-02   0.76643E-02 
 0.34000E+01   0.18600E-01   0.78119E-02   0.79900E-02   0.78177E-02 
 0.34200E+01   0.18567E-01   0.79606E-02   0.81339E-02   0.79663E-02 
 0.34400E+01   0.18532E-01   0.81044E-02   0.82730E-02   0.81100E-02 
 0.34600E+01   0.18505E-01   0.82516E-02   0.84157E-02   0.82570E-02 
 0.34800E+01   0.18489E-01   0.84055E-02   0.85654E-02   0.84109E-02 
 0.35000E+01   0.18483E-01   0.85666E-02   0.87224E-02   0.85719E-02 
 0.35200E+01   0.18489E-01   0.87352E-02   0.88870E-02   0.87404E-02 
 0.35400E+01   0.18506E-01   0.89117E-02   0.90597E-02   0.89168E-02 
 0.35600E+01   0.18534E-01   0.90965E-02   0.92407E-02   0.91015E-02 
 0.35800E+01   0.18575E-01   0.92900E-02   0.94306E-02   0.92949E-02 
 0.36000E+01   0.18627E-01   0.94925E-02   0.96298E-02   0.94974E-02 
 0.36200E+01   0.18693E-01   0.97046E-02   0.98385E-02   0.97094E-02 
 0.36400E+01   0.18771E-01   0.99267E-02   0.10057E-01   0.99314E-02 
 0.36600E+01   0.18862E-01   0.10159E-01   0.10287E-01   0.10164E-01 
 0.36800E+01   0.18966E-01   0.10403E-01   0.10527E-01   0.10407E-01 
 0.37000E+01   0.19085E-01   0.10656E-01   0.10778E-01   0.10661E-01 
 0.37200E+01   0.19212E-01   0.10916E-01   0.11035E-01   0.10921E-01 
 0.37400E+01   0.19349E-01   0.11183E-01   0.11299E-01   0.11187E-01 
 0.37600E+01   0.19494E-01   0.11455E-01   0.11569E-01   0.11459E-01 
 0.37800E+01   0.19648E-01   0.11734E-01   0.11845E-01   0.11738E-01 
 0.38000E+01   0.19811E-01   0.12019E-01   0.12128E-01   0.12023E-01 
 0.38200E+01   0.19983E-01   0.12311E-01   0.12417E-01   0.12315E-01 
 0.38400E+01   0.20164E-01   0.12610E-01   0.12714E-01   0.12614E-01 
 0.38600E+01   0.20355E-01   0.12915E-01   0.13016E-01   0.12919E-01 
 0.38800E+01   0.20554E-01   0.13227E-01   0.13326E-01   0.13231E-01 
 0.39000E+01   0.20762E-01   0.13546E-01   0.13643E-01   0.13549E-01 
 0.39200E+01   0.20979E-01   0.13872E-01   0.13967E-01   0.13875E-01 
 0.39400E+01   0.21205E-01   0.14205E-01   0.14298E-01   0.14208E-01 
 0.39600E+01   0.21440E-01   0.14545E-01   0.14636E-01   0.14548E-01 
 0.39800E+01   0.21681E-01   0.14888E-01   0.14978E-01   0.14892E-01 
 0.40000E+01   0.21922E-01   0.15229E-01   0.15317E-01   0.15232E-01 
