energy_GeV,cos_zenith,azimuth_deg,particle,flux
2511.9,0.95,15.0,numu,6.8222e-09
2511.9,0.95,15.0,numubar,3.8572e-09
2511.9,0.95,15.0,nue,1.873e-10
2511.9,0.95,15.0,nuebar,1.3874e-10
2818.4,0.95,15.0,numu,4.4528e-09
2818.4,0.95,15.0,numubar,2.6694e-09
2818.4,0.95,15.0,nue,1.2956e-10
2818.4,0.95,15.0,nuebar,1.0889e-10
3162.3,0.95,15.0,numu,3.0885e-09
3162.3,0.95,15.0,numubar,1.7973e-09
3162.3,0.95,15.0,nue,9.8923e-11
3162.3,0.95,15.0,nuebar,6.4879e-11
3548.1,0.95,15.0,numu,2.0048e-09
3548.1,0.95,15.0,numubar,1.1719e-09
3548.1,0.95,15.0,nue,6.4949e-11
3548.1,0.95,15.0,nuebar,4.2401e-11
3981.1,0.95,15.0,numu,1.3305e-09
3981.1,0.95,15.0,numubar,7.721e-10
3981.1,0.95,15.0,nue,4.161e-11
3981.1,0.95,15.0,nuebar,3.0981e-11
4466.8,0.95,15.0,numu,8.8252e-10
4466.8,0.95,15.0,numubar,4.979e-10
4466.8,0.95,15.0,nue,2.7082e-11
4466.8,0.95,15.0,nuebar,1.7895e-11
5011.9,0.95,15.0,numu,5.7016e-10
5011.9,0.95,15.0,numubar,3.2176e-10
5011.9,0.95,15.0,nue,1.7782e-11
5011.9,0.95,15.0,nuebar,1.3031e-11
5623.4,0.95,15.0,numu,3.7145e-10
5623.4,0.95,15.0,numubar,2.0681e-10
5623.4,0.95,15.0,nue,9.4755e-12
5623.4,0.95,15.0,nuebar,1.029e-11
6309.6,0.95,15.0,numu,2.5109e-10
6309.6,0.95,15.0,numubar,1.4188e-10
6309.6,0.95,15.0,nue,6.4659e-12
6309.6,0.95,15.0,nuebar,5.675e-12
7079.5,0.95,15.0,numu,1.6273e-10
7079.5,0.95,15.0,numubar,9.1202e-11
7079.5,0.95,15.0,nue,4.2715e-12
7079.5,0.95,15.0,nuebar,3.2994e-12
7943.3,0.95,15.0,numu,1.0848e-10
7943.3,0.95,15.0,numubar,5.9794e-11
7943.3,0.95,15.0,nue,2.58e-12
7943.3,0.95,15.0,nuebar,1.8159e-12
8912.5,0.95,15.0,numu,7.1716e-11
8912.5,0.95,15.0,numubar,4.1149e-11
8912.5,0.95,15.0,nue,1.7232e-12
8912.5,0.95,15.0,nuebar,1.2411e-12
10000.0,0.95,15.0,numu,4.7677e-11
10000.0,0.95,15.0,numubar,2.7691e-11
10000.0,0.95,15.0,nue,1.1973e-12
10000.0,0.95,15.0,nuebar,9.9113e-13
0.1,0.95,45.0,numu,8055.3
0.1,0.95,45.0,numubar,8102.8
0.1,0.95,45.0,nue,3913.0
0.1,0.95,45.0,nuebar,3829.3
0.1122,0.95,45.0,numu,7286.3
0.1122,0.95,45.0,numubar,7333.9
0.1122,0.95,45.0,nue,3520.7
0.1122,0.95,45.0,nuebar,3427.6
0.12589,0.95,45.0,numu,6527.0
0.12589,0.95,45.0,numubar,6565.2
0.12589,0.95,45.0,nue,3150.1
0.12589,0.95,45.0,nuebar,3020.5
0.14125,0.95,45.0,numu,5810.4
0.14125,0.95,45.0,numubar,5824.5
0.14125,0.95,45.0,nue,2789.5
0.14125,0.95,45.0,nuebar,2652.8
0.15849,0.95,45.0,numu,5114.8
0.15849,0.95,45.0,numubar,5117.3
0.15849,0.95,45.0,nue,2438.8
0.15849,0.95,45.0,nuebar,2298.6
0.17783,0.95,45.0,numu,4436.7
0.17783,0.95,45.0,numubar,4441.9
0.17783,0.95,45.0,nue,2118.7
0.17783,0.95,45.0,nuebar,1958.6
0.19953,0.95,45.0,numu,3800.5
0.19953,0.95,45.0,numubar,3796.3
0.19953,0.95,45.0,nue,1814.1
0.19953,0.95,45.0,nuebar,1662.3
0.22387,0.95,45.0,numu,3208.9
0.22387,0.95,45.0,numubar,3193.0
0.22387,0.95,45.0,nue,1528.1
0.22387,0.95,45.0,nuebar,1394.4
0.25119,0.95,45.0,numu,2671.9
0.25119,0.95,45.0,numubar,2655.9
0.25119,0.95,45.0,nue,1283.4
0.25119,0.95,45.0,nuebar,1159.0
0.28184,0.95,45.0,numu,2211.9
0.28184,0.95,45.0,numubar,2179.2
0.28184,0.95,45.0,nue,1066.1
0.28184,0.95,45.0,nuebar,946.26
0.31623,0.95,45.0,numu,1803.1
0.31623,0.95,45.0,numubar,1773.8
0.31623,0.95,45.0,nue,872.61
0.31623,0.95,45.0,nuebar,762.1
0.35481,0.95,45.0,numu,1454.4
0.35481,0.95,45.0,numubar,1432.9
0.35481,0.95,45.0,nue,702.1
0.35481,0.95,45.0,nuebar,610.68
0.39811,0.95,45.0,numu,1166.6
0.39811,0.95,45.0,numubar,1141.3
0.39811,0.95,45.0,nue,560.48
0.39811,0.95,45.0,nuebar,480.92
0.44668,0.95,45.0,numu,923.99
0.44668,0.95,45.0,numubar,898.75
0.44668,0.95,45.0,nue,443.5
0.44668,0.95,45.0,nuebar,373.84
0.50119,0.95,45.0,numu,724.25
0.50119,0.95,45.0,numubar,701.56
0.50119,0.95,45.0,nue,345.29
0.50119,0.95,45.0,nuebar,289.37
0.56234,0.95,45.0,numu,563.16
0.56234,0.95,45.0,numubar,543.9
