depth_km,mass_density_g_cm3,vp_km_s,vs_km_s,q_alpha,q_mu,radius_km,radius_fraction,electron_fraction,electron_density_mol_cm3,neutron_density_mol_cm3
3794.96,11.1095,9.3205,0.0,57822.0,0.0,2576.04,0.40433840841312196,0.467,5.188136500000001,5.921363499999999
3744.63,11.0555,9.2634,0.0,57822.0,0.0,2626.37,0.4122382671480144,0.467,5.162918500000001,5.8925814999999995
3694.3,11.0001,9.2042,0.0,57822.0,0.0,2676.7,0.4201381258829069,0.467,5.1370467,5.863053299999999
3643.97,10.9434,9.1426,0.0,57822.0,0.0,2727.03,0.42803798461779946,0.467,5.1105678,5.8328321999999995
3593.64,10.8852,9.0792,0.0,57822.0,0.0,2777.36,0.4359378433526919,0.467,5.0833884,5.801811599999999
3543.3,10.8257,9.0138,0.0,57822.0,0.0,2827.7,0.4438392716998901,0.467,5.0556019,5.7700980999999985
3492.97,10.7647,8.9461,0.0,57822.0,0.0,2878.03,0.45173913043478264,0.467,5.0271149,5.737585099999999
3442.64,10.7023,8.8761,0.0,57822.0,0.0,2928.36,0.4596389891696751,0.467,4.9979740999999995,5.704325899999999
3392.31,10.6385,8.8036,0.0,57822.0,0.0,2978.69,0.46753884790456757,0.467,4.968179500000001,5.670320499999999
3341.98,10.5731,8.7283,0.0,57822.0,0.0,3029.02,0.47543870663946003,0.467,4.937637700000001,5.6354622999999995
3291.65,10.5062,8.6496,0.0,57822.0,0.0,3079.35,0.48333856537435255,0.467,4.9063954,5.599804599999999
3241.32,10.4378,8.5692,0.0,57822.0,0.0,3129.68,0.491238424109245,0.467,4.8744526,5.563347399999999
3190.99,10.3679,8.4861,0.0,57822.0,0.0,3180.01,0.4991382828441375,0.467,4.8418093,5.526090699999999
3140.66,10.2964,8.4001,0.0,57822.0,0.0,3230.34,0.50703814157903,0.467,4.8084188,5.487981199999999
3090.32,10.2233,8.3122,0.0,57822.0,0.0,3280.68,0.5149395699262282,0.467,4.7742811000000005,5.4490188999999996
3039.99,10.1485,8.2213,0.0,57822.0,0.0,3331.01,0.5228394286611208,0.467,4.7393495,5.409150499999999
2989.66,10.0722,8.1283,0.0,57822.0,0.0,3381.34,0.5307392873960132,0.467,4.7037174,5.368482599999999
2939.33,9.9942,8.0382,0.0,57822.0,0.0,3431.67,0.5386391461309057,0.467,4.6672914,5.3269085999999986
2891.5,9.9145,8.0,0.0,57822.0,0.0,3479.5,0.546146601789358,0.467,4.630071500000001,5.2844285
2891.5,5.7721,13.6601,7.2817,723.12,273.97,3479.5,0.546146601789358,0.467,2.6955707,3.0765292999999994
2839.33,5.7458,13.657,7.27,725.11,273.97,3531.67,0.5543352691885105,0.495,2.844171,2.9016290000000002
2789.67,5.7196,13.6533,7.2593,726.87,273.97,3581.33,0.562129963898917,0.495,2.8312019999999998,2.888398
2740.0,5.6934,13.6498,7.2485,722.73,271.74,3631.0,0.5699262282216293,0.495,2.8182329999999998,2.875167
2740.0,5.4387,13.6498,7.2485,933.21,350.88,3631.0,0.5699262282216293,0.495,2.6921565,2.7465435
2690.0,5.4176,13.5899,7.2253,940.88,354.61,3681.0,0.5777742897504317,0.495,2.681712,2.735888
2640.0,5.3962,13.5311,7.2031,952.0,359.71,3731.0,0.585622351279234,0.495,2.671119,2.7250810000000003
2591.5,5.3748,13.4741,7.1804,960.36,363.64,3779.5,0.5932349709621724,0.495,2.660526,2.7142739999999996
2542.0,5.3531,13.4156,7.1584,968.46,367.65,3829.0,0.6010045518756867,0.495,2.6497845,2.7033155000000004
2492.5,5.3313,13.3584,7.1368,976.81,371.75,3878.5,0.6087741327892011,0.495,2.6389934999999998,2.6923065
2443.0,5.3092,13.3017,7.1144,985.63,375.94,3928.0,0.6165437137027154,0.495,2.6280539999999997,2.681146
2393.5,5.287,13.2465,7.0932,990.77,378.79,3977.5,0.6243132946162298,0.495,2.6170649999999998,2.669935
2344.0,5.2646,13.1895,7.0722,999.44,383.14,4027.0,0.6320828755297442,0.495,2.6059769999999998,2.658623
2294.5,5.242,13.1337,7.0504,1008.79,387.6,4076.5,0.6398524564432585,0.495,2.59479,2.64721
2245.0,5.2192,13.0786,7.0286,1018.38,392.16,4126.0,0.6476220373567729,0.495,2.583504,2.635696
2195.5,5.1963,13.0226,7.0069,1032.14,398.41,4175.5,0.6553916182702872,0.495,2.5721685,2.6241315
2146.0,5.1732,12.9663,6.9852,1042.07,403.23,4225.0,0.6631611991838016,0.495,2.5607339999999996,2.612466
2096.5,5.1499,12.9093,6.9625,1048.09,406.5,4274.5,0.670930780097316,0.495,2.5492005,2.6006994999999997
