radius,electron_density_mol_cm3
0.25,17.660378206861647
0.2505,17.579236139586932
0.251,17.498466886246575
0.2515,17.378008287493753
0.252,17.298163592151013
0.2525,17.218685749860068
0.253,17.139573075084254
0.2535,17.02158508394951
0.254,16.94337800447329
0.2545,16.865530253887414
0.255,16.749428760264372
0.2555,16.672472125510627
0.256,16.595869074375607
0.2565,16.481623915255085
0.257,16.405897731995395
0.2575,16.330519478943348
0.258,16.218100973589298
0.2585,16.14358556826486
0.259,16.069412530128773
0.2595,15.958791472367329
0.26,15.88546748597779
0.2605,15.812480392703835
0.261,15.703628043335524
0.2615,15.631476426409538
0.262,15.559656316050742
0.2625,15.452544395384141
0.263,15.381546403030349
0.2635,15.310874616820303
0.264,15.205475297324954
0.2645,15.13561248436208
0.265,15.066070661867418
0.2655,14.962356560944336
0.266,14.893610777109155
0.2665,14.825180851459537
0.267,14.723125024327187
0.2675,14.655478409559112
0.268,14.588142602753482
0.2685,14.487718535447618
0.269,14.421153515248688
0.2695,14.35489433353656
0.27,14.25607593602188
0.2705,14.190575216890918
0.271,14.12537544622754
0.2715,14.028137045619582
0.272,13.963683610559377
0.2725,13.867558288718882
0.273,13.803842646028846
0.2735,13.740419750125149
0.274,13.645831365889245
0.2745,13.583134465871542
0.275,13.520725631942772
0.2755,13.427649611378635
0.276,13.365955165464419
0.2765,13.304544179780914
0.277,13.212956341865752
0.2775,13.152248321922384
0.278,13.061708881318419
0.2785,13.001695780332906
0.279,12.941958414499863
0.2795,12.852866599436155
0.28,12.793813041575246
0.2805,12.705741052085418
0.281,12.647363474711517
0.2815,12.589254117941675
0.282,12.5025903021772
0.2825,12.44514611771385
0.283,12.387965865303691
0.2835,12.302687708123818
0.284,12.246161992650489
0.2845,12.161860006463678
0.285,12.105981335504822
0.2855,12.050359403717973
0.286,11.967405313072437
0.2865,11.91242008027375
0.287,11.830415557251646
0.2875,11.776059735208072
0.288,11.721953655481304
0.2885,11.641260294104914
0.289,11.587773561551263
0.2895,11.508003889444357
0.29,11.455129414455355
0.2905,11.402497875611685
0.291,11.324003632355572
0.2915,11.271974561755105
0.292,11.194378834671515
0.2925,11.142945335917299
0.293,11.091748152624008
0.2935,11.01539309541415
0.294,10.964781961431852
0.2945,10.889300933334333
0.295,10.839269140212034
0.2955,10.76465213629835
0.296,10.715193052376065
0.2965,10.665961212302578
0.297,10.592537251772887
0.2975,10.543868963912587
0.298,10.471285480508996
0.2985,10.423174293933041
0.299,10.351421666793437
0.2995,10.303861204416158
0.3,10.256519262514074
0.3005,10.18591388054117
0.301,10.139113857366794
0.3015,10.092528860766844
0.302,10.023052380778994
0.3025,9.977000638225533
0.303,9.908319448927676
0.3035,9.862794856312105
0.304,9.794899854086989
0.3045,9.749896377173869
0.305,9.68277856261249
0.3055,9.638290236239705
0.306,9.594006315159332
0.3065,9.52796164023652
0.307,9.48418463300897
0.3075,9.418895965228414
0.308,9.375620069258803
0.3085,9.311078754678302
0.309,9.268298233793493
0.3095,9.22571427154763
0.31,9.162204901219997
0.3105,9.120108393559097
0.311,9.057326008982
0.3115,9.015711376059569
0.312,8.953647655495937
0.3125,8.912509381337454
0.313,8.851156098308353
0.3135,8.81048873008014
0.314,8.770008211436346
0.3145,8.709635899560805
0.315,8.669618757582166
0.3155,8.609937521846007
0.316,8.570378452303697
0.3165,8.511380382023766
0.317,8.472274141405965
0.3175,8.413951416451951
0.318,8.375292821268827
0.3185,8.336811846196344
0.319,8.279421637123342
0.3195,8.241381150130023
0.32,8.1846478813479
0.3205,8.147042840208396
0.321,8.090958991783824
0.3215,8.053784411990666
0.322,8.016780633876792
0.3225,7.961593504173188
0.323,7.925013304804718
0.3235,7.870457896950986
0.324,7.834296427662118
0.3245,7.78036551039804
0.325,7.744617978025188
0.3255,7.691304402866097
0.326,7.655966069112563
0.3265,7.62079010025412
0.327,7.568328950209744
0.3275,7.533555637337174
0.328,7.481695005111543
0.3285,7.447319739059891
0.329,7.396052750582378
0.3295,7.362070974947361
0.33,7.3113908348341745
0.3305,7.2777980453682405
0.331,7.244359600749901
0.3315,7.194489780036995
0.332,7.16143410212902
0.3325,7.11213513653329
0.333,7.079457843841379
0.3335,7.030723198838334
0.334,6.998419960022734
0.3345,6.950243175887968
0.335,6.918309709189364
0.3355,6.870684400142321
0.336,6.839116472814292
0.3365,6.807693586937414
0.337,6.760829753919817
0.3375,6.729766562843177
0.338,6.6834391756861455
0.3385,6.652731562017413
0.339,6.606934480075959
0.3395,6.576578373554204
0.34,6.546361740672749
0.3405,6.501296903430906
0.341,6.4714261574858325
0.3415,6.4268771731701975
0.342,6.397348354826482
0.3425,6.353309318517438
0.343,6.324118513762195
0.3435,6.2805835881331795
0.344,6.251726927756859
0.3445,6.208690342300636
0.345,6.180164001384159
0.3455,6.151768727098682
0.346,6.109420249055721
0.3465,6.08135001278718
0.347,6.039486293763798
0.3475,6.011737374832781
0.348,5.970352865838369
0.3485,5.942921586155727
0.349,5.902010801718443
0.3495,5.874893525297767
0.35,5.847900841444807
0.3505,5.807644175213121
0.351,5.780960474057181
0.3515,5.741164622073276
0.352,5.714786366718671
0.3525,5.675446054085471
0.353,5.649369748123025
0.3535,5.623413251903491
0.354,5.584701947368308
0.3545,5.559042572704036
0.355,5.520774392807573
0.3555,5.495408738576246
0.356,5.457578610912709
0.3565,5.432503314924332
0.357,5.3951062251512765
0.3575,5.370317963702527
0.358,5.345643593969716
