 Distribution of neutrino fluxes in the BP04 standard solar model model.

astro-ph/0402114

The cumulative neutrino fluxes from Table 1 of BP04 are given in the row below.
 
 5.938E+00 1.401E-02 7.875E-07 4.857E-01 5.822E-04 5.712E-02 5.031E-02 5.912E-04 
 (Fictional fluxes for internal checks: 2.735E+00 4.863E-01)
 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
  0.01322 15.655 2.008 1.112E-05 1.702E-11 6.910E-05 8.183E-04 6.560E-04 7.464E-04 7.707E-04 3.378E-04 1.082E-04 2.862E-05
  0.01342 15.653 2.008 1.161E-05 1.701E-11 7.215E-05 8.523E-04 6.832E-04 7.773E-04 8.027E-04 3.523E-04 1.129E-04 2.990E-05
  0.01362 15.651 2.008 1.211E-05 1.699E-11 7.533E-05 8.877E-04 7.114E-04 8.094E-04 8.359E-04 3.674E-04 1.179E-04 3.124E-05
  0.01383 15.649 2.008 1.265E-05 1.698E-11 7.863E-05 9.243E-04 7.406E-04 8.426E-04 8.704E-04 3.830E-04 1.230E-04 3.263E-05
  0.01403 15.647 2.007 1.320E-05 1.696E-11 8.208E-05 9.623E-04 7.709E-04 8.770E-04 9.060E-04 3.993E-04 1.284E-04 3.408E-05
  0.01424 15.645 2.007 1.377E-05 1.695E-11 8.566E-05 1.002E-03 8.022E-04 9.127E-04 9.430E-04 4.162E-04 1.339E-04 3.560E-05
  0.01445 15.643 2.007 1.437E-05 1.693E-11 8.939E-05 1.042E-03 8.347E-04 9.496E-04 9.813E-04 4.337E-04 1.397E-04 3.718E-05
  0.01467 15.641 2.007 1.499E-05 1.692E-11 9.326E-05 1.084E-03 8.682E-04 9.878E-04 1.021E-03 4.519E-04 1.457E-04 3.882E-05
  0.01489 15.639 2.007 1.564E-05 1.690E-11 9.730E-05 1.128E-03 9.030E-04 1.027E-03 1.062E-03 4.708E-04 1.520E-04 4.053E-05
  0.01511 15.636 2.007 1.631E-05 1.688E-11 1.015E-04 1.173E-03 9.389E-04 1.068E-03 1.104E-03 4.904E-04 1.585E-04 4.231E-05
  0.01533 15.634 2.007 1.701E-05 1.686E-11 1.059E-04 1.220E-03 9.760E-04 1.110E-03 1.148E-03 5.107E-04 1.653E-04 4.416E-05
  0.01556 15.631 2.006 1.773E-05 1.685E-11 1.104E-04 1.268E-03 1.014E-03 1.154E-03 1.193E-03 5.317E-04 1.723E-04 4.609E-05
  0.01579 15.629 2.006 1.849E-05 1.683E-11 1.151E-04 1.318E-03 1.054E-03 1.199E-03 1.240E-03 5.536E-04 1.796E-04 4.810E-05
  0.01602 15.626 2.006 1.927E-05 1.681E-11 1.200E-04 1.369E-03 1.095E-03 1.246E-03 1.289E-03 5.761E-04 1.871E-04 5.019E-05
  0.01626 15.624 2.006 2.008E-05 1.679E-11 1.251E-04 1.422E-03 1.137E-03 1.294E-03 1.338E-03 5.995E-04 1.950E-04 5.236E-05
  0.01649 15.621 2.006 2.093E-05 1.677E-11 1.303E-04 1.477E-03 1.180E-03 1.343E-03 1.390E-03 6.237E-04 2.031E-04 5.462E-05
  0.01674 15.618 2.005 2.180E-05 1.675E-11 1.358E-04 1.534E-03 1.225E-03 1.394E-03 1.443E-03 6.488E-04 2.116E-04 5.697E-05
  0.01698 15.615 2.005 2.271E-05 1.672E-11 1.415E-04 1.592E-03 1.271E-03 1.446E-03 1.497E-03 6.747E-04 2.203E-04 5.941E-05
  0.01723 15.612 2.005 2.365E-05 1.670E-11 1.474E-04 1.652E-03 1.319E-03 1.501E-03 1.554E-03 7.015E-04 2.294E-04 6.195E-05
  0.01748 15.609 2.005 2.463E-05 1.668E-11 1.535E-04 1.713E-03 1.368E-03 1.556E-03 1.612E-03 7.291E-04 2.388E-04 6.458E-05
  0.01773 15.606 2.005 2.564E-05 1.666E-11 1.598E-04 1.777E-03 1.418E-03 1.613E-03 1.671E-03 7.577E-04 2.485E-04 6.731E-05
  0.01799 15.603 2.004 2.669E-05 1.663E-11 1.664E-04 1.842E-03 1.470E-03 1.672E-03 1.732E-03 7.872E-04 2.586E-04 7.015E-05
  0.01825 15.600 2.004 2.777E-05 1.661E-11 1.731E-04 1.909E-03 1.523E-03 1.733E-03 1.795E-03 8.176E-04 2.691E-04 7.310E-05
  0.01851 15.596 2.004 2.889E-05 1.658E-11 1.802E-04 1.978E-03 1.577E-03 1.795E-03 1.860E-03 8.490E-04 2.798E-04 7.615E-05
  0.01878 15.593 2.004 3.006E-05 1.656E-11 1.874E-04 2.048E-03 1.633E-03 1.858E-03 1.926E-03 8.814E-04 2.910E-04 7.932E-05
  0.01905 15.589 2.004 3.126E-05 1.653E-11 1.950E-04 2.121E-03 1.691E-03 1.923E-03 1.994E-03 9.147E-04 3.025E-04 8.260E-05
  0.01932 15.586 2.003 3.250E-05 1.650E-11 2.028E-04 2.195E-03 1.749E-03 1.990E-03 2.064E-03 9.491E-04 3.145E-04 8.600E-05
  0.01960 15.582 2.003 3.378E-05 1.647E-11 2.108E-04 2.271E-03 1.809E-03 2.059E-03 2.135E-03 9.844E-04 3.268E-04 8.953E-05
