 Distribution of neutrino fluxes in the BP04 standard solar model model.

astro-ph/0402114

The cumulative neutrino fluxes from Table 1 of BP04 are given in the row below.
 
 5.938E+00 1.401E-02 7.875E-07 4.857E-01 5.822E-04 5.712E-02 5.031E-02 5.912E-04 
 (Fictional fluxes for internal checks: 2.735E+00 4.863E-01)
 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
  0.10012 13.105 1.829 7.435E-04 2.705E-12 3.213E-03 7.276E-04 9.923E-04 1.130E-03 9.495E-04 2.569E-03 3.496E-03 2.505E-03
  0.10052 13.089 1.828 7.480E-04 2.666E-12 3.217E-03 7.084E-04 9.719E-04 1.107E-03 9.278E-04 2.542E-03 3.491E-03 2.517E-03
  0.10091 13.073 1.826 7.524E-04 2.627E-12 3.220E-03 6.895E-04 9.518E-04 1.084E-03 9.065E-04 2.514E-03 3.487E-03 2.528E-03
  0.10131 13.058 1.825 7.569E-04 2.588E-12 3.224E-03 6.711E-04 9.321E-04 1.062E-03 8.855E-04 2.486E-03 3.482E-03 2.539E-03
  0.10171 13.042 1.824 7.615E-04 2.550E-12 3.227E-03 6.530E-04 9.126E-04 1.039E-03 8.650E-04 2.459E-03 3.478E-03 2.550E-03
  0.10211 13.026 1.823 7.661E-04 2.513E-12 3.231E-03 6.354E-04 8.935E-04 1.018E-03 8.448E-04 2.432E-03 3.473E-03 2.561E-03
  0.10251 13.010 1.822 7.706E-04 2.476E-12 3.234E-03 6.181E-04 8.747E-04 9.963E-04 8.250E-04 2.405E-03 3.468E-03 2.572E-03
  0.10292 12.994 1.820 7.753E-04 2.439E-12 3.237E-03 6.013E-04 8.562E-04 9.753E-04 8.056E-04 2.378E-03 3.463E-03 2.583E-03
  0.10332 12.978 1.819 7.799E-04 2.402E-12 3.240E-03 5.848E-04 8.381E-04 9.546E-04 7.866E-04 2.351E-03 3.457E-03 2.594E-03
  0.10372 12.962 1.818 7.846E-04 2.366E-12 3.243E-03 5.687E-04 8.202E-04 9.343E-04 7.679E-04 2.325E-03 3.452E-03 2.605E-03
  0.10413 12.946 1.817 7.894E-04 2.331E-12 3.246E-03 5.530E-04 8.026E-04 9.143E-04 7.495E-04 2.298E-03 3.446E-03 2.616E-03
  0.10453 12.930 1.815 7.941E-04 2.296E-12 3.248E-03 5.376E-04 7.853E-04 8.947E-04 7.316E-04 2.272E-03 3.441E-03 2.627E-03
  0.10493 12.914 1.814 7.989E-04 2.261E-12 3.251E-03 5.226E-04 7.683E-04 8.753E-04 7.140E-04 2.246E-03 3.435E-03 2.638E-03
  0.10534 12.898 1.813 8.037E-04 2.226E-12 3.253E-03 5.080E-04 7.516E-04 8.563E-04 6.967E-04 2.220E-03 3.429E-03 2.649E-03
  0.10575 12.881 1.812 8.086E-04 2.192E-12 3.256E-03 4.936E-04 7.352E-04 8.377E-04 6.797E-04 2.194E-03 3.423E-03 2.660E-03
  0.10615 12.865 1.810 8.135E-04 2.158E-12 3.258E-03 4.797E-04 7.190E-04 8.193E-04 6.631E-04 2.168E-03 3.417E-03 2.671E-03
  0.10656 12.849 1.809 8.184E-04 2.125E-12 3.260E-03 4.660E-04 7.032E-04 8.013E-04 6.469E-04 2.143E-03 3.410E-03 2.682E-03
  0.10697 12.833 1.808 8.234E-04 2.092E-12 3.262E-03 4.527E-04 6.876E-04 7.836E-04 6.309E-04 2.117E-03 3.404E-03 2.693E-03
  0.10738 12.816 1.807 8.284E-04 2.060E-12 3.264E-03 4.397E-04 6.723E-04 7.661E-04 6.153E-04 2.092E-03 3.397E-03 2.704E-03
  0.10779 12.800 1.805 8.334E-04 2.027E-12 3.266E-03 4.270E-04 6.572E-04 7.490E-04 6.000E-04 2.067E-03 3.390E-03 2.715E-03
  0.10820 12.784 1.804 8.385E-04 1.996E-12 3.268E-03 4.146E-04 6.424E-04 7.322E-04 5.849E-04 2.042E-03 3.384E-03 2.725E-03
  0.10861 12.767 1.803 8.436E-04 1.964E-12 3.269E-03 4.025E-04 6.279E-04 7.157E-04 5.702E-04 2.017E-03 3.377E-03 2.736E-03
  0.10903 12.751 1.802 8.488E-04 1.933E-12 3.271E-03 3.907E-04 6.137E-04 6.995E-04 5.558E-04 1.993E-03 3.369E-03 2.747E-03
  0.10944 12.734 1.800 8.540E-04 1.902E-12 3.272E-03 3.792E-04 5.997E-04 6.836E-04 5.417E-04 1.968E-03 3.362E-03 2.758E-03
  0.10986 12.718 1.799 8.592E-04 1.872E-12 3.274E-03 3.680E-04 5.859E-04 6.680E-04 5.279E-04 1.944E-03 3.355E-03 2.768E-03
  0.11027 12.701 1.798 8.645E-04 1.842E-12 3.275E-03 3.571E-04 5.724E-04 6.526E-04 5.144E-04 1.920E-03 3.347E-03 2.779E-03
  0.11069 12.684 1.796 8.698E-04 1.812E-12 3.276E-03 3.464E-04 5.592E-04 6.375E-04 5.012E-04 1.896E-03 3.340E-03 2.790E-03
  0.11110 12.668 1.795 8.751E-04 1.783E-12 3.277E-03 3.360E-04 5.461E-04 6.227E-04 4.882E-04 1.873E-03 3.332E-03 2.800E-03
  0.11152 12.651 1.794 8.806E-04 1.754E-12 3.278E-03 3.259E-04 5.334E-04 6.082E-04 4.755E-04 1.849E-03 3.324E-03 2.811E-03
  0.11194 12.634 1.792 8.860E-04 1.725E-12 3.279E-03 3.160E-04 5.208E-04 5.940E-04 4.631E-04 1.826E-03 3.316E-03 2.821E-03
  0.11236 12.618 1.791 8.915E-04 1.697E-12 3.279E-03 3.064E-04 5.085E-04 5.800E-04 4.509E-04 1.802E-03 3.308E-03 2.832E-03
  0.11278 12.601 1.790 8.970E-04 1.669E-12 3.280E-03 2.970E-04 4.964E-04 5.663E-04 4.391E-04 1.779E-03 3.300E-03 2.842E-03
  0.11320 12.584 1.788 9.026E-04 1.641E-12 3.280E-03 2.879E-04 4.846E-04 5.528E-04 4.274E-04 1.756E-03 3.291E-03 2.853E-03
  0.11363 12.567 1.787 9.082E-04 1.614E-12 3.281E-03 2.790E-04 4.730E-04 5.396E-04 4.160E-04 1.734E-03 3.283E-03 2.863E-03
  0.11405 12.550 1.786 9.139E-04 1.587E-12 3.281E-03 2.703E-04 4.616E-04 5.266E-04 4.049E-04 1.711E-03 3.274E-03 2.874E-03
  0.11448 12.533 1.784 9.196E-04 1.561E-12 3.281E-03 2.619E-04 4.504E-04 5.139E-04 3.940E-04 1.689E-03 3.266E-03 2.884E-03
  0.11490 12.516 1.783 9.254E-04 1.534E-12 3.281E-03 2.537E-04 4.394E-04 5.014E-04 3.834E-04 1.666E-03 3.257E-03 2.895E-03
  0.11533 12.499 1.782 9.312E-04 1.508E-12 3.281E-03 2.457E-04 4.287E-04 4.892E-04 3.729E-04 1.644E-03 3.248E-03 2.905E-03
  0.11576 12.482 1.780 9.371E-04 1.483E-12 3.281E-03 2.379E-04 4.181E-04 4.772E-04 3.628E-04 1.623E-03 3.239E-03 2.915E-03
  0.11619 12.465 1.779 9.430E-04 1.458E-12 3.280E-03 2.303E-04 4.078E-04 4.655E-04 3.528E-04 1.601E-03 3.230E-03 2.926E-03
  0.11662 12.448 1.778 9.490E-04 1.433E-12 3.280E-03 2.229E-04 3.976E-04 4.539E-04 3.431E-04 1.579E-03 3.220E-03 2.936E-03
  0.11705 12.430 1.776 9.550E-04 1.408E-12 3.279E-03 2.158E-04 3.877E-04 4.426E-04 3.336E-04 1.558E-03 3.211E-03 2.946E-03
  0.11749 12.413 1.775 9.611E-04 1.383E-12 3.279E-03 2.088E-04 3.780E-04 4.316E-04 3.243E-04 1.537E-03 3.201E-03 2.956E-03
  0.11792 12.396 1.773 9.672E-04 1.359E-12 3.278E-03 2.020E-04 3.684E-04 4.207E-04 3.152E-04 1.516E-03 3.191E-03 2.967E-03
  0.11835 12.379 1.772 9.734E-04 1.336E-12 3.277E-03 1.954E-04 3.591E-04 4.101E-04 3.063E-04 1.495E-03 3.182E-03 2.977E-03
  0.11879 12.361 1.771 9.796E-04 1.312E-12 3.276E-03 1.890E-04 3.499E-04 3.997E-04 2.977E-04 1.474E-03 3.172E-03 2.987E-03
  0.11923 12.344 1.769 9.859E-04 1.289E-12 3.275E-03 1.828E-04 3.409E-04 3.895E-04 2.892E-04 1.454E-03 3.162E-03 2.997E-03
  0.11967 12.326 1.768 9.923E-04 1.266E-12 3.274E-03 1.767E-04 3.321E-04 3.795E-04 2.809E-04 1.433E-03 3.152E-03 3.007E-03
  0.12011 12.309 1.766 9.987E-04 1.244E-12 3.273E-03 1.708E-04 3.235E-04 3.697E-04 2.729E-04 1.413E-03 3.141E-03 3.017E-03
  0.12055 12.291 1.765 1.005E-03 1.222E-12 3.271E-03 1.651E-04 3.151E-04 3.601E-04 2.650E-04 1.393E-03 3.131E-03 3.027E-03
  0.12099 12.273 1.763 1.012E-03 1.200E-12 3.270E-03 1.595E-04 3.068E-04 3.507E-04 2.573E-04 1.373E-03 3.120E-03 3.037E-03
  0.12144 12.256 1.762 1.018E-03 1.178E-12 3.268E-03 1.541E-04 2.987E-04 3.415E-04 2.498E-04 1.354E-03 3.110E-03 3.047E-03
  0.12188 12.238 1.760 1.025E-03 1.157E-12 3.266E-03 1.489E-04 2.908E-04 3.325E-04 2.424E-04 1.334E-03 3.099E-03 3.057E-03
  0.12233 12.220 1.759 1.032E-03 1.136E-12 3.264E-03 1.438E-04 2.830E-04 3.237E-04 2.353E-04 1.315E-03 3.088E-03 3.067E-03
  0.12278 12.202 1.758 1.038E-03 1.115E-12 3.262E-03 1.388E-04 2.755E-04 3.151E-04 2.283E-04 1.296E-03 3.077E-03 3.077E-03
  0.12323 12.185 1.756 1.045E-03 1.094E-12 3.260E-03 1.340E-04 2.680E-04 3.066E-04 2.215E-04 1.277E-03 3.066E-03 3.087E-03
  0.12368 12.167 1.755 1.052E-03 1.074E-12 3.258E-03 1.294E-04 2.608E-04 2.983E-04 2.149E-04 1.258E-03 3.055E-03 3.096E-03
  0.12414 12.149 1.753 1.059E-03 1.054E-12 3.256E-03 1.248E-04 2.537E-04 2.903E-04 2.084E-04 1.239E-03 3.043E-03 3.106E-03
  0.12459 12.131 1.752 1.066E-03 1.034E-12 3.253E-03 1.205E-04 2.467E-04 2.824E-04 2.021E-04 1.221E-03 3.032E-03 3.116E-03
  0.12505 12.113 1.750 1.073E-03 1.015E-12 3.250E-03 1.162E-04 2.399E-04 2.746E-04 1.959E-04 1.203E-03 3.020E-03 3.125E-03
  0.12550 12.094 1.749 1.080E-03 9.959E-13 3.248E-03 1.121E-04 2.333E-04 2.671E-04 1.899E-04 1.185E-03 3.009E-03 3.135E-03
  0.12596 12.076 1.747 1.088E-03 9.771E-13 3.245E-03 1.081E-04 2.268E-04 2.597E-04 1.841E-04 1.167E-03 2.997E-03 3.145E-03
  0.12642 12.058 1.746 1.095E-03 9.585E-13 3.242E-03 1.042E-04 2.205E-04 2.524E-04 1.784E-04 1.149E-03 2.985E-03 3.154E-03
  0.12689 12.040 1.744 1.102E-03 9.401E-13 3.239E-03 1.004E-04 2.144E-04 2.454E-04 1.728E-04 1.131E-03 2.973E-03 3.164E-03
  0.12735 12.021 1.742 1.110E-03 9.220E-13 3.236E-03 9.676E-05 2.084E-04 2.384E-04 1.674E-04 1.114E-03 2.961E-03 3.173E-03
  0.12782 12.003 1.741 1.117E-03 9.042E-13 3.232E-03 9.323E-05 2.025E-04 2.317E-04 1.621E-04 1.096E-03 2.949E-03 3.182E-03
  0.12828 11.984 1.739 1.125E-03 8.867E-13 3.229E-03 8.980E-05 1.969E-04 2.251E-04 1.570E-04 1.079E-03 2.936E-03 3.192E-03
  0.12875 11.966 1.738 1.133E-03 8.694E-13 3.225E-03 8.648E-05 1.914E-04 2.186E-04 1.520E-04 1.062E-03 2.924E-03 3.201E-03
  0.12922 11.947 1.736 1.140E-03 8.523E-13 3.221E-03 8.327E-05 1.861E-04 2.123E-04 1.471E-04 1.046E-03 2.911E-03 3.210E-03
  0.12970 11.929 1.735 1.148E-03 8.355E-13 3.217E-03 8.015E-05 1.810E-04 2.062E-04 1.423E-04 1.029E-03 2.898E-03 3.219E-03
  0.13017 11.910 1.733 1.156E-03 8.189E-13 3.213E-03 7.714E-05 1.762E-04 2.001E-04 1.377E-04 1.012E-03 2.885E-03 3.228E-03
  0.13065 11.891 1.731 1.164E-03 8.026E-13 3.209E-03 7.422E-05 1.715E-04 1.943E-04 1.332E-04 9.961E-04 2.873E-03 3.238E-03
  0.13112 11.872 1.730 1.172E-03 7.865E-13 3.205E-03 7.140E-05 1.672E-04 1.885E-04 1.289E-04 9.800E-04 2.859E-03 3.247E-03
  0.13160 11.854 1.728 1.180E-03 7.707E-13 3.201E-03 6.867E-05 1.631E-04 1.829E-04 1.246E-04 9.640E-04 2.846E-03 3.256E-03
  0.13209 11.835 1.726 1.188E-03 7.551E-13 3.196E-03 6.603E-05 1.593E-04 1.774E-04 1.205E-04 9.482E-04 2.833E-03 3.264E-03
  0.13257 11.816 1.725 1.197E-03 7.397E-13 3.191E-03 6.347E-05 1.559E-04 1.721E-04 1.164E-04 9.325E-04 2.820E-03 3.273E-03
  0.13305 11.797 1.723 1.205E-03 7.246E-13 3.187E-03 6.100E-05 1.529E-04 1.669E-04 1.125E-04 9.170E-04 2.806E-03 3.282E-03
  0.13354 11.778 1.722 1.214E-03 7.097E-13 3.182E-03 5.861E-05 1.504E-04 1.618E-04 1.087E-04 9.017E-04 2.792E-03 3.291E-03
  0.13403 11.758 1.720 1.222E-03 6.950E-13 3.177E-03 5.630E-05 1.484E-04 1.568E-04 1.050E-04 8.865E-04 2.779E-03 3.299E-03
  0.13452 11.739 1.718 1.231E-03 6.805E-13 3.171E-03 5.407E-05 1.470E-04 1.520E-04 1.014E-04 8.715E-04 2.765E-03 3.308E-03
  0.13502 11.720 1.716 1.240E-03 6.663E-13 3.166E-03 5.192E-05 1.462E-04 1.473E-04 9.793E-05 8.567E-04 2.751E-03 3.317E-03
  0.13551 11.700 1.715 1.248E-03 6.523E-13 3.160E-03 4.983E-05 1.462E-04 1.426E-04 9.453E-05 8.420E-04 2.736E-03 3.325E-03
  0.13601 11.681 1.713 1.257E-03 6.385E-13 3.155E-03 4.782E-05 1.471E-04 1.381E-04 9.124E-05 8.274E-04 2.722E-03 3.333E-03
  0.13651 11.661 1.711 1.266E-03 6.249E-13 3.149E-03 4.588E-05 1.490E-04 1.337E-04 8.803E-05 8.130E-04 2.708E-03 3.342E-03
  0.13701 11.642 1.710 1.276E-03 6.116E-13 3.143E-03 4.400E-05 1.519E-04 1.295E-04 8.492E-05 7.988E-04 2.693E-03 3.350E-03
  0.13752 11.622 1.708 1.285E-03 5.984E-13 3.137E-03 4.219E-05 1.561E-04 1.253E-04 8.190E-05 7.847E-04 2.679E-03 3.358E-03
  0.13802 11.603 1.706 1.294E-03 5.855E-13 3.130E-03 4.045E-05 1.616E-04 1.212E-04 7.897E-05 7.708E-04 2.664E-03 3.366E-03
  0.13853 11.583 1.704 1.303E-03 5.728E-13 3.124E-03 3.876E-05 1.685E-04 1.172E-04 7.613E-05 7.570E-04 2.649E-03 3.374E-03
  0.13904 11.563 1.703 1.313E-03 5.602E-13 3.117E-03 3.714E-05 1.772E-04 1.133E-04 7.337E-05 7.434E-04 2.634E-03 3.382E-03
  0.13956 11.543 1.701 1.323E-03 5.479E-13 3.111E-03 3.557E-05 1.876E-04 1.095E-04 7.069E-05 7.299E-04 2.619E-03 3.390E-03
  0.14007 11.523 1.699 1.332E-03 5.358E-13 3.104E-03 3.406E-05 1.999E-04 1.058E-04 6.809E-05 7.166E-04 2.604E-03 3.397E-03
  0.14059 11.503 1.697 1.342E-03 5.239E-13 3.096E-03 3.261E-05 2.143E-04 1.022E-04 6.557E-05 7.035E-04 2.588E-03 3.405E-03
  0.14111 11.483 1.695 1.352E-03 5.122E-13 3.089E-03 3.121E-05 2.310E-04 9.870E-05 6.313E-05 6.905E-04 2.573E-03 3.412E-03
  0.14163 11.463 1.694 1.362E-03 5.007E-13 3.082E-03 2.985E-05 2.502E-04 9.527E-05 6.077E-05 6.776E-04 2.557E-03 3.420E-03
  0.14216 11.442 1.692 1.372E-03 4.893E-13 3.074E-03 2.855E-05 2.718E-04 9.191E-05 5.847E-05 6.649E-04 2.542E-03 3.427E-03
  0.14269 11.422 1.690 1.382E-03 4.782E-13 3.066E-03 2.730E-05 2.961E-04 8.863E-05 5.625E-05 6.523E-04 2.526E-03 3.434E-03
  0.14322 11.402 1.688 1.393E-03 4.673E-13 3.058E-03 2.610E-05 3.233E-04 8.543E-05 5.410E-05 6.399E-04 2.510E-03 3.441E-03
  0.14375 11.381 1.686 1.403E-03 4.565E-13 3.050E-03 2.494E-05 3.533E-04 8.231E-05 5.202E-05 6.276E-04 2.494E-03 3.448E-03
  0.14428 11.360 1.684 1.413E-03 4.459E-13 3.042E-03 2.382E-05 3.863E-04 7.926E-05 5.000E-05 6.155E-04 2.477E-03 3.455E-03
  0.14482 11.340 1.682 1.424E-03 4.355E-13 3.033E-03 2.275E-05 4.224E-04 7.628E-05 4.804E-05 6.035E-04 2.461E-03 3.461E-03
  0.14536 11.319 1.680 1.435E-03 4.253E-13 3.024E-03 2.172E-05 4.615E-04 7.337E-05 4.615E-05 5.917E-04 2.445E-03 3.468E-03
  0.14591 11.298 1.678 1.446E-03 4.153E-13 3.016E-03 2.072E-05 5.038E-04 7.053E-05 4.433E-05 5.800E-04 2.428E-03 3.474E-03
  0.14645 11.277 1.677 1.457E-03 4.055E-13 3.006E-03 1.977E-05 5.491E-04 6.776E-05 4.256E-05 5.685E-04 2.411E-03 3.480E-03
  0.14700 11.256 1.675 1.468E-03 3.958E-13 2.997E-03 1.886E-05 5.975E-04 6.505E-05 4.085E-05 5.571E-04 2.394E-03 3.486E-03
  0.14755 11.235 1.673 1.479E-03 3.863E-13 2.988E-03 1.798E-05 6.487E-04 6.241E-05 3.920E-05 5.459E-04 2.378E-03 3.492E-03
  0.14811 11.214 1.671 1.490E-03 3.770E-13 2.978E-03 1.713E-05 7.028E-04 5.983E-05 3.760E-05 5.347E-04 2.360E-03 3.498E-03
  0.14867 11.193 1.669 1.501E-03 3.678E-13 2.968E-03 1.632E-05 7.596E-04 5.732E-05 3.605E-05 5.238E-04 2.343E-03 3.504E-03
  0.14923 11.172 1.667 1.513E-03 3.588E-13 2.958E-03 1.555E-05 8.188E-04 5.486E-05 3.456E-05 5.130E-04 2.326E-03 3.509E-03
  0.14979 11.150 1.665 1.525E-03 3.500E-13 2.948E-03 1.480E-05 8.803E-04 5.247E-05 3.312E-05 5.023E-04 2.308E-03 3.514E-03
  0.15036 11.129 1.663 1.536E-03 3.413E-13 2.938E-03 1.409E-05 9.438E-04 5.014E-05 3.173E-05 4.917E-04 2.291E-03 3.520E-03
  0.15093 11.107 1.661 1.548E-03 3.328E-13 2.927E-03 1.340E-05 1.009E-03 4.787E-05 3.039E-05 4.813E-04 2.273E-03 3.525E-03
  0.15150 11.086 1.658 1.560E-03 3.245E-13 2.916E-03 1.275E-05 1.076E-03 4.566E-05 2.910E-05 4.711E-04 2.256E-03 3.529E-03
  0.15207 11.064 1.656 1.572E-03 3.163E-13 2.905E-03 1.212E-05 1.143E-03 4.351E-05 2.785E-05 4.610E-04 2.238E-03 3.534E-03
  0.15265 11.042 1.654 1.585E-03 3.083E-13 2.894E-03 1.152E-05 1.212E-03 4.142E-05 2.665E-05 4.510E-04 2.220E-03 3.539E-03
  0.15323 11.020 1.652 1.597E-03 3.004E-13 2.883E-03 1.094E-05 1.280E-03 3.939E-05 2.549E-05 4.412E-04 2.202E-03 3.543E-03
  0.15382 10.998 1.650 1.610E-03 2.927E-13 2.871E-03 1.039E-05 1.349E-03 3.742E-05 2.437E-05 4.315E-04 2.183E-03 3.547E-03
  0.15441 10.976 1.648 1.622E-03 2.851E-13 2.859E-03 9.863E-06 1.418E-03 3.551E-05 2.329E-05 4.219E-04 2.165E-03 3.551E-03
  0.15500 10.954 1.646 1.635E-03 2.777E-13 2.847E-03 9.359E-06 1.485E-03 3.366E-05 2.226E-05 4.125E-04 2.147E-03 3.555E-03
  0.15559 10.932 1.644 1.648E-03 2.704E-13 2.835E-03 8.877E-06 1.551E-03 3.187E-05 2.126E-05 4.032E-04 2.128E-03 3.559E-03
  0.15619 10.909 1.641 1.661E-03 2.633E-13 2.823E-03 8.416E-06 1.616E-03 3.014E-05 2.030E-05 3.941E-04 2.110E-03 3.562E-03
  0.15680 10.887 1.639 1.674E-03 2.563E-13 2.811E-03 7.977E-06 1.679E-03 2.847E-05 1.937E-05 3.851E-04 2.091E-03 3.566E-03
  0.15740 10.865 1.637 1.688E-03 2.494E-13 2.798E-03 7.557E-06 1.739E-03 2.686E-05 1.848E-05 3.762E-04 2.072E-03 3.569E-03
  0.15801 10.842 1.635 1.701E-03 2.427E-13 2.785E-03 7.156E-06 1.797E-03 2.531E-05 1.763E-05 3.675E-04 2.054E-03 3.572E-03
  0.15862 10.819 1.632 1.715E-03 2.362E-13 2.772E-03 6.774E-06 1.852E-03 2.382E-05 1.681E-05 3.588E-04 2.035E-03 3.575E-03
  0.15924 10.796 1.630 1.729E-03 2.297E-13 2.759E-03 6.410E-06 1.903E-03 2.239E-05 1.602E-05 3.504E-04 2.016E-03 3.577E-03
  0.15986 10.773 1.628 1.743E-03 2.234E-13 2.745E-03 6.062E-06 1.951E-03 2.102E-05 1.526E-05 3.420E-04 1.997E-03 3.580E-03
  0.16048 10.750 1.625 1.757E-03 2.172E-13 2.732E-03 5.731E-06 1.995E-03 1.971E-05 1.453E-05 3.338E-04 1.978E-03 3.582E-03
  0.16111 10.727 1.623 1.772E-03 2.112E-13 2.718E-03 5.415E-06 2.034E-03 1.846E-05 1.383E-05 3.258E-04 1.958E-03 3.584E-03
  0.16174 10.704 1.621 1.786E-03 2.053E-13 2.704E-03 5.115E-06 2.070E-03 1.726E-05 1.316E-05 3.178E-04 1.939E-03 3.586E-03
  0.16238 10.681 1.618 1.801E-03 1.995E-13 2.690E-03 4.829E-06 2.101E-03 1.612E-05 1.252E-05 3.100E-04 1.920E-03 3.587E-03
  0.16302 10.657 1.616 1.816E-03 1.938E-13 2.675E-03 4.557E-06 2.128E-03 1.504E-05 1.190E-05 3.023E-04 1.900E-03 3.589E-03
  0.16366 10.634 1.614 1.831E-03 1.883E-13 2.661E-03 4.298E-06 2.150E-03 1.401E-05 1.131E-05 2.947E-04 1.881E-03 3.590E-03
  0.16431 10.610 1.611 1.846E-03 1.829E-13 2.646E-03 4.052E-06 2.167E-03 1.304E-05 1.074E-05 2.873E-04 1.861E-03 3.591E-03
  0.16496 10.587 1.609 1.861E-03 1.776E-13 2.631E-03 3.818E-06 2.180E-03 1.212E-05 1.020E-05 2.800E-04 1.841E-03 3.591E-03
  0.16562 10.563 1.606 1.877E-03 1.724E-13 2.616E-03 3.596E-06 2.187E-03 1.125E-05 9.683E-06 2.728E-04 1.822E-03 3.592E-03
  0.16628 10.539 1.604 1.892E-03 1.673E-13 2.600E-03 3.386E-06 2.191E-03 1.042E-05 9.186E-06 2.658E-04 1.802E-03 3.592E-03
  0.16694 10.515 1.601 1.908E-03 1.624E-13 2.585E-03 3.186E-06 2.190E-03 9.652E-06 8.710E-06 2.588E-04 1.782E-03 3.592E-03
  0.16761 10.491 1.599 1.924E-03 1.575E-13 2.569E-03 2.996E-06 2.184E-03 8.927E-06 8.256E-06 2.520E-04 1.762E-03 3.592E-03
  0.16829 10.466 1.596 1.941E-03 1.528E-13 2.553E-03 2.816E-06 2.174E-03 8.247E-06 7.821E-06 2.453E-04 1.742E-03 3.591E-03
  0.16896 10.442 1.593 1.957E-03 1.482E-13 2.537E-03 2.645E-06 2.160E-03 7.610E-06 7.406E-06 2.387E-04 1.722E-03 3.590E-03
  0.16965 10.417 1.591 1.974E-03 1.437E-13 2.520E-03 2.484E-06 2.141E-03 7.016E-06 7.009E-06 2.322E-04 1.702E-03 3.589E-03
  0.17034 10.393 1.588 1.990E-03 1.392E-13 2.504E-03 2.331E-06 2.119E-03 6.462E-06 6.630E-06 2.259E-04 1.682E-03 3.587E-03
  0.17103 10.368 1.586 2.007E-03 1.349E-13 2.487E-03 2.186E-06 2.094E-03 5.946E-06 6.269E-06 2.197E-04 1.661E-03 3.586E-03
  0.17173 10.343 1.583 2.025E-03 1.307E-13 2.469E-03 2.049E-06 2.065E-03 5.467E-06 5.924E-06 2.136E-04 1.641E-03 3.584E-03
  0.17243 10.318 1.580 2.042E-03 1.266E-13 2.452E-03 1.920E-06 2.032E-03 5.023E-06 5.595E-06 2.076E-04 1.621E-03 3.581E-03
  0.17313 10.293 1.577 2.059E-03 1.226E-13 2.435E-03 1.798E-06 1.997E-03 4.611E-06 5.282E-06 2.017E-04 1.600E-03 3.578E-03
  0.17385 10.268 1.575 2.077E-03 1.187E-13 2.417E-03 1.682E-06 1.959E-03 4.231E-06 4.984E-06 1.959E-04 1.580E-03 3.575E-03
  0.17456 10.243 1.572 2.095E-03 1.149E-13 2.399E-03 1.573E-06 1.919E-03 3.880E-06 4.699E-06 1.902E-04 1.559E-03 3.572E-03
  0.17529 10.217 1.569 2.113E-03 1.112E-13 2.380E-03 1.470E-06 1.876E-03 3.557E-06 4.429E-06 1.847E-04 1.539E-03 3.568E-03
  0.17601 10.192 1.566 2.131E-03 1.076E-13 2.362E-03 1.373E-06 1.831E-03 3.260E-06 4.172E-06 1.792E-04 1.518E-03 3.564E-03
  0.17675 10.166 1.563 2.149E-03 1.040E-13 2.343E-03 1.282E-06 1.785E-03 2.986E-06 3.928E-06 1.739E-04 1.497E-03 3.559E-03
  0.17748 10.140 1.561 2.168E-03 1.006E-13 2.324E-03 1.196E-06 1.737E-03 2.736E-06 3.695E-06 1.686E-04 1.476E-03 3.554E-03
  0.17823 10.114 1.558 2.186E-03 9.726E-14 2.305E-03 1.115E-06 1.688E-03 2.506E-06 3.475E-06 1.635E-04 1.456E-03 3.549E-03
  0.17898 10.088 1.555 2.205E-03 9.400E-14 2.285E-03 1.039E-06 1.638E-03 2.295E-06 3.265E-06 1.585E-04 1.435E-03 3.543E-03
  0.17973 10.062 1.552 2.224E-03 9.082E-14 2.265E-03 9.671E-07 1.587E-03 2.103E-06 3.067E-06 1.536E-04 1.414E-03 3.536E-03
  0.18049 10.036 1.549 2.243E-03 8.773E-14 2.245E-03 8.999E-07 1.535E-03 1.927E-06 2.878E-06 1.488E-04 1.393E-03 3.530E-03
  0.18126 10.010 1.546 2.262E-03 8.472E-14 2.225E-03 8.367E-07 1.483E-03 1.766E-06 2.700E-06 1.441E-04 1.372E-03 3.522E-03
  0.18203  9.983 1.543 2.281E-03 8.179E-14 2.205E-03 7.775E-07 1.431E-03 1.619E-06 2.531E-06 1.394E-04 1.351E-03 3.515E-03
  0.18280  9.956 1.540 2.301E-03 7.894E-14 2.184E-03 7.219E-07 1.379E-03 1.485E-06 2.371E-06 1.349E-04 1.330E-03 3.507E-03
  0.18359  9.930 1.536 2.320E-03 7.616E-14 2.163E-03 6.698E-07 1.327E-03 1.363E-06 2.220E-06 1.305E-04 1.309E-03 3.498E-03
