energy_MeV,spectrum,uncertainty
11.3,0.04568640660901881,-0.00024200215381916894
11.4,0.04327138511532752,-0.0002380021182188521
11.5,0.040889363915338844,-0.00023300207371845607
11.6,0.03854534305355317,-0.0002270020203179808
11.7,0.036242322556670745,-0.00022200197581758474
11.8,0.03398430246029189,-0.00021500191351703026
11.9,0.03177428279111683,-0.000209001860116555
12.0,0.029616263584745898,-0.00020200179781600054
12.1,0.02751524488567948,-0.00019500173551544606
12.2,0.025472226702817652,-0.00018800167321489158
12.3,0.02349320908956089,-0.0001810016109143371
12.4,0.021579192054809286,-0.0001730015397137034
12.5,0.019735175643063218,-0.00016500146851306974
12.6,0.01796315987212286,-0.00015700139731243605
12.7,0.016266144768688436,-0.00014900132611180236
12.8,0.014647130359460197,-0.0001400012460110895
12.9,0.013110116680038449,-0.0001320011748104558
13.0,0.011655103730423198,-0.0001230010947097429
13.1,0.010286091546214758,-0.00011500102350910922
13.2,0.009005080145213291,-0.00010600094340839631
13.3,0.007813069536318872,-9.700086330768342e-05
13.4,0.00671205973733166,-8.800078320697052e-05
13.5,0.0057030507571517374,-8.000071200633684e-05
13.6,0.004787042604679181,-7.100063190562394e-05
13.7,0.0039650352888140694,-6.200055180491105e-05
13.8,0.0032370288095564044,-5.400048060427737e-05
13.9,0.0026020231580061058,-4.6000409403643684e-05
14.0,0.002058018316363015,-3.800033820301e-05
14.1,0.0016020142579268952,-3.1000275902455526e-05
14.2,0.0012280109292972705,-2.4000213601901053e-05
14.3,0.0009290082681735866,-1.9000169101505e-05
14.4,0.0006940061766549721,-1.4000124601108948e-05
14.5,0.000513004565740635,-1.1000097900871315e-05
14.6,0.00037600334642978316,-8.000071200633684e-06
14.7,0.0002730024297216245,-6.000053400475263e-06
14.8,0.00019600174441552527,-4.000035600316842e-06
14.9,0.0001400012460110895,-3.0000267002376317e-06
15.0,9.900088110784185e-05,-2.000017800158421e-06
15.1,6.900061410546553e-05,-2.000017800158421e-06
15.2,4.7000418303722895e-05,-1.0000089000792106e-06
15.3,0.0,0.0
15.4,0.0,0.0
15.5,0.0,0.0
15.6,0.0,0.0
15.7,0.0,0.0
15.8,0.0,0.0
15.9,0.0,0.0
16.0,0.0,0.0
16.1,0.0,0.0
16.2,0.0,0.0
16.3,0.0,0.0
16.4,0.0,0.0
16.5,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.8,0.0,0.0
16.9,0.0,0.0
17.0,0.0,0.0
17.1,0.0,0.0
17.2,0.0,0.0
17.3,0.0,0.0
17.4,0.0,0.0
17.5,0.0,0.0
17.6,0.0,0.0
17.7,0.0,0.0
17.8,0.0,0.0
17.9,0.0,0.0
18.0,0.0,0.0
18.1,0.0,0.0
18.2,0.0,0.0
18.3,0.0,0.0
18.4,0.0,0.0
18.5,0.0,0.0
18.6,0.0,0.0
18.7,0.0,0.0
18.8,0.0,0.0
18.9,0.0,0.0
19.0,0.0,0.0
19.1,0.0,0.0
19.2,0.0,0.0
19.3,0.0,0.0
19.4,0.0,0.0
19.5,0.0,0.0
19.6,0.0,0.0
19.7,0.0,0.0
19.8,0.0,0.0
19.9,0.0,0.0
20.0,0.0,0.0
