radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0565,5.06394925,6.91811259,2.80320221,13.1102711,15.9818709,10.9297617,15.527244,15.7165763
0.057,5.11885277,6.97781162,2.84411825,13.1098081,15.7850956,10.8343949,15.3918253,15.5535235
0.0575,5.16118833,7.0200308,2.87831898,13.0749114,15.5476757,10.7108592,15.2163892,15.3502203
0.058,5.23190766,7.10046283,2.92863955,13.1090852,15.3916601,10.6434855,15.120741,15.2273775
0.0585,5.29849642,7.17482363,2.97699982,13.1298946,15.2208408,10.5655844,15.0101384,15.0897051
0.059,5.35647697,7.23710242,3.02084103,13.1266839,15.0233291,10.4688412,14.8727694,14.9253994
0.0595,5.42484237,7.31297758,3.07087203,13.1461223,14.8522578,10.3903016,14.761263,14.7872255
0.06,5.46432426,7.34954034,3.10485632,13.0935344,14.6019985,10.2557499,14.5701817,14.5697533
0.0605,5.54614774,7.44262441,3.16322411,13.1394654,14.4609776,10.1979686,14.4881676,14.4613324
0.061,5.62029449,7.52489072,3.21760502,13.1641807,14.2985959,10.1245242,14.3839038,14.3311321
0.0615,5.62967743,7.52014869,3.23515907,13.0360848,13.9741277,9.93525431,14.115086,14.0376459
0.062,5.71674489,7.61880895,3.29762628,13.0850697,13.8373974,9.87986968,14.036481,13.933072
0.0625,5.77498348,7.67857111,3.34385343,13.065729,13.6316845,9.77436279,13.8866697,13.7584589
0.063,5.85080503,7.76125246,3.40063808,13.0835873,13.4660238,9.69713111,13.7770291,13.6239366
0.0635,5.88418128,7.78725791,3.43305404,13.0049778,13.2047851,9.54997631,13.5680479,13.3918448
0.064,5.95532377,7.86286058,3.48780201,13.0074969,13.0260908,9.46236603,13.4436647,13.243358
0.0645,5.98060343,7.87757719,3.51597325,12.9086547,12.7498263,9.30275959,13.2169917,12.9948208
0.065,6.05104257,7.95141424,3.57097946,12.9050693,12.5675404,9.21165349,13.0876435,12.8420282
0.0655,6.11394187,8.01489877,3.62191099,12.8834244,12.3706778,9.10894484,12.9418129,12.6736515
0.066,6.15835994,8.05378802,3.6622071,12.8213695,12.1381854,8.97904251,12.7573453,12.4680345
0.0665,6.21965954,8.11437301,3.71284554,12.7925551,11.9388238,8.87303581,12.606828,12.2959443
0.067,6.2783235,8.17111433,3.76227068,12.7566846,11.7357655,8.76339256,12.4511465,12.1193849
0.0675,6.32292687,8.20919871,3.80358984,12.6909783,11.5084741,8.63459297,12.2682465,11.9169342
0.068,6.37492843,8.25654051,3.84964791,12.6386337,11.2954885,8.51581633,12.0995875,11.7287547
0.0685,6.41656028,8.2901217,3.88972945,12.5645863,11.0661415,8.38373374,11.9120227,11.5228269
0.069,6.47948821,8.35083892,3.9430405,12.5305803,10.873983,8.27913835,11.7635134,11.3550745
0.0695,6.52088135,8.38345685,3.98355311,12.4539797,10.648781,8.14815086,11.5775062,11.1518675
0.07,6.57329873,8.42990486,4.0311208,12.3972036,10.4428592,8.03109073,11.4112863,10.9681801
0.0705,6.62602573,8.47639073,4.07921055,12.3398933,10.2396124,7.9150507,11.2465181,10.7864969
0.071,6.68354476,8.5286325,4.13059022,12.2903198,10.04591,7.80532039,11.0907144,10.6140207
0.0715,6.71014329,8.54113744,4.16311554,12.1834704,9.80959643,7.66108686,10.8858837,10.3954071
0.072,6.77562793,8.60278463,4.22007245,12.1457004,9.63022328,7.56079349,10.7434892,10.2367067
0.0725,6.79083681,8.60034583,4.24599664,12.0179585,9.38466404,7.4068183,10.5248138,10.0062773
0.073,6.86150176,8.66778712,4.30690624,11.9867175,9.21503428,7.31250092,10.3909116,9.8566066
0.0735,6.89105818,8.68300039,4.34232269,11.8836546,8.99550166,7.1767936,10.1981947,9.65214592
0.074,6.94557918,8.72934911,4.3937508,11.8225635,8.80978228,7.06728333,10.0427028,9.48333002
0.0745,6.97245087,8.74068629,4.42796766,11.7143932,8.5933513,6.9316122,9.85003388,9.28023557
0.075,7.03670259,8.79853764,4.48627344,11.6679304,8.42397322,6.83319872,9.71031125,9.12740411
