E_min_MeV,E_max_MeV,N
11.5,11.55,5.0441116820624314e-05
11.55,11.6,3.991391022171087e-05
11.6,11.65,3.2411315835990586e-05
11.65,11.7,2.799949967745962e-05
11.7,11.75,2.6745056844376823e-05
11.75,11.8,2.871501151907489e-05
11.8,11.85,3.397681696816025e-05
11.85,11.9,4.259835554232429e-05
11.9,11.95,5.4647938676509934e-05
11.95,12.0,7.01943068897784e-05
