E_min_MeV,E_max_MeV,N
6.85,6.9,2.0209421590902908e-07
6.9,6.95,1.9608776766993017e-07
6.95,7.0,2.0083013295129437e-07
7.0,7.05,1.9642800995997203e-07
7.05,7.1,1.9493175127422216e-07
7.1,7.15,1.942974176805718e-07
7.15,7.2,1.8723919106037225e-07
7.2,7.25,1.9076877773002974e-07
7.25,7.3,2.0441446692944045e-07
7.3,7.35,2.0939179405163727e-07
7.35,7.4,2.1135647322578706e-07
7.4,7.45,2.0909718381580966e-07
7.45,7.5,2.214161612314741e-07
7.5,7.55,2.338502591285936e-07
7.55,7.6,2.334966746006066e-07
7.6,7.65,2.419439330090425e-07
7.65,7.7,2.6327965305362605e-07
7.7,7.75,2.724154772280647e-07
7.75,7.8,2.7125722349872934e-07
7.8,7.85,2.962409626619377e-07
7.85,7.9,2.872178604639918e-07
7.9,7.95,3.1162229998372073e-07
7.95,8.0,3.001697750432997e-07
8.0,8.05,2.884937848631625e-07
8.05,8.1,2.842128530523218e-07
8.1,8.15,2.562219379135297e-07
8.15,8.2,2.484173604511483e-07
8.2,8.25,2.387008304527057e-07
8.25,8.3,2.142442256421533e-07
8.3,8.35,1.861951715048621e-07
8.35,8.4,1.7538420497672097e-07
8.4,8.45,1.6688753982686652e-07
8.45,8.5,1.4693293144440994e-07
8.5,8.55,1.390738375404997e-07
8.55,8.6,1.2565569618123276e-07
8.6,8.65,1.1674767246600085e-07
8.65,8.7,1.1374422554719501e-07
8.7,8.75,1.159994940806306e-07
8.75,8.8,1.1426536993044833e-07
8.8,8.85,1.1733010115571853e-07
8.85,8.9,1.1119956882379155e-07
8.9,8.95,1.1443575845951969e-07
8.95,9.0,1.0634457210504553e-07
9.0,9.05,1.1385934695433182e-07
9.05,9.1,1.1611603481048488e-07
9.1,9.15,1.0437738738018627e-07
9.15,9.2,1.1200798741333973e-07
9.2,9.25,1.1125978337092042e-07
9.25,9.3,1.133392504591956e-07
9.3,9.35,1.1102940584141289e-07
9.35,9.4,1.0484013583965565e-07
9.4,9.45,1.0345386974483749e-07
9.45,9.5,1.0200551442309059e-07
9.5,9.55,9.974802530562541e-08
9.55,9.6,1.0339546562612081e-07
9.6,9.65,9.529987461253699e-08
9.65,9.7,8.321622275631962e-08
9.7,9.75,8.61626686906726e-08
9.75,9.8,8.477496675019593e-08
9.8,9.85,8.326882754107801e-08
9.85,9.9,7.638954211120152e-08
9.9,9.95,7.262995665611325e-08
9.95,10.0,6.91606756292542e-08
10.0,10.05,6.754221241778255e-08
10.05,10.1,6.540213913956525e-08
10.1,10.15,5.5283973840427436e-08
10.15,10.2,6.343754356551453e-08
10.2,10.25,5.7192039932010683e-08
10.25,10.3,5.1121023475421616e-08
10.3,10.35,4.938587302701375e-08
10.35,10.4,5.337367244154477e-08
10.4,10.45,4.4179697511079446e-08
10.45,10.5,4.5740427289187284e-08
10.5,10.55,4.129076881097325e-08
10.55,10.6,3.995992738079329e-08
10.6,10.65,4.3948985474735594e-08
10.65,10.7,3.6665219173681497e-08
10.7,10.75,3.6315572196750985e-08
10.75,10.8,4.048162542070814e-08
10.8,10.85,3.5217593038379246e-08
10.85,10.9,4.036423703727015e-08
10.9,10.95,3.348241845549673e-08
10.95,11.0,3.706819664869754e-08
11.0,11.05,3.267176323396448e-08
11.05,11.1,3.030126148392341e-08
11.1,11.15,3.1863359970696704e-08
11.15,11.2,2.422983189894408e-08
11.2,11.25,3.140154237077699e-08
11.25,11.3,3.244310059381506e-08
11.3,11.35,2.631120779580926e-08
11.35,11.4,2.8335475648087048e-08
11.4,11.45,2.521332342128772e-08
11.45,11.5,2.3015819645763285e-08
11.5,11.55,2.4346032170612283e-08
11.55,11.6,2.2610839754114377e-08
11.6,11.65,2.3420182173419645e-08
11.65,11.7,1.9949553170005217e-08
11.7,11.75,2.4693640153843554e-08
11.75,11.8,1.8851871934727728e-08
11.8,11.85,2.0933710762937955e-08
11.85,11.9,1.97195873921256e-08
11.9,11.95,1.804315178338965e-08
11.95,12.0,1.9082413737838847e-08
