radius_km,radius_fraction,mass_density_g_cm3,electron_fraction,electron_density_mol_cm3,neutron_density_mol_cm3,depth_km
879.1980000000001,0.138,12.891986646680943,0.467,6.020557764,6.8714288826809415,5491.802
885.5690000000001,0.139,12.889543471092077,0.467,6.019416801,6.870126670092076,5485.431
891.94,0.14,12.887082655246253,0.467,6.018267600000001,6.868815055246252,5479.0599999999995
898.311,0.14100000000000001,12.884604199143467,0.467,6.017110161,6.867494038143467,5472.689
904.6820000000001,0.14200000000000002,12.882108102783725,0.467,6.015944484,6.866163618783724,5466.318
911.0530000000001,0.14300000000000002,12.879594366167023,0.467,6.014770569,6.8648237971670225,5459.947
917.4240000000001,0.14400000000000002,12.877062989293362,0.467,6.013588416,6.863474573293361,5453.576
923.795,0.145,12.874513972162742,0.467,6.012398025,6.86211594716274,5447.205
930.1659999999999,0.146,12.871947314775161,0.467,6.011199396,6.86074791877516,5440.834
936.5369999999999,0.147,12.86936301713062,0.467,6.009992529,6.85937048813062,5434.463
942.9079999999999,0.148,12.866761079229121,0.467,6.008777424,6.857983655229121,5428.092
949.279,0.149,12.864141501070664,0.467,6.007554081,6.856587420070663,5421.721
955.65,0.15,12.861504282655247,0.467,6.0063225000000005,6.8551817826552455,5415.349999999999
962.021,0.151,12.85884942398287,0.467,6.005082681,6.853766742982868,5408.979
968.3919999999999,0.152,12.856176925053534,0.467,6.0038346240000005,6.8523423010535325,5402.608
974.763,0.153,12.853486785867238,0.467,6.002578329,6.850908456867237,5396.237
981.134,0.154,12.850779006423982,0.467,6.001313796,6.849465210423982,5389.866
987.505,0.155,12.848053586723768,0.467,6.000041025,6.848012561723768,5383.495
993.876,0.156,12.845310526766594,0.467,5.998760016,6.846550510766594,5377.124
1000.247,0.157,12.842549826552462,0.467,5.997470769,6.845079057552462,5370.753
1006.618,0.158,12.83977148608137,0.467,5.996173284,6.843598202081369,5364.382
1012.989,0.159,12.836975505353319,0.467,5.994867561,6.842107944353318,5358.0109999999995
1019.36,0.16,12.834161884368308,0.467,5.9935536,6.840608284368307,5351.639999999999
1025.731,0.161,12.83133062312634,0.467,5.992231401000001,6.839099222126338,5345.269
1032.102,0.162,12.82848172162741,0.467,5.990900964000001,6.837580757627409,5338.898
1038.473,0.163,12.82561517987152,0.467,5.989562289,6.836052890871519,5332.527
1044.844,0.164,12.822730997858672,0.467,5.988215376,6.834515621858671,5326.156
1051.2150000000001,0.165,12.819829175588865,0.467,5.986860225,6.832968950588864,5319.785
1057.586,0.166,12.816909713062099,0.467,5.985496836,6.831412877062098,5313.414
1063.957,0.167,12.813972610278372,0.467,5.984125209,6.829847401278371,5307.043
1070.328,0.168,12.811017867237688,0.467,5.9827453440000005,6.828272523237686,5300.672
1076.699,0.169,12.808045483940043,0.467,5.981357241,6.826688242940042,5294.3009999999995
1083.0700000000002,0.17,12.805055460385438,0.467,5.9799609,6.825094560385438,5287.929999999999
1089.441,0.171,12.802047796573875,0.467,5.978556321,6.823491475573874,5281.558999999999
1095.8120000000001,0.17200000000000001,12.799022492505353,0.467,5.977143504,6.821878988505352,5275.188
1102.183,0.17300000000000001,12.79597954817987,0.467,5.975722449,6.820257099179869,5268.817
1108.554,0.17400000000000002,12.79291896359743,0.467,5.974293156,6.818625807597429,5262.446
1114.9250000000002,0.17500000000000002,12.78984073875803,0.467,5.972855625,6.8169851137580295,5256.075
1121.2959999999998,0.176,12.78674487366167,0.467,5.971409856,6.815335017661669,5249.704000000001
1127.667,0.177,12.783631368308352,0.467,5.969955849000001,6.813675519308351,5243.333
1134.038,0.178,12.780500222698072,0.467,5.968493604,6.812006618698071,5236.962
1140.4089999999999,0.179,12.777351436830836,0.467,5.967023121,6.8103283158308345,5230.590999999999
1146.78,0.18,12.774185010706638,0.467,5.965544400000001,6.808640610706637,5224.22
1153.151,0.181,12.771000944325483,0.467,5.9640574410000005,6.806943503325481,5217.848999999999
1159.522,0.182,12.767799237687365,0.467,5.962562244,6.805236993687364,5211.478
1165.893,0.183,12.764579890792291,0.467,5.961058809,6.80352108179229,5205.107
1172.264,0.184,12.761342903640257,0.467,5.959547136,6.801795767640256,5198.736000000001
1178.635,0.185,12.758088276231263,0.467,5.958027225,6.800061051231262,5192.365
1185.006,0.186,12.75481600856531,0.467,5.956499076,6.798316932565309,5185.994000000001
1191.377,0.187,12.751526100642398,0.467,5.954962689,6.7965634116423965,5179.623
1197.748,0.188,12.748218552462527,0.467,5.953418064,6.794800488462526,5173.252
1204.119,0.189,12.744893364025696,0.467,5.951865201,6.793028163025695,5166.880999999999
1210.49,0.19,12.741550535331905,0.467,5.9503041,6.791246435331905,5160.51
1216.861,0.191,12.738190066381156,0.467,5.948734761,6.789455305381155,5154.138999999999
1223.232,0.192,12.734811957173447,0.467,5.947157184,6.787654773173446,5147.768
1229.603,0.193,12.131525890858489,0.467,5.665422591030914,6.466103299827574,5141.397
1235.974,0.194,12.12843127882943,0.467,5.663977407213344,6.464453871616085,5135.026000000001
1242.345,0.195,12.125319971994113,0.467,5.662524426921251,6.462795545072861,5128.655
1248.7160000000001,0.196,12.122191959497181,0.467,5.661063645085184,6.461128314411996,5122.284000000001
1255.087,0.197,12.11904723042748,0.467,5.659595056609634,6.459452173817846,5115.913
1261.458,0.198,12.11588577381804,0.467,5.658118656373024,6.457767117445014,5109.542
1267.8290000000002,0.199,12.112707578646068,0.467,5.656634439227714,6.456073139418353,5103.170999999999
1274.2,0.2,12.109512633832976,0.467,5.6551424,6.454370233832975,5096.8
1280.5710000000001,0.201,12.106300928244355,0.467,5.653642533490114,6.45265839475424,5090.428999999999
1286.942,0.202,12.103072450689986,0.467,5.652134834472224,6.450937616217762,5084.058
1293.313,0.203,12.09982718992384,0.467,5.650619297694433,6.449207892229405,5077.687
1299.6840000000002,0.20400000000000001,12.096565134644075,0.467,5.649095917878784,6.447469216765291,5071.316000000001
1306.055,0.20500000000000002,12.09328627349304,0.467,5.64756468972125,6.44572158377179,5064.945
1312.4260000000002,0.20600000000000002,12.089990595057266,0.467,5.646025607891744,6.443964987165522,5058.5740000000005
1318.797,0.20700000000000002,12.086678087867481,0.467,5.6444786670341145,6.442199420833367,5052.2029999999995
1325.1680000000001,0.20800000000000002,12.083348740398595,0.467,5.642923861766144,6.4404248786324505,5045.832
