radius,electron_density_mol_cm3,neutron_density_mol_cm3
0.0216723,99.79757766272392,47.701373348558974
0.0220126,99.71947881670474,47.61510922410534
0.0223583,99.6391467861448,47.52434653238663
0.0227096,99.55658706794736,47.4325888967885
0.0230666,99.46951491175084,47.33875253171965
0.0234294,99.38251890883164,47.2415370364389
0.0237981,99.29102636655476,47.13877673015816
0.0241728,99.19733392390812,47.035059371685634
0.0245536,99.10144796936058,46.93039198402832
0.0249407,99.00109542601706,46.820222425361095
0.025334,98.89856725222212,46.7091263909204
0.0257338,98.7938704202143,46.593634643272
0.0261401,98.68473971838978,46.472691362452366
0.0265532,98.57345980172154,46.35085917643835
0.026973,98.45777111534952,46.22708183245581
0.0273997,98.33995381740608,46.0989704876869
0.0278335,98.21775430401875,45.96548272944548
0.0282745,98.09118926836965,45.83010637178253
0.0287228,97.96253162991589,45.69045265768503
0.0291785,97.82953742001162,45.54549025479173
0.0296418,97.69222476662134,45.39870072680367
0.0301129,97.55285858058828,45.24769526938968
0.0305918,97.40696234516906,45.09386359441356
0.0310788,97.25680536191152,44.93138341567041
0.0315739,97.10240801793148,44.76717764034981
0.0320773,96.94602349278738,44.60229530356145
0.0325893,96.783205048816,44.42783285941738
0.0331099,96.61398596615832,44.25070739527345
0.0336394,96.44284204789078,44.06955777931572
0.0341779,96.26535129276589,43.88238586336229
0.0347255,96.0815498791714,43.68924103457968
0.0352825,95.8936832323975,43.49117567574035
0.0358491,95.70177658696996,43.29163868000396
0.0364254,95.50365660679556,43.08625820194359
0.0370116,95.29936349661142,42.87508860075127
0.037608,95.08893865441496,42.65818575102404
0.0382148,94.8724246574862,42.432215061221285
0.0388321,94.64986524803258,42.20741124978829
0.0394601,94.42130531846462,41.973658725155786
0.0400992,94.18679089630874,41.734411159298986
0.0407495,93.94636912876447,41.48973166519679
0.0414113,93.69793076748762,41.2387351641033
0.0420849,93.44154271354228,40.98486466951175
0.0427703,93.17941939223287,40.71906500968757
0.043468,92.90947370951032,40.450552349540544
0.0441782,92.6339109287515,40.17698165222808
0.0449012,92.34853281747166,39.89658758374884
0.0456372,92.05555485267064,39.61039482327317
0.0463866,91.75505502551442,39.3151783490388
0.0471496,91.44711315107536,39.0143699130702
0.0479266,91.12971246969084,38.71048303721628
0.0487178,90.8050496042524,38.397906028138976
0.0495236,90.4711269245107,38.07588861781113
0.0503443,90.12805522486578,37.74786416342076
0.0511803,89.775948039788,37.41723585137291
0.052032,89.4149215812474,37.07758187225829
0.0528996,89.04304435937418,36.73147254923103
0.0537836,88.66250554140797,36.37666125858536
0.0546844,88.27342957401444,36.01978773008426
0.0555741,87.88403735316268,35.66424858892003
0.0564476,87.50039227053661,35.315712645727984
0.0573061,87.12042793404696,34.97328658660257
0.0581506,86.74610828005972,34.63770481870969
0.058982,86.37538576326396,34.30809222640397
0.0598012,86.00822797463564,33.98120928277123
0.0606088,85.64263087185044,33.662586553202175
0.0614057,85.28251513539641,33.35053398344377
0.0621924,84.92586910503624,33.03790983219935
0.0629694,84.57071454559208,32.733380635301984
0.0637375,84.2209236473893,32.43524361525314
0.0644971,83.87064829562796,32.13807866363638
0.0652485,83.5256761522284,31.84409733494536
0.0659924,83.18212292929906,31.55800583051939
0.0667291,82.84189027366972,31.27427122168021
0.067459,82.5030492422966,30.992152294850456
0.0681824,82.16748609764343,30.71542501107075
0.0688997,81.83328778283692,30.44333429640605
0.0696111,81.5004487467296,30.172786724452838
0.0703171,81.17083246672252,29.90751273620808
0.0710179,80.8425492700753,29.643736462046235
0.0717137,80.51559376533322,29.384481896922352
0.0724049,80.19180704618311,29.12736306818752
0.0730916,79.86932240821496,28.87169034167832
0.073774,79.54813461521836,28.62046103079487
0.0744525,79.22823845203978,28.37364119078751
0.0751272,78.9096287244981,28.128210651113505
0.0757983,78.59230025930012,27.88416262991464
0.076466,78.27624790395652,27.644458627625283
0.0771305,77.96326167647233,27.406736780797985
0.0777919,77.64973894712325,27.169722911455125
0.0784505,77.33747702318055,26.93698829506377
0.0791063,77.02824445487538,26.706182079556683
0.0797596,76.71848181899857,26.478986027953
0.0804105,76.40996486762702,26.25015835011501
0.0810592,76.10268859134476,26.02843578012224
0.0817058,75.79664800088086,25.805069022060906
0.0823503,75.49183812702819,25.58585360606449
0.0829931,75.18652276696612,25.367293930906182
0.0836341,74.88244220885619,25.14997800340477
0.0842735,74.57959145872803,24.93676002832589
0.0849115,74.27796554280863,24.72475556684185
0.0855481,73.9758561307942,24.51623639632677
0.0861835,73.67667193140474,24.306636822189773
0.0868177,73.37531860130929,24.09994723367656
0.087451,73.07688050870648,23.89499848774957
0.0880834,72.77798045368242,23.69067950603383
0.0887149,72.48030296374692,23.49033625200383
0.0893458,72.18218096307369,23.29061145148694
0.0899761,71.88528518143724,23.09204471901343
0.0906059,71.58796218249742,22.896872589731306
0.0912353,71.29186893406182,22.70007721891713
0.0918645,70.99700034978899,22.50718273174884
0.0924934,70.70172337828909,22.314899975639293
0.0931223,70.40605328762096,22.12323641495078
0.0937511,70.11161967038429,21.935428143373542
0.0943801,69.81680974576432,21.74822649020514
0.0950092,69.52163864388208,21.561638591234484
0.0956386,69.22771546466636,21.376163689947205
0.0962685,68.93344766259301,21.191308017121955
0.0968987,68.64043071126282,21.010239450560647
0.0975295,68.34708552573505,20.82977674215012
0.098161,68.05342698879129,20.649926572542228
0.0987932,67.75946994103771,20.47069553350427
0.0994263,67.46522917972278,20.292090127692987
0.10006,67.1722661383442,20.117210130000203
0.100695,66.87903530406575,19.94294142451035
0.101331,66.58555132004815,19.766679007987637
0.101969,66.29182878281046,19.5962626031604
0.102607,65.99788224109328,19.423864625640647
0.103247,65.70372619473264,19.25210221666941
0.103889,65.40937509354423,19.083554054104997
0.104532,65.11484333621858,18.91307060694203
0.105176,64.82014526922678,18.748346873175635
