 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   1.000e-02     1.04995e-04     8.82863e-04     8.84260e+00     7.18771e+00     1.73563e+01     2.16849e+00     5.06595e+07     1.57692e-05      2.03710e-01      3.17737e-01      8.71985e-02      9.82601e-01      2.39251e+00      1.42745e+00      2.01319e+00      2.20360e+00     2.00125e+00     3.62502e-01     6.20882e-01     9.42367e-06     8.74686e-06     2.51480e-06     4.25223e-03     9.04996e-08     6.34091e-03     3.71200e-04     1.61951e-05     1.98262e-03     3.66192e-05     7.05104e-04     6.21211e-05     7.77415e-04     7.13130e-06     3.87438e-04     5.15024e-06     8.02290e-05     4.10830e-06     6.68469e-05     4.21656e-08     3.25240e-06     3.97419e-07     1.89738e-05     1.38690e-05     1.38048e-03     3.73703e-06     7.95718e-05
   1.050e-02     1.21491e-04     1.02117e-03     8.86379e+00     7.18761e+00     1.73560e+01     2.16817e+00     5.06617e+07     1.73730e-05      2.24436e-01      3.49896e-01      9.61744e-02      1.08028e+00      2.62432e+00      1.56607e+00      2.20868e+00      2.41719e+00     2.00103e+00     3.62797e-01     6.20587e-01     9.44897e-06     8.74303e-06     2.51374e-06     4.25222e-03     9.05033e-08     6.34247e-03     3.69614e-04     1.61953e-05     1.98263e-03     3.66193e-05     7.05106e-04     6.21213e-05     7.77418e-04     7.13132e-06     3.87440e-04     5.15025e-06     8.02293e-05     4.10831e-06     6.68471e-05     4.21657e-08     3.25241e-06     3.97420e-07     1.89738e-05     1.38690e-05     1.38049e-03     3.73704e-06     7.95721e-05
   1.100e-02     1.39620e-04     1.17309e-03     8.88400e+00     7.18752e+00     1.73557e+01     2.16783e+00     5.06640e+07     1.90518e-05      2.46132e-01      3.83526e-01      1.05592e-01      1.18209e+00      2.86472e+00      1.70989e+00      2.41152e+00      2.63874e+00     2.00078e+00     3.63107e-01     6.20278e-01     9.47553e-06     8.73862e-06     2.51247e-06     4.25195e-03     9.05014e-08     6.34371e-03     3.67935e-04     1.61943e-05     1.98252e-03     3.66171e-05     7.05065e-04     6.21177e-05     7.77372e-04     7.13090e-06     3.87417e-04     5.14995e-06     8.02246e-05     4.10807e-06     6.68432e-05     4.21632e-08     3.25222e-06     3.97396e-07     1.89727e-05     1.38682e-05     1.38040e-03     3.73682e-06     7.95674e-05
   1.150e-02     1.59460e-04     1.33923e-03     8.90330e+00     7.18742e+00     1.73554e+01     2.16747e+00     5.06664e+07     2.08061e-05      2.68805e-01      4.18636e-01      1.15455e-01      1.28798e+00      3.11349e+00      1.85879e+00      2.62152e+00      2.86801e+00     2.00053e+00     3.63430e-01     6.19953e-01     9.50336e-06     8.73492e-06     2.51144e-06     4.25219e-03     9.05107e-08     6.34579e-03     3.66231e-04     1.61953e-05     1.98265e-03     3.66194e-05     7.05109e-04     6.21215e-05     7.77420e-04     7.13135e-06     3.87441e-04     5.15027e-06     8.02296e-05     4.10832e-06     6.68473e-05     4.21659e-08     3.25242e-06     3.97421e-07     1.89739e-05     1.38691e-05     1.38049e-03     3.73705e-06     7.95723e-05
   1.200e-02     1.81080e-04     1.52012e-03     8.92179e+00     7.18731e+00     1.73551e+01     2.16709e+00     5.06689e+07     2.26350e-05      2.92443e-01      4.55199e-01      1.25764e-01      1.39785e+00      3.37019e+00      2.01251e+00      2.83831e+00      3.10462e+00     2.00026e+00     3.63768e-01     6.19616e-01     9.53247e-06     8.73045e-06     2.51016e-06     4.25207e-03     9.05125e-08     6.34739e-03     3.64429e-04     1.61949e-05     1.98259e-03     3.66186e-05     7.05094e-04     6.21201e-05     7.77403e-04     7.13119e-06     3.87432e-04     5.15015e-06     8.02277e-05     4.10823e-06     6.68458e-05     4.21649e-08     3.25234e-06     3.97412e-07     1.89735e-05     1.38687e-05     1.38046e-03     3.73697e-06     7.95705e-05
   1.250e-02     2.04565e-04     1.71648e-03     8.93952e+00     7.18720e+00     1.73547e+01     2.16671e+00     5.06715e+07     2.45389e-05      3.17051e-01      4.93219e-01      1.36522e-01      1.51164e+00      3.63455e+00      2.17092e+00      3.06173e+00      3.34834e+00     1.99998e+00     3.64120e-01     6.19265e-01     9.56286e-06     8.72572e-06     2.50882e-06     4.25195e-03     9.05144e-08     6.34905e-03     3.62560e-04     1.61946e-05     1.98255e-03     3.66178e-05     7.05078e-04     6.21188e-05     7.77386e-04     7.13103e-06     3.87424e-04     5.15004e-06     8.02260e-05     4.10814e-06     6.68443e-05     4.21640e-08     3.25227e-06     3.97403e-07     1.89730e-05     1.38684e-05     1.38042e-03     3.73688e-06     7.95688e-05
   1.300e-02     2.29979e-04     1.92881e-03     8.95655e+00     7.18708e+00     1.73544e+01     2.16630e+00     5.06742e+07     2.65161e-05      3.42608e-01      5.32660e-01      1.47723e-01      1.62920e+00      3.90602e+00      2.33369e+00      3.29129e+00      3.59863e+00     1.99969e+00     3.64486e-01     6.18899e-01     9.59454e-06     8.72052e-06     2.50735e-06     4.25167e-03     9.05131e-08     6.35055e-03     3.60613e-04     1.61936e-05     1.98243e-03     3.66156e-05     7.05036e-04     6.21150e-05     7.77339e-04     7.13060e-06     3.87400e-04     5.14973e-06     8.02211e-05     4.10789e-06     6.68403e-05     4.21614e-08     3.25208e-06     3.97379e-07     1.89719e-05     1.38676e-05     1.38034e-03     3.73666e-06     7.95640e-05
   1.350e-02     2.57397e-04     2.15768e-03     8.97293e+00     7.18696e+00     1.73540e+01     2.16588e+00     5.06769e+07     2.85671e-05      3.69119e-01      5.73521e-01      1.59375e-01      1.75047e+00      4.18433e+00      2.50066e+00      3.52677e+00      3.85528e+00     1.99940e+00     3.64865e-01     6.18519e-01     9.62750e-06     8.71634e-06     2.50616e-06     4.25197e-03     9.05244e-08     6.35296e-03     3.58651e-04     1.61948e-05     1.98259e-03     3.66184e-05     7.05090e-04     6.21198e-05     7.77399e-04     7.13115e-06     3.87430e-04     5.15013e-06     8.02273e-05     4.10821e-06     6.68455e-05     4.21647e-08     3.25233e-06     3.97410e-07     1.89734e-05     1.38687e-05     1.38044e-03     3.73695e-06     7.95701e-05
   1.400e-02     2.86897e-04     2.40374e-03     8.98873e+00     7.18684e+00     1.73536e+01     2.16545e+00     5.06798e+07     3.06925e-05      3.96591e-01      6.15812e-01      1.71482e-01      1.87543e+00      4.46923e+00      2.67171e+00      3.76801e+00      4.11806e+00     1.99909e+00     3.65259e-01     6.18126e-01     9.66177e-06     8.71077e-06     2.50458e-06     4.25169e-03     9.05236e-08     6.35458e-03     3.56575e-04     1.61939e-05     1.98247e-03     3.66162e-05     7.05049e-04     6.21160e-05     7.77352e-04     7.13072e-06     3.87407e-04     5.14981e-06     8.02225e-05     4.10796e-06     6.68414e-05     4.21621e-08     3.25213e-06     3.97386e-07     1.89722e-05     1.38678e-05     1.38036e-03     3.73672e-06     7.95653e-05
   1.450e-02     3.18544e-04     2.66746e-03     9.00397e+00     7.18671e+00     1.73532e+01     2.16500e+00     5.06827e+07     3.28898e-05      4.24993e-01      6.59476e-01      1.84035e-01      2.00383e+00      4.76001e+00      2.84642e+00      4.01441e+00      4.38631e+00     1.99878e+00     3.65666e-01     6.17719e-01     9.69734e-06     8.70558e-06     2.50312e-06     4.25169e-03     9.05288e-08     6.35667e-03     3.54462e-04     1.61940e-05     1.98249e-03     3.66164e-05     7.05054e-04     6.21165e-05     7.77357e-04     7.13077e-06     3.87409e-04     5.14985e-06     8.02230e-05     4.10799e-06     6.68419e-05     4.21624e-08     3.25215e-06     3.97389e-07     1.89723e-05     1.38679e-05     1.38036e-03     3.73675e-06     7.95658e-05
