 #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
   1.000e-02     1.04644e-04     8.77924e-04     8.84261e+00     7.18679e+00     1.73555e+01     2.16705e+00     5.06939e+07     1.57174e-05      2.03900e-01      3.17558e-01      8.77961e-02      9.83962e-01      2.39433e+00      1.41345e+00      2.00626e+00      2.19828e+00     2.00086e+00     3.65734e-01     6.18325e-01     9.68401e-06     8.28883e-06     2.38327e-06     4.04646e-03     8.61560e-08     6.39042e-03     3.60836e-04     1.63504e-05     1.47891e-03     3.68369e-05     7.09297e-04     6.24909e-05     7.82037e-04     7.17364e-06     3.89744e-04     5.18084e-06     8.45096e-05     4.13281e-06     6.72440e-05     4.34048e-08     3.34799e-06     3.99776e-07     1.95305e-05     1.42769e-05     1.35707e-03     3.75935e-06     8.00453e-05
   1.050e-02     1.21085e-04     1.01546e-03     8.86379e+00     7.18669e+00     1.73552e+01     2.16672e+00     5.06960e+07     1.73149e-05      2.24628e-01      3.49674e-01      9.68244e-02      1.08170e+00      2.62611e+00      1.55061e+00      2.20097e+00      2.41121e+00     2.00062e+00     3.66028e-01     6.18031e-01     9.70966e-06     8.28529e-06     2.38227e-06     4.04647e-03     8.61598e-08     6.39196e-03     3.59297e-04     1.63505e-05     1.47892e-03     3.68372e-05     7.09302e-04     6.24913e-05     7.82042e-04     7.17369e-06     3.89746e-04     5.18087e-06     8.45101e-05     4.13284e-06     6.72445e-05     4.34051e-08     3.34802e-06     3.99779e-07     1.95306e-05     1.42770e-05     1.35708e-03     3.75937e-06     8.00458e-05
   1.100e-02     1.39155e-04     1.16653e-03     8.88400e+00     7.18660e+00     1.73549e+01     2.16639e+00     5.06982e+07     1.89891e-05      2.46352e-01      3.83299e-01      1.06307e-01      1.18367e+00      2.86678e+00      1.69312e+00      2.40324e+00      2.63234e+00     2.00038e+00     3.66335e-01     6.17724e-01     9.73661e-06     8.28161e-06     2.38123e-06     4.04649e-03     8.61640e-08     6.39360e-03     3.57691e-04     1.63507e-05     1.47894e-03     3.68376e-05     7.09311e-04     6.24920e-05     7.82051e-04     7.17377e-06     3.89751e-04     5.18093e-06     8.45111e-05     4.13289e-06     6.72452e-05     4.34056e-08     3.34805e-06     3.99783e-07     1.95308e-05     1.42771e-05     1.35709e-03     3.75941e-06     8.00467e-05
   1.150e-02     1.58929e-04     1.33174e-03     8.90330e+00     7.18649e+00     1.73546e+01     2.16602e+00     5.07006e+07     2.07370e-05      2.69033e-01      4.18368e-01      1.16229e-01      1.28965e+00      3.11558e+00      1.84052e+00      2.61247e+00      2.86098e+00     2.00012e+00     3.66658e-01     6.17402e-01     9.76484e-06     8.27768e-06     2.38011e-06     4.04645e-03     8.61671e-08     6.39520e-03     3.56013e-04     1.63506e-05     1.47894e-03     3.68374e-05     7.09307e-04     6.24917e-05     7.82047e-04     7.17373e-06     3.89749e-04     5.18090e-06     8.45107e-05     4.13287e-06     6.72449e-05     4.34053e-08     3.34804e-06     3.99781e-07     1.95307e-05     1.42771e-05     1.35708e-03     3.75939e-06     8.00463e-05
   1.200e-02     1.80479e-04     1.51166e-03     8.92179e+00     7.18639e+00     1.73542e+01     2.16566e+00     5.07031e+07     2.25606e-05      2.92697e-01      4.54919e-01      1.26607e-01      1.39969e+00      3.37251e+00      1.99282e+00      2.82865e+00      3.09713e+00     1.99987e+00     3.66994e-01     6.17065e-01     9.79437e-06     8.27374e-06     2.37899e-06     4.04650e-03     8.61723e-08     6.39700e-03     3.54277e-04     1.63509e-05     1.47896e-03     3.68381e-05     7.09321e-04     6.24929e-05     7.82061e-04     7.17387e-06     3.89756e-04     5.18100e-06     8.45123e-05     4.13294e-06     6.72461e-05     4.34061e-08     3.34810e-06     3.99789e-07     1.95311e-05     1.42773e-05     1.35710e-03     3.75947e-06     8.00478e-05
   1.250e-02     2.03882e-04     1.70690e-03     8.93952e+00     7.18627e+00     1.73539e+01     2.16527e+00     5.07056e+07     2.44575e-05      3.17311e-01      4.92895e-01      1.37427e-01      1.51355e+00      3.63688e+00      2.14965e+00      3.05124e+00      3.34016e+00     1.99959e+00     3.67344e-01     6.16715e-01     9.82518e-06     8.26952e-06     2.37780e-06     4.04650e-03     8.61766e-08     6.39880e-03     3.52472e-04     1.63510e-05     1.47897e-03     3.68383e-05     7.09325e-04     6.24932e-05     7.82066e-04     7.17391e-06     3.89758e-04     5.18103e-06     8.45127e-05     4.13297e-06     6.72465e-05     4.34064e-08     3.34812e-06     3.99791e-07     1.95312e-05     1.42774e-05     1.35711e-03     3.75949e-06     8.00483e-05
   1.300e-02     2.29211e-04     1.91804e-03     8.95655e+00     7.18617e+00     1.73535e+01     2.16487e+00     5.07081e+07     2.64295e-05      3.42900e-01      5.32328e-01      1.48704e-01      1.63130e+00      3.90863e+00      2.31096e+00      3.28021e+00      3.59003e+00     1.99930e+00     3.67708e-01     6.16352e-01     9.85732e-06     8.26456e-06     2.37640e-06     4.04623e-03     8.61752e-08     6.40022e-03     3.50580e-04     1.63500e-05     1.47889e-03     3.68361e-05     7.09283e-04     6.24894e-05     7.82018e-04     7.17347e-06     3.89735e-04     5.18072e-06     8.45076e-05     4.13272e-06     6.72424e-05     4.34038e-08     3.34792e-06     3.99767e-07     1.95300e-05     1.42766e-05     1.35702e-03     3.75926e-06     8.00434e-05
   1.350e-02     2.56540e-04     2.14567e-03     8.97294e+00     7.18604e+00     1.73531e+01     2.16445e+00     5.07109e+07     2.84737e-05      3.69424e-01      5.73153e-01      1.60425e-01      1.75269e+00      4.18703e+00      2.47632e+00      3.51494e+00      3.84605e+00     1.99901e+00     3.68085e-01     6.15975e-01     9.89075e-06     8.26007e-06     2.37513e-06     4.04626e-03     8.61806e-08     6.40219e-03     3.48651e-04     1.63503e-05     1.47890e-03     3.68365e-05     7.09292e-04     6.24902e-05     7.82028e-04     7.17356e-06     3.89740e-04     5.18078e-06     8.45087e-05     4.13277e-06     6.72433e-05     4.34043e-08     3.34796e-06     3.99772e-07     1.95302e-05     1.42767e-05     1.35704e-03     3.75931e-06     8.00444e-05
   1.400e-02     2.85945e-04     2.39040e-03     8.98874e+00     7.18592e+00     1.73528e+01     2.16402e+00     5.07137e+07     3.05918e-05      3.96908e-01      6.15403e-01      1.72602e-01      1.87774e+00      4.47197e+00      2.64571e+00      3.75535e+00      4.10816e+00     1.99870e+00     3.68477e-01     6.15583e-01     9.92552e-06     8.25528e-06     2.37378e-06     4.04623e-03     8.61847e-08     6.40411e-03     3.46655e-04     1.63502e-05     1.47890e-03     3.68365e-05     7.09291e-04     6.24902e-05     7.82027e-04     7.17355e-06     3.89739e-04     5.18078e-06     8.45086e-05     4.13276e-06     6.72432e-05     4.34043e-08     3.34795e-06     3.99771e-07     1.95302e-05     1.42767e-05     1.35703e-03     3.75930e-06     8.00443e-05
   1.450e-02     3.17488e-04     2.65267e-03     9.00398e+00     7.18579e+00     1.73524e+01     2.16357e+00     5.07166e+07     3.27820e-05      4.25326e-01      6.59031e-01      1.85229e-01      2.00627e+00      4.76285e+00      2.81877e+00      4.00099e+00      4.37579e+00     1.99838e+00     3.68882e-01     6.15179e-01     9.96159e-06     8.24996e-06     2.37225e-06     4.04597e-03     8.61841e-08     6.40574e-03     3.44580e-04     1.63493e-05     1.47882e-03     3.68344e-05     7.09251e-04     6.24865e-05     7.81982e-04     7.17314e-06     3.89717e-04     5.18048e-06     8.45037e-05     4.13252e-06     6.72393e-05     4.34017e-08     3.34776e-06     3.99748e-07     1.95291e-05     1.42759e-05     1.35695e-03     3.75908e-06     8.00397e-05
   1.500e-02     3.51255e-04     2.93318e-03     9.01870e+00     7.18566e+00     1.73519e+01     2.16311e+00     5.07196e+07     3.50447e-05      4.54683e-01      7.04037e-01      1.98312e-01      2.13822e+00      5.05936e+00      2.99531e+00      4.25161e+00      4.64868e+00     1.99806e+00     3.69302e-01     6.14760e-01     9.99897e-06     8.24425e-06     2.37065e-06     4.04568e-03     8.61830e-08     6.40736e-03     3.42443e-04     1.63482e-05     1.47872e-03     3.68319e-05     7.09203e-04     6.24824e-05     7.81930e-04     7.17266e-06     3.89690e-04     5.18013e-06     8.44980e-05     4.13225e-06     6.72348e-05     4.33988e-08     3.34754e-06     3.99722e-07     1.95278e-05     1.42749e-05     1.35685e-03     3.75883e-06     8.00343e-05
   1.550e-02     3.87309e-04     3.23243e-03     9.03294e+00     7.18552e+00     1.73516e+01     2.16263e+00     5.07227e+07     3.73782e-05      4.84958e-01      7.50383e-01      2.11843e-01      2.27342e+00      5.36091e+00      3.17505e+00      4.50672e+00      4.92629e+00     1.99772e+00     3.69734e-01     6.14327e-01     1.00377e-05     8.23958e-06     2.36933e-06     4.04595e-03     8.61941e-08     6.40994e-03     3.40296e-04     1.63495e-05     1.47884e-03     3.68347e-05     7.09256e-04     6.24871e-05     7.81988e-04     7.17320e-06     3.89720e-04     5.18052e-06     8.45044e-05     4.13256e-06     6.72399e-05     4.34021e-08     3.34779e-06     3.99752e-07     1.95293e-05     1.42760e-05     1.35696e-03     3.75911e-06     8.00403e-05
   1.600e-02     4.25718e-04     3.55089e-03     9.04672e+00     7.18538e+00     1.73511e+01     2.16214e+00     5.07259e+07     3.97832e-05      5.16156e-01      7.98081e-01      2.25831e-01      2.41182e+00      5.66725e+00      3.35780e+00      4.76613e+00      5.20841e+00     1.99737e+00     3.70180e-01     6.13882e-01     1.00779e-05     8.23376e-06     2.36767e-06     4.04571e-03     8.61945e-08     6.41176e-03     3.38051e-04     1.63486e-05     1.47876e-03     3.68327e-05     7.09219e-04     6.24837e-05     7.81946e-04     7.17281e-06     3.89699e-04     5.18024e-06     8.44998e-05     4.13234e-06     6.72363e-05     4.33998e-08     3.34761e-06     3.99730e-07     1.95282e-05     1.42752e-05     1.35688e-03     3.75891e-06     8.00360e-05
   1.650e-02     4.66560e-04     3.88920e-03     9.06009e+00     7.18523e+00     1.73506e+01     2.16163e+00     5.07291e+07     4.22595e-05      5.48278e-01      8.47111e-01      2.40278e-01      2.55333e+00      5.97796e+00      3.54336e+00      5.02951e+00      5.49465e+00     1.99701e+00     3.70640e-01     6.13423e-01     1.01192e-05     8.22774e-06     2.36594e-06     4.04545e-03     8.61945e-08     6.41360e-03     3.35749e-04     1.63476e-05     1.47867e-03     3.68305e-05     7.09178e-04     6.24800e-05     7.81900e-04     7.17239e-06     3.89676e-04     5.17994e-06     8.44949e-05     4.13209e-06     6.72323e-05     4.33972e-08     3.34741e-06     3.99707e-07     1.95271e-05     1.42744e-05     1.35680e-03     3.75869e-06     8.00313e-05
