reco_energy	reco_coszen	pid	pdg	true_energy	true_coszen	weight	type	interaction	MaCCQE_linear	MaCCQE_quad	MaCCRES_linear	MaCCRES_quad	Q2	W	x	y
42.8	-0.065	0.650	12	44.22375905	-0.59121450	0.0025415896365615	1	2	0.00000000	0.00000000	0.00000000	0.00000000	5.24054831	8.86012095	0.06324526	0.99778071
42.8	-0.615	0.875	12	73.83089575	-0.38870035	0.0116905093077459	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.97331455	7.70010641	0.10665270	0.47159729
17.8	-0.835	0.650	12	30.71774018	-0.65057089	0.0008565580701955	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.51773495	3.73433475	0.03812082	0.23544965
17.8	-0.065	0.650	12	71.88410663	0.20327017	0.0107887543251319	1	2	0.00000000	0.00000000	0.00000000	0.00000000	16.48063637	8.72680126	0.17961347	0.67974221
23.8	-0.395	0.650	12	33.69946999	-0.30302466	0.0011287147496792	1	2	0.00000000	0.00000000	0.00000000	0.00000000	13.88662921	5.45463496	0.32477187	0.67567430
13.3	-0.835	0.650	12	29.81335595	-0.99634175	0.0007813380652971	1	2	0.00000000	0.00000000	0.00000000	0.00000000	10.25030609	5.47828432	0.26028995	0.70341334
23.8	-0.065	0.650	12	20.62069599	-0.28372759	0.0002637330664180	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.96448852	1.98463129	0.23982220	0.10385954
13.3	-0.505	0.650	12	14.14305452	-0.97002388	0.0000856431642031	1	1	0.00000000	0.00000000	0.18940444	-0.01745023	0.28969732	1.24778312	0.30017592	0.03633854
23.8	-0.725	0.650	12	30.13292750	-0.99144383	0.0008068710344349	1	2	0.00000000	0.00000000	0.00000000	0.00000000	9.34176153	5.57848759	0.23602396	0.69947693
9.9	-0.065	0.650	12	14.56603785	-0.17523991	0.0000928807065510	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.19652312	1.78281278	0.07881807	0.09115667
32.0	-0.175	0.650	12	52.34817751	0.48631467	0.0041874026917818	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.32407632	5.15842824	0.04894580	0.27519344
9.9	-0.835	0.650	12	19.01508291	0.37307627	0.0002069041617230	1	2	0.00000000	0.00000000	0.00000000	0.00000000	4.93027627	3.60463306	0.28930002	0.47727272
7.4	-0.285	0.650	12	16.57710234	-0.30693064	0.0001361276308169	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.89715611	4.09748008	0.30244144	0.73259201
77.0	0.045	0.650	12	59.68692177	0.69524352	0.0061885669666509	1	2	0.00000000	0.00000000	0.00000000	0.00000000	24.48482711	4.81872359	0.52291910	0.41775860
32.0	-0.505	0.650	12	31.89580186	-0.99893084	0.0009624604012216	1	2	0.00000000	0.00000000	0.00000000	0.00000000	9.96270092	3.28399789	0.50150075	0.33167598
17.8	-0.725	0.650	12	22.57322499	0.09299720	0.0003404723032704	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.41938673	6.02874436	0.15326739	0.98808019
23.8	-0.725	0.875	12	36.23135863	-0.48922509	0.0014051058234441	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.10344460	2.48110430	0.01923565	0.07904209
57.4	-0.285	0.875	12	90.09216721	-0.99476092	0.0211628081723275	1	2	0.00000000	0.00000000	0.00000000	0.00000000	86.66931728	6.43168092	0.68160761	0.75159858
42.8	-0.395	0.650	12	41.87166215	-0.72185727	0.0021614069947104	1	2	0.00000000	0.00000000	0.00000000	0.00000000	12.39891085	7.94297486	0.16618699	0.94887358
23.8	-0.065	0.650	12	53.45971404	0.51194077	0.0044486819797524	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.22677861	2.77333097	0.24641843	0.09001591
42.8	-0.065	0.650	12	63.47257231	-0.57631459	0.0074572623251819	1	2	0.00000000	0.00000000	0.00000000	0.00000000	8.42449299	10.14100119	0.07632068	0.92609910
77.0	-0.835	0.650	12	87.41584490	-0.66659869	0.0193486999148198	1	2	0.00000000	0.00000000	0.00000000	0.00000000	18.34075393	6.81369284	0.28708747	0.38918387
13.3	-0.505	0.650	12	15.17347594	-0.92163709	0.0001052083334730	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.09802100	1.82682088	0.30897728	0.12472142
17.8	-0.505	0.650	12	26.38779751	-0.18786462	0.0005453968845139	1	2	0.00000000	0.00000000	0.00000000	0.00000000	12.22330524	3.51399799	0.51597075	0.47808208
77.0	-0.395	0.650	12	80.38079253	-0.79386358	0.0150185113954025	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.07242936	5.73172937	0.00226034	0.21229063
17.8	-0.505	0.650	12	20.07365440	-0.88391456	0.0002421933713492	1	1	0.00000000	0.00000000	0.06996703	-0.01800687	0.05210510	1.62190562	0.02892936	0.04778119
23.8	0.045	0.650	12	32.04071296	-0.16262470	0.0009712256936094	1	2	0.00000000	0.00000000	0.00000000	0.00000000	9.90025538	7.04387300	0.16884597	0.97453079
42.8	-0.285	0.650	12	48.95475180	0.22020463	0.0034339528429433	1	2	0.00000000	0.00000000	0.00000000	0.00000000	31.71180938	5.67367647	0.50319555	0.68553781
42.8	-0.725	0.650	12	45.61203339	-0.26496150	0.0027829138773578	1	2	0.00000000	0.00000000	0.00000000	0.00000000	7.91611038	1.63437147	0.81561355	0.11331568
23.8	-0.945	0.875	12	39.49341642	-0.89583917	0.0018036593300866	1	2	0.00000000	0.00000000	0.00000000	0.00000000	8.62610233	7.63653457	0.13057745	0.89076625
9.9	-0.615	0.650	12	15.63418046	-0.84119400	0.0001163870630783	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.29828534	4.54714210	0.10402673	0.75253361
13.3	-0.725	0.650	12	13.15396605	-0.53856043	0.0000690829074755	1	2	0.00000000	0.00000000	0.00000000	0.00000000	5.04904572	3.84182714	0.26676259	0.76624861
9.9	-0.835	0.650	12	15.66765222	-0.98571661	0.0001168859507987	1	2	0.00000000	0.00000000	0.00000000	0.00000000	9.39142939	4.26154272	0.35212656	0.90650671
123.3	-0.285	0.650	12	201.63923418	0.17717731	0.2586071205876067	1	2	0.00000000	0.00000000	0.00000000	0.00000000	91.36711520	11.86673508	0.39500718	0.61087440
57.4	-0.175	0.875	12	152.76318422	0.69648987	0.1068471331221376	1	2	0.00000000	0.00000000	0.00000000	0.00000000	10.67663841	11.05873026	0.08082816	0.46046349
42.8	-0.395	0.875	12	169.49788909	-0.76879424	0.1572099480779703	1	2	0.00000000	0.00000000	0.00000000	0.00000000	40.65948508	6.60672883	0.48736729	0.26210979
7.4	-0.835	0.650	12	2.45582255	-0.55709403	0.0000005064067361	1	1	0.00000000	0.00000000	0.15298550	-0.00959177	0.43726730	1.74068859	0.16911011	0.56068959
7.4	-0.835	0.650	12	10.05539284	-0.48053949	0.0000299667035075	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.88420399	3.90858001	0.11573995	0.86215950
7.4	-0.725	0.650	12	10.23313292	-0.25820685	0.0000315018648022	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.85395007	4.25589267	0.04721868	0.94113525
17.8	0.045	0.875	12	11.32978481	-0.35908688	0.0000426186859944	1	1	0.00000000	0.00000000	0.23725363	-0.00099657	0.49018947	1.21545402	0.45139242	0.05104228
7.4	-0.835	0.650	12	11.29539187	-0.48785902	0.0000422183784412	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.57128252	2.69624375	0.28699128	0.42239797
17.8	-0.395	0.650	12	10.62851782	-0.70695867	0.0000352414705745	1	1	0.00000000	0.00000000	0.27159526	0.01210353	0.64132414	1.33821851	0.41360149	0.07768995
42.8	-0.395	0.650	12	35.84507367	-0.52845047	0.0013507402380908	1	2	0.00000000	0.00000000	0.00000000	0.00000000	4.65525932	3.47748284	0.29340034	0.23571967
42.8	-0.395	0.650	12	32.35056821	-0.42483894	0.0010001150278118	1	2	0.00000000	0.00000000	0.00000000	0.00000000	7.87603691	6.39826039	0.16431618	0.78901913
9.9	-0.615	0.875	12	29.86049633	-0.11249735	0.0007838108961951	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.08101125	4.48588101	0.13802224	0.39809731
17.8	-0.065	0.650	12	15.11076960	0.47338134	0.0001043405563466	1	0	0.11909264	-0.00334860	0.00000000	0.00000000	0.17990205	0.89002923	1.98817867	0.00318887
23.8	-0.065	0.650	12	22.37411793	-0.53014318	0.0003344925224692	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.81870088	3.96640536	0.15952349	0.42055275
9.9	-0.395	0.650	12	14.72942424	-0.14002176	0.0000970585761775	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.13558845	4.02265240	0.28623154	0.77498804
13.3	-0.615	0.650	12	25.37617329	0.58251500	0.0004858627760835	1	2	0.00000000	0.00000000	0.00000000	0.00000000	10.23383667	3.44727250	0.48191080	0.44564365
42.8	-0.395	0.650	12	45.54312131	0.70052203	0.0027745112038728	1	2	0.00000000	0.00000000	0.00000000	0.00000000	12.97372111	5.51889216	0.30490300	0.49753325
17.8	-0.505	0.875	12	25.35839652	-0.68511131	0.0004851822914583	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.26786769	5.83832192	0.15879154	0.82892017
9.9	-0.835	0.650	12	13.74153443	-0.26105426	0.0000790329327168	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.79244179	3.69115174	0.34769781	0.75706083
13.3	-0.615	0.650	12	15.53345570	-0.25770577	0.0001125755733749	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.09717509	4.11005759	0.00603265	0.55223056
42.8	-0.175	0.650	12	54.53404421	-0.03870551	0.0047423991342766	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.88398819	5.23314717	0.20617997	0.32603782
32.0	-0.835	0.650	12	46.44352903	-0.77360308	0.0029263739869117	1	2	0.00000000	0.00000000	0.00000000	0.00000000	5.72037258	5.60712038	0.15767896	0.41597515
9.9	-0.285	0.650	12	22.19609986	0.03666510	0.0003244661571541	1	2	0.00000000	0.00000000	0.00000000	0.00000000	11.24307031	4.95252283	0.32225273	0.83705442
42.8	-0.395	0.875	12	73.46511845	0.15070341	0.0115238920939834	1	2	0.00000000	0.00000000	0.00000000	0.00000000	13.15771272	8.47190701	0.15654746	0.60924957
77.0	-0.615	0.650	12	46.90719529	-0.90572858	0.0030269926268019	1	2	0.00000000	0.00000000	0.00000000	0.00000000	9.11625023	8.04638111	0.12491619	0.82851442
17.8	-0.065	0.650	12	13.26903105	-0.30804779	0.0000702968063116	1	2	0.00000000	0.00000000	0.00000000	0.00000000	7.87108575	3.18944114	0.45863313	0.68876655
23.8	-0.615	0.650	12	48.54573529	-0.92486827	0.0033543682713590	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.51059074	9.15137198	0.00612391	0.91460864
9.9	-0.065	0.650	12	12.04937491	-0.63733903	0.0000537798136036	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.04934326	1.99895649	0.01559718	0.13981681
17.8	0.045	0.650	12	18.50024771	0.16268588	0.0001892735086166	1	0	0.34903365	0.09171209	0.00000000	0.00000000	1.14627348	1.16546491	0.70626236	0.04671826
23.8	-0.725	0.650	12	25.04253059	-0.39968441	0.0004671578834438	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.96183728	4.47075990	0.13421435	0.46927355
57.4	-0.395	0.650	12	84.97839577	0.28383492	0.0177404424223930	1	2	0.00000000	0.00000000	0.00000000	0.00000000	14.44408646	9.05327570	0.15120847	0.59861482
42.8	-0.505	0.650	12	48.25670446	-0.66966962	0.0032923683304349	1	2	0.00000000	0.00000000	0.00000000	0.00000000	5.93877869	4.59923289	0.22658313	0.28923706
17.8	-0.175	0.650	12	37.88068695	-0.48737030	0.0016045112882790	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.52185098	7.28812232	0.11099699	0.82600729
42.8	-0.615	0.650	12	37.47654891	-0.28404726	0.0015436148411295	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.38127040	3.05601288	0.21969634	0.15401688
17.8	-0.945	0.875	12	25.30167352	-0.85895268	0.0004830141562390	1	2	0.00000000	0.00000000	0.00000000	0.00000000	13.34126595	3.56519999	0.53003898	0.52976349
23.8	-0.725	0.650	12	29.72985592	-0.86713230	0.0007769675148063	1	2	0.00000000	0.00000000	0.00000000	0.00000000	13.03950246	4.73290594	0.37731862	0.61901620
32.0	0.045	0.650	12	47.47717196	0.26463509	0.0031224647663660	1	2	0.00000000	0.00000000	0.00000000	0.00000000	5.17789318	6.28372337	0.11826668	0.49107506
42.8	-0.285	0.650	12	47.29648221	0.57904348	0.0030987428916262	1	2	0.00000000	0.00000000	0.00000000	0.00000000	14.99657120	5.44789883	0.34242965	0.49309864
57.4	-0.285	0.650	12	69.59976619	-0.22069726	0.0097930046742242	1	2	0.00000000	0.00000000	0.00000000	0.00000000	29.13588253	9.13850814	0.26068495	0.85515822
42.8	-0.505	0.650	12	26.33117902	-0.17709234	0.0005430589537323	1	2	0.00000000	0.00000000	0.00000000	0.00000000	7.38136635	3.74858293	0.35916135	0.41564149
9.9	-0.285	0.650	12	17.16809146	0.13987705	0.0001516690972849	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.22342314	4.51318294	0.14193427	0.70444982
17.8	-0.725	0.875	12	22.27649156	0.23063848	0.0003315798671499	1	0	0.27064271	0.05070445	0.00000000	0.00000000	0.72246877	0.94200298	0.99203403	0.01740956
23.8	-0.835	0.650	12	24.72578687	-0.45321136	0.0004495528373995	1	2	0.00000000	0.00000000	0.00000000	0.00000000	11.61795893	4.38147278	0.38812312	0.64469194
32.0	-0.285	0.875	12	44.15535008	0.38319771	0.0025151583031166	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.19888550	3.31293459	0.01932268	0.12413506
