radius,temperature_MK,density_log_10,shell_mass_solar,be7_mass_fraction,pp fraction,8B fraction,13N fraction,15O fraction,17F fraction,7Be fraction,pep fraction,hep fraction
0.01227,15.663,2.009,8.949e-06,1.709e-11,5.56e-05,0.0006657,0.0005342,0.0006077,0.0006271,0.0002733,8.716e-05,2.296e-05
0.01246,15.662,2.008,9.348e-06,1.707e-11,5.808e-05,0.0006939,0.0005567,0.0006334,0.0006537,0.0002852,9.103e-05,2.4e-05
0.01264,15.66,2.008,9.763e-06,1.706e-11,6.067e-05,0.0007233,0.0005802,0.0006601,0.0006813,0.0002976,9.507e-05,2.508e-05
0.01283,15.658,2.008,1.02e-05,1.705e-11,6.337e-05,0.0007538,0.0006046,0.0006878,0.00071,0.0003105,9.927e-05,2.621e-05
0.01303,15.657,2.008,1.065e-05,1.704e-11,6.618e-05,0.0007854,0.0006298,0.0007166,0.0007398,0.0003239,0.0001036,2.739e-05
0.01322,15.655,2.008,1.112e-05,1.702e-11,6.91e-05,0.0008183,0.000656,0.0007464,0.0007707,0.0003378,0.0001082,2.862e-05
0.01342,15.653,2.008,1.161e-05,1.701e-11,7.215e-05,0.0008523,0.0006832,0.0007773,0.0008027,0.0003523,0.0001129,2.99e-05
0.01362,15.651,2.008,1.211e-05,1.699e-11,7.533e-05,0.0008877,0.0007114,0.0008094,0.0008359,0.0003674,0.0001179,3.124e-05
0.01383,15.649,2.008,1.265e-05,1.698e-11,7.863e-05,0.0009243,0.0007406,0.0008426,0.0008704,0.000383,0.000123,3.263e-05
0.01403,15.647,2.007,1.32e-05,1.696e-11,8.208e-05,0.0009623,0.0007709,0.000877,0.000906,0.0003993,0.0001284,3.408e-05
0.01424,15.645,2.007,1.377e-05,1.695e-11,8.566e-05,0.001002,0.0008022,0.0009127,0.000943,0.0004162,0.0001339,3.56e-05
0.01445,15.643,2.007,1.437e-05,1.693e-11,8.939e-05,0.001042,0.0008347,0.0009496,0.0009813,0.0004337,0.0001397,3.718e-05
0.01467,15.641,2.007,1.499e-05,1.692e-11,9.326e-05,0.001084,0.0008682,0.0009878,0.001021,0.0004519,0.0001457,3.882e-05
